active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2008-10-28,12,3,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,1878,4,10,3,5,1,1,0,3,2,1,0,4,5,3.9
True,2008-10-30,17,11,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1957,7,14,1,6,2,2,2,2,7,1,0,1,4,15.3
True,2008-11-01,11,-19,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS HORNETS,LOSS,2150,5,15,1,5,0,0,0,2,4,0,0,4,4,0.3
True,2008-11-03,14,15,CLEVELAND CAVALIERS,AWAY,DALLAS MAVERICKS,WIN,2018,6,12,1,2,1,1,1,3,6,0,0,2,3,10.6
True,2008-11-05,13,11,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1971,5,11,1,2,2,2,0,0,4,1,0,4,2,6.3
True,2008-11-07,21,4,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2236,6,14,2,5,7,7,1,2,4,1,0,5,4,12.1
True,2008-11-08,11,12,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2206,4,11,0,2,3,3,0,2,7,4,0,3,4,9.8
True,2008-11-11,16,0,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2036,3,11,1,5,9,10,0,1,5,1,0,3,3,9.7
True,2008-11-13,24,0,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,WIN,2071,10,21,3,9,1,1,0,0,6,1,1,2,1,16.8
True,2008-11-15,20,2,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,WIN,2365,8,18,3,8,1,1,1,2,4,0,1,1,3,13.2
True,2008-11-18,16,23,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,2055,6,11,3,4,1,1,2,4,6,1,0,2,3,15.3
True,2008-11-19,25,-9,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,LOSS,1878,9,16,5,8,2,2,1,1,1,1,0,4,4,14.5
True,2008-11-22,23,15,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,2265,9,17,3,6,2,2,1,4,4,0,0,0,1,19.0
True,2008-11-25,8,24,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,1693,4,11,0,4,0,0,1,5,6,3,0,1,3,9.1
True,2008-11-26,7,28,CLEVELAND CAVALIERS,HOME,OKLAHOMA CITY THUNDER,WIN,1390,2,3,1,1,2,2,0,0,5,0,0,0,0,9.2
True,2008-11-28,16,17,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,WIN,1629,6,14,1,4,3,3,0,2,4,1,1,0,3,12.5
True,2008-11-29,13,15,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,WIN,2108,6,20,0,5,1,2,2,1,3,0,0,1,3,2.6
True,2008-12-03,16,11,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1550,6,10,2,4,2,2,0,4,1,0,0,4,3,8.1
True,2008-12-05,17,13,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1639,7,9,0,1,3,3,0,0,4,0,0,3,4,11.7
True,2008-12-06,5,8,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,WIN,1536,2,5,0,0,1,1,0,3,1,1,0,1,0,3.9
True,2008-12-09,13,20,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,1796,6,10,1,3,0,0,1,3,9,1,0,1,1,15.9
True,2008-12-10,27,12,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2206,11,16,2,3,3,3,2,4,4,0,0,3,5,20.6
True,2008-12-12,14,6,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,1832,5,10,1,1,3,4,0,5,2,0,0,4,2,6.7
True,2008-12-13,26,-3,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,2408,11,21,1,7,3,3,0,4,3,0,0,1,3,16.8
True,2008-12-17,6,3,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1340,3,8,0,2,0,0,1,4,3,1,0,2,5,2.6
True,2008-12-19,8,18,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,WIN,2112,3,9,1,4,1,1,1,6,3,0,0,3,3,3.3
True,2008-12-21,20,10,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1966,8,14,2,3,2,2,1,4,4,3,0,2,4,17.5
True,2008-12-23,23,2,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,2262,8,13,2,5,5,5,0,4,4,1,0,2,2,19.3
True,2008-12-25,24,12,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2133,7,14,4,7,6,6,0,3,6,0,0,2,5,18.1
True,2008-12-28,20,13,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,2063,7,14,2,5,4,4,0,4,2,1,0,4,6,10.2
True,2008-12-30,10,-6,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1992,2,8,2,6,4,4,1,1,5,0,0,2,2,6.9
True,2009-01-02,11,18,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2047,2,9,0,3,7,7,0,3,2,1,0,0,0,8.8
True,2009-01-04,13,8,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,2173,4,13,2,6,3,4,1,3,1,1,0,3,2,4.6
True,2009-01-07,15,10,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1604,5,11,1,4,4,4,0,2,6,1,0,3,2,11.3
True,2009-01-09,13,13,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,1925,5,9,0,2,3,3,0,2,1,2,1,4,1,8.3
