active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,12,-1,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1891,3,14,0,0,6,8,3,8,4,1,1,2,3,8.4
True,2009-10-30,20,10,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,2488,9,22,0,0,2,3,0,12,7,1,0,3,3,13.1
True,2009-11-02,7,-8,UTAH JAZZ,HOME,HOUSTON ROCKETS,LOSS,2047,1,6,0,0,5,6,2,9,2,2,0,4,2,5.5
True,2009-11-03,12,-27,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1447,6,12,0,0,0,0,0,2,3,1,0,2,5,5.7
True,2009-11-05,27,10,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,2217,12,20,0,0,3,3,5,9,3,2,2,1,4,26.9
True,2009-11-07,16,-6,UTAH JAZZ,HOME,SACRAMENTO KINGS,LOSS,2249,6,12,0,0,4,4,5,12,1,0,0,3,3,13.6
True,2009-11-09,23,1,UTAH JAZZ,AWAY,NEW YORK KNICKS,WIN,2341,10,14,0,0,3,4,1,13,0,1,0,3,5,17.4
True,2009-11-11,10,-20,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,1632,5,7,0,0,0,0,0,2,3,0,1,4,4,4.9
True,2009-11-13,24,18,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,WIN,2360,11,16,0,0,2,3,2,10,4,3,0,3,3,22.8
True,2009-11-14,25,-1,UTAH JAZZ,AWAY,CLEVELAND CAVALIERS,LOSS,2320,9,16,0,0,7,7,1,11,1,1,1,2,3,20.6
True,2009-11-18,22,22,UTAH JAZZ,HOME,TORONTO RAPTORS,WIN,2329,9,19,0,0,4,8,7,11,2,0,0,0,3,19.1
True,2009-11-19,18,2,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,WIN,2256,7,18,0,0,4,4,2,9,5,0,0,1,4,13.2
True,2009-11-21,22,-4,UTAH JAZZ,HOME,DETROIT PISTONS,WIN,2503,6,11,0,0,10,10,1,6,5,1,0,5,3,17.5
True,2009-11-24,26,-11,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,LOSS,1952,11,15,0,0,4,4,2,5,3,2,0,5,5,19.9
True,2009-11-26,28,14,UTAH JAZZ,HOME,CHICAGO BULLS,WIN,2076,12,14,0,0,4,5,1,7,5,1,3,2,2,29.2
True,2009-11-28,26,15,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2061,11,16,0,0,4,6,2,10,7,1,1,3,4,24.8
True,2009-11-30,24,24,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1943,9,14,0,0,6,6,1,14,7,3,1,2,2,28.5
True,2009-12-04,35,0,UTAH JAZZ,HOME,INDIANA PACERS,WIN,2291,14,21,0,0,7,12,3,10,2,1,0,3,3,27.2
True,2009-12-05,21,-11,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2184,9,16,0,0,3,4,1,12,2,1,0,6,5,11.7
True,2009-12-07,27,-1,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,2666,10,18,0,0,7,9,2,5,5,1,0,2,4,21.4
True,2009-12-09,11,-23,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2170,5,16,0,0,1,2,3,9,2,0,0,1,4,5.0
True,2009-12-10,20,14,UTAH JAZZ,HOME,ORLANDO MAGIC,WIN,2653,8,16,0,0,4,8,4,10,4,2,1,1,2,19.9
True,2009-12-12,12,17,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,2012,6,9,0,0,0,0,0,8,7,2,0,2,5,13.4
True,2009-12-14,14,0,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,LOSS,2234,7,15,0,0,0,3,2,12,3,0,2,4,6,7.2
True,2009-12-16,26,19,UTAH JAZZ,AWAY,NEW JERSEY NETS,WIN,2108,10,14,0,0,6,7,1,9,2,1,0,1,3,23.4
True,2009-12-18,6,-29,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1450,2,7,0,0,2,2,0,6,2,0,0,4,2,0.3
True,2009-12-19,22,-2,UTAH JAZZ,AWAY,CHARLOTTE BOBCATS,WIN,1797,7,13,0,0,8,9,5,6,4,0,0,3,5,18.4
True,2009-12-21,17,-10,UTAH JAZZ,AWAY,ORLANDO MAGIC,LOSS,1846,7,16,0,0,3,5,1,7,3,0,1,2,5,9.4
True,2009-12-23,14,-17,UTAH JAZZ,AWAY,MIAMI HEAT,LOSS,2063,6,14,0,0,2,3,2,6,4,0,2,4,4,8.0
True,2009-12-26,19,8,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1893,7,12,0,0,5,6,1,10,3,2,2,3,2,18.4
True,2009-12-30,16,12,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,2264,5,15,0,0,6,8,3,9,6,1,0,2,3,13.5
True,2009-12-31,17,0,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,2083,7,13,0,0,3,4,1,4,3,0,0,1,3,12.1
True,2010-01-02,18,-14,UTAH JAZZ,HOME,DENVER NUGGETS,LOSS,2223,8,15,0,0,2,2,3,7,3,2,1,5,3,13.5
True,2010-01-04,18,1,UTAH JAZZ,HOME,NEW ORLEANS HORNETS,LOSS,1952,8,16,0,0,2,2,5,9,1,1,0,5,4,11.3
True,2010-01-06,20,13,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1508,8,10,0,0,4,4,1,5,4,1,1,2,4,19.3
True,2010-01-08,13,11,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1877,6,18,0,0,1,4,2,10,4,0,0,2,6,4.4
True,2010-01-09,15,2,UTAH JAZZ,AWAY,DALLAS MAVERICKS,WIN,2047,6,14,0,0,3,4,1,6,4,1,0,1,4,10.9
