active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,8,11,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1415,3,6,0,1,2,2,0,5,1,1,1,1,2,7.1
True,2009-10-30,6,3,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1202,3,7,0,0,0,0,2,3,1,0,1,0,1,5.6
True,2009-11-01,8,-6,TORONTO RAPTORS,HOME,ORLANDO MAGIC,LOSS,1125,3,5,1,1,1,2,2,1,0,0,0,0,3,5.8
True,2009-11-04,3,-10,TORONTO RAPTORS,HOME,DETROIT PISTONS,WIN,1090,1,5,0,0,1,2,3,0,2,1,1,0,2,3.9
True,2009-11-06,4,7,TORONTO RAPTORS,AWAY,NEW ORLEANS HORNETS,WIN,1083,2,3,0,0,0,0,0,2,2,0,1,1,1,4.0
True,2009-11-07,2,-10,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1022,1,1,0,0,0,2,0,1,2,1,1,1,5,1.3
True,2009-11-09,2,4,TORONTO RAPTORS,AWAY,SAN ANTONIO SPURS,LOSS,778,1,2,0,0,0,0,1,0,0,1,1,1,2,1.6
True,2009-11-11,9,9,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1125,4,10,1,1,0,0,3,6,1,0,2,3,0,6.6
True,2009-11-13,2,5,TORONTO RAPTORS,AWAY,LOS ANGELES CLIPPERS,WIN,663,1,4,0,0,0,0,0,0,1,0,0,1,2,-1.5
True,2009-11-15,6,-1,TORONTO RAPTORS,AWAY,PHOENIX SUNS,LOSS,1168,3,7,0,1,0,0,0,2,1,1,0,0,1,4.2
True,2009-11-17,17,1,TORONTO RAPTORS,AWAY,DENVER NUGGETS,LOSS,1354,6,9,1,2,4,6,1,2,0,1,0,2,1,12.2
True,2009-11-18,2,-10,TORONTO RAPTORS,AWAY,UTAH JAZZ,LOSS,881,1,5,0,1,0,0,0,0,1,1,0,0,2,-0.2
True,2009-11-20,7,-7,TORONTO RAPTORS,HOME,MIAMI HEAT,WIN,1341,2,4,0,1,3,3,1,6,0,1,1,4,3,4.0
True,2009-11-22,1,-4,TORONTO RAPTORS,HOME,ORLANDO MAGIC,LOSS,1024,0,2,0,0,1,2,0,1,0,0,1,0,4,-1.4
True,2009-11-24,8,-5,TORONTO RAPTORS,HOME,INDIANA PACERS,WIN,603,2,4,0,0,4,5,1,0,0,0,0,0,2,5.5
True,2009-11-25,12,-25,TORONTO RAPTORS,AWAY,CHARLOTTE BOBCATS,LOSS,1485,4,12,0,0,4,4,1,5,0,0,1,1,5,5.1
True,2009-11-27,9,-9,TORONTO RAPTORS,AWAY,BOSTON CELTICS,LOSS,1007,4,8,1,1,0,0,1,0,0,2,0,1,2,5.9
True,2009-11-29,14,-22,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,1403,4,9,0,1,6,6,1,0,1,1,0,1,5,8.7
True,2009-12-01,2,-4,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,LOSS,948,1,4,0,0,0,0,1,1,1,0,1,2,1,-0.4
