active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-03-11,2,-3,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,414,1,1,0,0,0,0,1,1,0,0,0,0,0,2.7
True,2010-03-12,6,4,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,LOSS,329,3,4,0,0,0,2,0,1,0,0,0,0,0,3.9
True,2010-03-13,7,-2,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,720,2,5,1,1,2,2,1,4,0,0,0,0,0,6.2
True,2010-03-15,10,7,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,903,3,4,1,1,3,4,1,2,2,1,0,2,1,9.3
True,2010-03-16,13,-6,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,1599,5,9,2,3,1,4,3,7,0,2,0,3,0,10.7
True,2010-03-19,5,0,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1197,2,5,0,0,1,2,3,0,0,0,0,2,0,2.0
True,2010-03-21,2,5,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,428,1,4,0,0,0,1,1,1,0,0,0,0,0,0.2
True,2010-03-23,9,5,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,LOSS,881,3,5,1,1,2,2,0,1,0,0,0,1,4,4.4
True,2010-03-24,2,-2,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,844,1,6,0,0,0,0,2,1,2,1,0,0,1,1.9
True,2010-03-26,19,-9,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,LOSS,1973,5,9,2,2,7,10,0,0,2,2,0,1,5,13.9
True,2010-03-27,6,-4,WASHINGTON WIZARDS,HOME,UTAH JAZZ,LOSS,1613,2,7,0,1,2,2,3,0,1,1,1,1,2,4.6
