active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,21,13,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,1718,9,11,0,0,3,6,7,8,2,1,2,1,2,25.0
True,2009-10-30,20,16,ORLANDO MAGIC,AWAY,NEW JERSEY NETS,WIN,2245,8,11,0,1,4,11,4,18,1,1,4,4,3,20.2
True,2009-11-01,24,6,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,WIN,2190,5,13,0,0,14,16,5,6,1,2,1,3,3,20.6
True,2009-11-03,8,3,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1009,2,2,0,0,4,8,1,4,0,0,3,3,6,4.4
True,2009-11-04,25,30,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,1400,9,14,0,0,7,8,1,5,0,0,0,5,5,13.6
True,2009-11-06,22,10,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,2309,7,8,0,0,8,9,4,8,3,0,2,1,6,24.1
True,2009-11-08,20,-17,ORLANDO MAGIC,AWAY,OKLAHOMA CITY THUNDER,LOSS,1935,5,10,0,0,10,17,3,4,0,1,0,4,4,10.9
True,2009-11-10,15,5,ORLANDO MAGIC,AWAY,CHARLOTTE BOBCATS,WIN,2155,7,13,0,0,1,2,3,7,6,1,0,5,3,11.5
True,2009-11-11,11,0,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,LOSS,1893,3,3,0,0,5,12,2,5,0,1,1,2,5,7.9
True,2009-11-13,26,11,ORLANDO MAGIC,HOME,NEW JERSEY NETS,WIN,2142,10,14,0,0,6,12,5,7,1,1,5,1,3,26.4
True,2009-11-16,14,-2,ORLANDO MAGIC,HOME,CHARLOTTE BOBCATS,WIN,2047,4,5,0,0,6,14,4,7,2,1,2,1,5,14.6
True,2009-11-18,11,20,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,1058,5,7,0,0,1,4,3,7,0,0,1,2,4,8.2
True,2009-11-20,9,14,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,2204,2,4,0,0,5,11,3,12,0,1,3,3,4,8.8
True,2009-11-22,17,6,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,WIN,1932,4,13,0,0,9,14,5,7,3,0,0,4,4,9.6
True,2009-11-25,12,11,ORLANDO MAGIC,HOME,MIAMI HEAT,LOSS,2079,3,5,0,0,6,11,4,12,1,3,0,4,5,11.8
True,2009-11-26,22,14,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,2467,9,14,0,0,4,9,6,11,3,1,4,5,3,21.0
True,2009-11-28,25,10,ORLANDO MAGIC,AWAY,MILWAUKEE BUCKS,WIN,2372,10,15,0,1,5,10,4,16,2,1,4,6,3,22.1
True,2009-11-29,24,22,ORLANDO MAGIC,AWAY,NEW YORK KNICKS,WIN,2432,8,9,0,0,8,15,5,11,1,2,2,2,3,25.8
True,2009-12-02,19,25,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,1619,6,7,0,0,7,10,5,5,2,1,0,4,2,17.9
True,2009-12-05,17,11,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,1873,6,11,0,0,5,7,2,6,2,2,2,4,5,12.9
True,2009-12-08,25,9,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,WIN,2580,7,10,0,1,11,15,3,8,5,2,7,4,2,29.3
True,2009-12-10,18,-7,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,2640,6,11,0,0,6,7,3,7,1,1,2,3,5,14.6
True,2009-12-11,10,-4,ORLANDO MAGIC,AWAY,PHOENIX SUNS,LOSS,2474,1,1,0,0,8,17,5,13,2,2,0,5,3,10.7
True,2009-12-14,21,7,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,2530,4,10,0,0,13,22,9,14,1,0,4,3,2,22.2
True,2009-12-16,18,19,ORLANDO MAGIC,HOME,TORONTO RAPTORS,WIN,2070,6,7,0,0,6,8,2,12,0,0,8,2,2,22.5
True,2009-12-17,17,-29,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,2160,6,11,0,0,5,9,2,12,0,0,2,3,3,12.3
True,2009-12-19,12,8,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,WIN,2491,4,8,0,0,4,6,3,17,0,2,4,4,4,13.6
True,2009-12-21,21,10,ORLANDO MAGIC,HOME,UTAH JAZZ,WIN,2199,5,8,0,0,11,15,3,6,2,1,5,4,3,20.4
True,2009-12-23,13,23,ORLANDO MAGIC,HOME,HOUSTON ROCKETS,WIN,1960,5,7,0,0,3,4,4,16,3,2,4,3,4,19.6
True,2009-12-25,5,-5,ORLANDO MAGIC,HOME,BOSTON CELTICS,LOSS,2619,1,7,0,0,3,4,3,17,1,2,4,7,4,4.2
True,2009-12-30,17,11,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,WIN,1447,8,11,0,0,1,2,1,9,1,2,2,2,4,16.0
True,2010-01-01,9,18,ORLANDO MAGIC,AWAY,MINNESOTA TIMBERWOLVES,WIN,2502,4,10,0,0,1,2,2,13,4,2,3,2,4,11.8
True,2010-01-02,9,0,ORLANDO MAGIC,AWAY,CHICAGO BULLS,LOSS,1992,3,7,0,0,3,8,5,7,1,0,2,2,4,7.4
True,2010-01-05,11,-3,ORLANDO MAGIC,AWAY,INDIANA PACERS,LOSS,1683,2,6,0,0,7,12,7,8,0,1,2,5,6,7.9
True,2010-01-06,20,5,ORLANDO MAGIC,HOME,TORONTO RAPTORS,LOSS,2238,7,10,0,0,6,11,3,9,1,0,1,9,5,9.0
True,2010-01-08,23,-14,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,2114,9,13,0,0,5,12,5,7,1,2,2,3,3,20.2
True,2010-01-09,12,13,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,1352,4,8,0,0,4,6,2,5,4,0,3,4,4,9.4
True,2010-01-12,30,17,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,WIN,2487,9,15,0,0,12,17,3,13,5,3,3,3,3,31.5
True,2010-01-13,8,-20,ORLANDO MAGIC,AWAY,DENVER NUGGETS,LOSS,1847,1,7,0,0,6,8,4,9,1,1,3,5,1,6.6
True,2010-01-15,11,-15,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1942,4,7,0,0,3,10,2,9,0,0,2,1,2,8.6
True,2010-01-18,24,-10,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,LOSS,2571,10,14,0,0,4,6,4,8,2,0,3,1,4,23.5
True,2010-01-20,32,15,ORLANDO MAGIC,HOME,INDIANA PACERS,WIN,2236,8,13,0,0,16,24,7,4,0,4,0,6,2,26.2
True,2010-01-22,19,21,ORLANDO MAGIC,HOME,SACRAMENTO KINGS,WIN,1579,4,7,0,0,11,12,3,12,1,3,2,5,4,19.5
True,2010-01-23,10,9,ORLANDO MAGIC,AWAY,CHARLOTTE BOBCATS,WIN,2928,4,11,0,1,2,4,3,17,1,2,7,6,3,10.7
True,2010-01-25,27,0,ORLANDO MAGIC,AWAY,MEMPHIS GRIZZLIES,LOSS,2690,9,14,0,0,9,11,5,10,3,0,6,4,4,27.2
True,2010-01-28,19,6,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,1923,8,12,0,0,3,10,4,6,0,2,4,3,4,15.8
True,2010-01-30,31,12,ORLANDO MAGIC,HOME,ATLANTA HAWKS,WIN,2450,10,16,0,0,11,18,1,18,2,1,3,4,4,26.0
True,2010-01-31,16,3,ORLANDO MAGIC,AWAY,DETROIT PISTONS,WIN,2465,4,9,0,0,8,18,1,14,3,0,5,3,4,13.2
True,2010-02-02,22,8,ORLANDO MAGIC,HOME,MILWAUKEE BUCKS,WIN,1869,7,10,0,0,8,13,3,8,1,0,5,6,4,16.9
True,2010-02-05,20,5,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,LOSS,2401,8,14,0,0,4,6,4,14,4,2,3,4,3,21.3
True,2010-02-07,16,10,ORLANDO MAGIC,AWAY,BOSTON CELTICS,WIN,1908,4,9,0,0,8,12,2,11,1,0,2,2,5,12.5
True,2010-02-08,25,12,ORLANDO MAGIC,HOME,NEW ORLEANS HORNETS,WIN,2570,8,13,0,0,9,13,2,10,2,1,4,5,5,20.1
True,2010-02-10,18,23,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1502,7,10,0,0,4,6,4,10,1,1,1,5,4,14.6
True,2010-02-11,19,-2,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,LOSS,1847,6,9,0,0,7,10,2,9,1,0,2,3,5,15.1
True,2010-02-17,33,20,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,2475,11,16,0,0,11,13,5,12,3,0,7,1,1,38.1
True,2010-02-19,29,-7,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,LOSS,2548,11,19,0,0,7,10,4,12,1,0,5,2,2,26.7
True,2010-02-21,22,9,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,2609,7,15,0,0,8,13,3,13,2,1,4,0,4,21.9
True,2010-02-24,30,9,ORLANDO MAGIC,AWAY,HOUSTON ROCKETS,WIN,2031,11,11,0,0,8,12,3,13,3,0,1,3,4,29.3
True,2010-02-26,26,-13,ORLANDO MAGIC,AWAY,NEW ORLEANS HORNETS,LOSS,2560,11,18,0,0,4,6,2,8,1,0,3,1,2,21.8
True,2010-02-28,7,-7,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1493,1,7,0,0,5,8,1,4,1,0,3,2,5,2.0
True,2010-03-01,14,10,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,WIN,1449,4,7,0,0,6,7,1,2,0,0,1,4,4,6.7
True,2010-03-03,28,13,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,1943,11,17,0,1,6,11,3,9,2,2,2,3,0,25.1
True,2010-03-05,11,14,ORLANDO MAGIC,AWAY,NEW JERSEY NETS,WIN,2399,5,9,0,0,1,4,5,11,4,3,4,5,3,14.7
True,2010-03-07,15,5,ORLANDO MAGIC,HOME,LOS ANGELES LAKERS,WIN,1912,6,14,0,0,3,8,5,11,2,0,2,2,5,11.2
True,2010-03-09,22,25,ORLANDO MAGIC,HOME,LOS ANGELES CLIPPERS,WIN,1937,9,12,0,0,4,4,3,12,3,0,2,4,0,22.4
True,2010-03-11,12,16,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1185,4,6,0,0,4,6,1,5,2,0,2,5,4,7.0
True,2010-03-13,28,20,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2238,11,13,0,0,6,9,4,11,5,1,2,4,1,29.7
True,2010-03-14,27,-15,ORLANDO MAGIC,HOME,CHARLOTTE BOBCATS,LOSS,2479,12,14,0,1,3,10,6,10,1,1,2,4,5,23.5
True,2010-03-17,9,14,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,WIN,1463,3,4,0,0,3,8,1,6,2,0,1,3,3,5.8
True,2010-03-18,10,2,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1856,3,9,0,0,4,8,5,6,1,0,4,2,5,8.1
True,2010-03-22,23,8,ORLANDO MAGIC,AWAY,PHILADELPHIA 76ERS,WIN,2085,9,11,0,0,5,12,4,11,0,0,2,4,4,18.0
True,2010-03-24,19,11,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,2534,4,11,0,0,11,16,5,19,1,2,4,5,3,19.4
True,2010-03-26,24,18,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,WIN,1847,6,7,0,0,12,16,5,14,4,3,4,5,4,29.6
True,2010-03-28,18,1,ORLANDO MAGIC,HOME,DENVER NUGGETS,WIN,2563,7,15,0,0,4,9,4,7,5,1,2,2,2,16.3
True,2010-04-01,17,17,ORLANDO MAGIC,AWAY,DALLAS MAVERICKS,WIN,2558,6,11,0,0,5,8,4,16,1,1,5,3,0,20.3
True,2010-04-02,10,-2,ORLANDO MAGIC,AWAY,SAN ANTONIO SPURS,LOSS,1434,4,7,0,0,2,11,1,5,2,0,0,1,6,3.3
True,2010-04-04,8,2,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,2040,2,6,0,0,4,7,1,10,1,0,5,4,5,5.3
True,2010-04-07,17,13,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1767,7,10,0,0,3,4,4,6,2,1,3,4,1,17.1
True,2010-04-09,25,16,ORLANDO MAGIC,HOME,NEW YORK KNICKS,WIN,2234,11,14,0,0,3,8,5,8,2,0,1,0,3,24.4
True,2010-04-11,22,8,ORLANDO MAGIC,AWAY,CLEVELAND CAVALIERS,WIN,2262,9,13,0,1,4,9,4,9,3,0,6,2,3,23.1
True,2010-04-12,12,19,ORLANDO MAGIC,AWAY,INDIANA PACERS,WIN,1557,4,6,0,0,4,10,2,9,3,0,4,1,3,13.8
True,2010-04-14,15,32,ORLANDO MAGIC,HOME,PHILADELPHIA 76ERS,WIN,1765,6,8,0,0,3,5,1,11,2,0,1,3,4,12.5
