active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-31,18,3,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2339,7,11,1,4,3,3,0,5,6,4,1,4,3,18.3
True,2009-11-02,20,10,NEW YORK KNICKS,HOME,NEW ORLEANS HORNETS,WIN,2403,8,13,2,5,2,2,2,4,2,1,0,1,4,16.5
True,2009-11-04,7,-4,NEW YORK KNICKS,HOME,INDIANA PACERS,LOSS,1943,2,10,2,6,1,2,1,2,3,0,0,3,5,-1.2
True,2009-11-06,18,0,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2207,7,13,1,5,3,3,0,5,4,4,0,2,1,17.6
True,2009-11-07,14,-12,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,1849,5,8,1,3,3,4,0,2,4,2,1,2,0,14.1
True,2009-11-09,12,8,NEW YORK KNICKS,HOME,UTAH JAZZ,LOSS,2484,3,12,0,2,6,8,0,5,5,4,2,2,3,11.2
True,2009-11-11,14,-16,NEW YORK KNICKS,HOME,ATLANTA HAWKS,LOSS,1972,5,9,0,2,4,5,0,1,8,1,0,0,5,14.2
True,2009-11-13,3,-1,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,LOSS,1091,1,6,1,2,0,0,0,2,2,1,0,1,0,1.2
True,2009-11-18,22,24,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,2138,6,14,3,5,7,8,2,8,7,3,1,2,2,23.8
True,2009-11-21,13,6,NEW YORK KNICKS,AWAY,NEW JERSEY NETS,WIN,2091,5,13,2,5,1,3,2,4,3,2,1,1,0,11.5
True,2009-11-22,4,-1,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,2289,2,11,0,5,0,0,1,1,4,0,1,1,3,-0.6
True,2009-11-24,6,-10,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,LOSS,1284,3,9,0,2,0,0,1,1,1,3,1,1,4,3.7
True,2009-11-25,4,-21,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,LOSS,792,1,5,0,2,2,2,0,2,2,1,0,1,1,2.5
True,2009-11-27,16,-6,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,2037,6,13,3,5,1,2,2,4,9,2,1,2,2,17.7
True,2009-11-29,6,-9,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,1882,1,9,0,3,4,4,0,7,2,1,0,1,0,3.6
True,2009-12-01,11,28,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,2094,4,11,1,4,2,2,0,6,12,4,0,2,3,15.9
True,2009-12-02,5,-22,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,LOSS,1456,2,9,1,3,0,0,0,2,3,0,0,4,0,-1.8
True,2009-12-04,16,12,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,WIN,2202,5,10,2,3,4,4,1,2,7,0,0,2,4,13.6
True,2009-12-06,25,12,NEW YORK KNICKS,HOME,NEW JERSEY NETS,WIN,2370,5,12,1,2,14,17,2,2,4,0,1,2,1,20.5
True,2009-12-07,21,7,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1857,8,18,4,8,1,1,1,5,1,1,0,3,2,11.7
True,2009-12-11,8,-6,NEW YORK KNICKS,AWAY,NEW ORLEANS HORNETS,WIN,1646,3,10,1,4,1,1,0,2,7,1,0,1,2,6.9
True,2009-12-15,8,-15,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,LOSS,1228,3,10,1,3,1,2,0,2,2,2,0,6,1,-0.6
True,2009-12-22,4,2,NEW YORK KNICKS,HOME,CHICAGO BULLS,WIN,1070,2,6,0,3,0,0,0,4,2,1,0,2,0,2.2
