active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-30,0,0,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,106,0,2,0,0,0,0,0,0,0,0,0,1,0,-2.4
True,2009-10-31,0,-4,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-11-03,0,-4,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-11-12,0,-1,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,WIN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-11-17,5,2,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,WIN,854,2,3,0,0,1,2,1,0,0,1,1,4,4,0.1
True,2009-11-18,10,-1,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1235,5,8,0,0,0,0,3,4,1,1,1,1,2,10.3
True,2009-11-20,0,-2,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-11-28,0,0,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,109,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2009-12-02,0,4,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,WIN,49,0,0,0,0,0,0,0,0,1,0,1,0,0,1.4
True,2009-12-04,0,-5,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,224,0,0,0,0,0,0,2,0,0,0,0,0,0,1.4
True,2009-12-06,0,-5,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,WIN,238,0,0,0,0,0,0,1,1,1,0,0,0,0,1.7
True,2009-12-09,3,3,CLEVELAND CAVALIERS,AWAY,HOUSTON ROCKETS,LOSS,59,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2009-12-15,0,4,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,805,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
True,2009-12-21,0,-1,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,114,0,1,0,0,0,0,0,0,0,0,0,0,2,-1.5
True,2009-12-25,0,-3,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,WIN,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2009-12-27,0,2,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,296,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1
True,2010-01-02,0,-3,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2010-01-06,0,1,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,373,0,1,0,0,0,0,0,1,0,0,0,2,1,-2.8
True,2010-01-27,0,0,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-01-29,0,0,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,WIN,230,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2010-01-31,0,3,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,148,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2010-02-02,0,-6,CLEVELAND CAVALIERS,HOME,MEMPHIS GRIZZLIES,WIN,337,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.4
True,2010-02-04,0,-2,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,WIN,135,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2010-03-01,1,-18,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,523,0,1,0,0,1,2,0,1,0,0,0,1,2,-1.6
True,2010-03-03,0,2,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,137,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.7
True,2010-03-06,0,-10,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,310,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2010-03-21,2,2,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,294,0,1,0,0,2,2,0,0,0,0,0,1,2,-0.5
True,2010-04-14,2,-3,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,WIN,510,1,5,0,1,0,0,1,1,0,0,0,0,2,-0.9
