active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-01-11,5,0,GOLDEN STATE WARRIORS,HOME,CLEVELAND CAVALIERS,LOSS,1166,2,6,1,2,0,0,1,1,0,0,0,0,2,1.8
True,2010-01-13,11,-2,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,LOSS,2030,3,10,2,4,3,4,2,2,2,2,0,1,5,7.2
True,2010-01-15,7,-14,GOLDEN STATE WARRIORS,HOME,MILWAUKEE BUCKS,LOSS,2014,3,9,1,3,0,4,2,6,0,0,0,1,1,2.1
True,2010-01-18,5,12,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,2145,2,8,1,2,0,0,2,7,1,2,0,0,5,4.4
True,2010-01-20,5,-1,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,907,2,5,1,2,0,0,1,1,1,0,0,2,4,0.4
True,2010-01-22,16,28,GOLDEN STATE WARRIORS,HOME,NEW JERSEY NETS,WIN,2155,6,12,1,2,3,3,2,6,1,1,0,0,5,12.9
True,2010-01-23,13,-4,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,2232,4,10,2,5,3,3,3,2,2,1,0,3,4,8.1
True,2010-01-26,20,-1,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2059,6,15,1,6,7,7,3,4,1,1,0,4,4,11.3
True,2010-01-27,4,-1,GOLDEN STATE WARRIORS,HOME,NEW ORLEANS HORNETS,LOSS,1267,2,9,0,3,0,0,1,1,1,1,0,1,3,-1.0
True,2010-01-29,4,-3,GOLDEN STATE WARRIORS,HOME,CHARLOTTE BOBCATS,LOSS,589,2,4,0,2,0,0,0,0,0,0,0,1,3,-0.2
True,2010-03-30,0,2,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,360,0,1,0,1,0,0,0,0,0,0,0,0,2,-1.5
True,2010-04-02,8,-8,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,LOSS,879,2,7,2,4,2,2,2,3,1,0,0,1,2,5.1
True,2010-04-04,16,2,WASHINGTON WIZARDS,HOME,NEW JERSEY NETS,WIN,1303,4,7,2,2,6,7,1,1,2,2,0,1,1,15.3
True,2010-04-06,7,11,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,WIN,1290,3,10,1,4,0,0,2,3,2,1,1,1,0,5.6
True,2010-04-07,9,-16,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,808,4,6,1,2,0,0,0,1,0,0,0,2,2,3.9
True,2010-04-10,0,-2,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-04-12,0,-2,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,245,0,3,0,0,0,0,2,1,0,0,0,0,0,-0.4
True,2010-04-14,11,-1,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1910,5,14,1,5,0,0,1,4,2,0,0,1,5,3.5
