active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,2,10,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,WIN,1167,1,2,0,0,0,0,1,5,1,0,0,1,4,1.3
True,2009-10-30,1,-7,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,LOSS,763,0,0,0,0,1,2,2,0,0,0,1,2,4,-0.9
True,2009-10-31,4,-11,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1066,1,2,0,0,2,4,0,3,0,0,2,2,4,0.9
True,2009-11-04,4,3,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,586,2,3,0,0,0,2,2,1,0,0,0,0,3,2.4
True,2009-11-06,5,6,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1283,1,2,0,0,3,4,1,3,1,2,0,1,2,6.1
True,2009-11-08,2,-1,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,1233,1,2,0,0,0,0,2,0,0,0,1,3,3,-1.1
True,2009-11-11,2,3,DETROIT PISTONS,HOME,CHARLOTTE BOBCATS,WIN,620,1,4,0,0,0,0,0,1,0,1,2,0,1,1.9
True,2009-11-14,5,1,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,WIN,847,2,4,0,0,1,2,2,2,0,0,0,1,2,2.8
True,2009-11-15,2,4,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,807,1,3,0,0,0,0,1,1,0,0,2,0,2,1.9
True,2009-11-17,13,3,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1288,5,8,0,0,3,5,1,6,0,0,2,0,0,12.5
True,2009-11-18,0,-14,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1133,0,4,0,0,0,0,0,2,0,0,1,0,2,-2.3
True,2009-11-21,4,-7,DETROIT PISTONS,AWAY,UTAH JAZZ,LOSS,1087,2,2,0,0,0,0,0,3,1,0,0,2,3,1.8
True,2009-11-22,8,-11,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1124,4,7,0,0,0,0,3,4,0,1,0,1,4,6.4
True,2009-11-25,10,-4,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,980,3,5,0,0,4,6,4,0,0,0,0,0,1,9.3
True,2009-11-27,6,6,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,1072,2,4,0,0,2,2,2,2,0,1,0,0,2,6.2
True,2009-11-29,7,2,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1752,3,6,0,0,1,2,4,2,2,2,0,0,2,9.6
True,2009-12-02,6,-13,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,922,3,7,0,0,0,1,4,2,1,1,0,2,3,3.8
True,2009-12-04,6,14,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1709,3,4,0,0,0,1,2,2,1,0,0,5,4,0.1
True,2009-12-06,2,-3,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,552,1,4,0,0,0,0,1,0,0,2,0,0,2,1.5
True,2009-12-09,12,7,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,1532,5,8,0,0,2,4,2,3,2,1,0,0,0,12.3
True,2009-12-10,8,-2,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,1018,3,5,0,0,2,2,2,2,0,1,0,1,4,6.1
True,2009-12-12,10,8,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,1321,5,8,0,0,0,0,3,5,0,1,0,2,4,7.4
True,2009-12-15,4,-4,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,1114,2,4,0,0,0,0,2,2,1,0,1,1,0,4.4
True,2009-12-16,3,-7,DETROIT PISTONS,AWAY,NEW ORLEANS HORNETS,LOSS,951,1,5,0,0,1,2,1,3,0,0,0,0,3,-0.1
True,2009-12-18,4,-10,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1645,2,7,0,0,0,0,3,4,1,0,1,0,2,3.8
True,2009-12-20,8,-5,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,806,3,5,0,0,2,2,2,0,0,0,0,3,2,3.3
