active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,24,-7,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,WIN,2230,9,15,1,3,5,5,0,1,8,0,0,3,2,19.2
True,2009-10-30,18,22,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,2249,7,17,3,6,1,1,1,5,20,0,1,3,0,22.8
True,2009-11-01,14,9,PHOENIX SUNS,HOME,MINNESOTA TIMBERWOLVES,WIN,2178,5,12,2,4,2,2,0,3,14,0,0,7,3,10.1
True,2009-11-03,30,1,PHOENIX SUNS,AWAY,MIAMI HEAT,WIN,2205,11,15,4,5,4,4,0,3,8,1,0,5,0,26.4
True,2009-11-04,12,-24,PHOENIX SUNS,AWAY,ORLANDO MAGIC,LOSS,1326,5,11,2,4,0,1,1,1,4,0,0,3,0,6.7
True,2009-11-06,16,-7,PHOENIX SUNS,AWAY,BOSTON CELTICS,WIN,2134,5,11,3,6,3,4,1,2,12,0,0,6,3,12.4
True,2009-11-08,11,11,PHOENIX SUNS,AWAY,WASHINGTON WIZARDS,WIN,2089,4,9,1,4,2,2,0,3,17,0,1,3,2,16.0
True,2009-11-09,21,19,PHOENIX SUNS,AWAY,PHILADELPHIA 76ERS,WIN,2170,6,9,1,3,8,8,0,2,20,0,1,7,0,25.4
True,2009-11-11,12,20,PHOENIX SUNS,HOME,NEW ORLEANS HORNETS,WIN,1356,5,6,1,1,1,1,1,0,10,0,0,2,3,14.3
True,2009-11-12,13,-16,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1454,5,10,2,4,1,1,0,0,5,0,0,3,2,7.7
True,2009-11-15,23,4,PHOENIX SUNS,HOME,TORONTO RAPTORS,WIN,2222,10,21,1,6,2,2,1,3,9,0,0,2,0,18.2
True,2009-11-17,12,6,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,WIN,2226,2,10,0,1,8,9,0,3,16,0,0,3,1,14.1
True,2009-11-19,13,-8,PHOENIX SUNS,AWAY,NEW ORLEANS HORNETS,LOSS,2113,5,10,1,3,2,2,2,1,10,2,0,3,3,14.5
True,2009-11-22,20,14,PHOENIX SUNS,HOME,DETROIT PISTONS,WIN,1679,7,8,1,2,5,5,0,0,9,0,0,3,0,20.5
True,2009-11-25,11,26,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1785,5,8,1,1,0,0,0,3,16,1,0,3,0,17.5
True,2009-11-27,9,29,PHOENIX SUNS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1600,4,7,1,4,0,0,1,4,11,1,0,4,0,12.3
True,2009-11-29,20,14,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2050,8,15,2,4,2,2,0,3,16,1,0,3,2,22.0
True,2009-12-01,20,-24,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,1866,8,16,1,4,3,3,0,3,8,0,1,4,1,14.8
True,2009-12-02,14,-15,PHOENIX SUNS,AWAY,CLEVELAND CAVALIERS,LOSS,1912,5,12,2,3,2,2,2,3,5,1,0,6,1,8.0
True,2009-12-05,32,12,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,2254,11,23,3,6,7,7,1,1,6,0,0,2,0,23.5
True,2009-12-06,12,-15,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1759,4,7,1,1,3,3,0,0,10,0,0,4,0,11.7
True,2009-12-08,27,6,PHOENIX SUNS,AWAY,DALLAS MAVERICKS,LOSS,2437,9,15,3,3,6,6,0,2,8,0,0,6,0,20.3
True,2009-12-11,20,6,PHOENIX SUNS,HOME,ORLANDO MAGIC,WIN,2427,6,13,2,4,6,7,1,6,18,0,0,3,1,24.6
True,2009-12-12,28,-19,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,2070,11,17,1,5,5,6,0,2,7,0,1,2,1,23.9
True,2009-12-15,25,13,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2211,11,20,1,3,2,2,1,2,13,1,0,6,1,20.4
True,2009-12-17,16,4,PHOENIX SUNS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2421,7,11,2,5,0,0,2,3,13,2,0,2,4,20.9
True,2009-12-19,15,25,PHOENIX SUNS,HOME,WASHINGTON WIZARDS,WIN,1777,6,12,0,2,3,3,1,6,15,0,0,3,1,18.6
True,2009-12-21,18,-15,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,LOSS,2102,7,13,0,3,4,4,0,1,10,0,1,3,1,16.3
True,2009-12-23,24,8,PHOENIX SUNS,HOME,OKLAHOMA CITY THUNDER,LOSS,2308,10,17,2,4,2,3,0,1,12,0,0,3,1,21.0
True,2009-12-25,14,19,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,WIN,1657,6,10,1,3,1,1,0,2,8,1,0,3,0,13.6
True,2009-12-26,36,-6,PHOENIX SUNS,AWAY,GOLDEN STATE WARRIORS,LOSS,2184,14,22,6,12,2,2,1,3,9,2,0,4,2,31.3
True,2009-12-28,16,15,PHOENIX SUNS,HOME,LOS ANGELES LAKERS,WIN,1850,5,11,3,6,3,3,0,3,13,0,0,2,1,17.9
True,2009-12-30,11,15,PHOENIX SUNS,HOME,BOSTON CELTICS,WIN,1771,4,8,0,2,3,3,1,3,8,1,0,5,2,9.4
True,2010-01-02,19,-11,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,LOSS,1938,8,15,2,4,1,2,1,3,13,0,0,6,0,16.0
True,2010-01-05,30,9,PHOENIX SUNS,AWAY,SACRAMENTO KINGS,WIN,2325,8,16,1,3,13,13,0,3,12,0,1,7,1,24.6
True,2010-01-06,26,17,PHOENIX SUNS,HOME,HOUSTON ROCKETS,WIN,2122,11,16,2,2,2,2,0,2,12,3,0,6,1,24.8
True,2010-01-08,16,-6,PHOENIX SUNS,HOME,MIAMI HEAT,LOSS,2230,6,14,2,5,2,2,0,1,12,0,0,6,0,11.3
True,2010-01-11,30,10,PHOENIX SUNS,HOME,MILWAUKEE BUCKS,WIN,2211,12,18,2,4,4,4,0,7,11,0,0,7,2,24.2
True,2010-01-13,20,-10,PHOENIX SUNS,AWAY,INDIANA PACERS,LOSS,1621,8,14,1,4,3,3,0,4,9,0,0,1,3,18.7
True,2010-01-15,12,-3,PHOENIX SUNS,AWAY,ATLANTA HAWKS,LOSS,1895,3,8,0,3,6,6,0,2,11,0,0,2,2,13.1
True,2010-01-16,5,-24,PHOENIX SUNS,AWAY,CHARLOTTE BOBCATS,LOSS,1562,2,7,1,4,0,0,0,4,5,0,0,3,0,2.6
True,2010-01-18,22,-5,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,2112,9,17,3,6,1,2,1,3,12,0,1,6,3,16.8
True,2010-01-20,12,23,PHOENIX SUNS,HOME,NEW JERSEY NETS,WIN,1694,5,10,1,2,1,1,1,4,15,1,0,4,0,16.4
True,2010-01-22,8,-6,PHOENIX SUNS,HOME,CHICAGO BULLS,LOSS,2040,4,12,0,0,0,0,0,5,7,1,0,5,0,3.6
True,2010-01-23,23,8,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,WIN,1898,9,20,3,10,2,2,2,2,6,2,0,6,2,14.0
True,2010-01-25,15,-4,PHOENIX SUNS,AWAY,UTAH JAZZ,LOSS,2330,6,12,3,4,0,0,0,5,15,2,0,4,5,17.0
True,2010-01-26,23,4,PHOENIX SUNS,HOME,CHARLOTTE BOBCATS,LOSS,2449,7,22,5,9,4,4,1,0,9,2,0,6,3,12.2
True,2010-01-28,19,-1,PHOENIX SUNS,HOME,DALLAS MAVERICKS,WIN,2040,7,11,3,3,2,2,0,4,11,0,0,2,2,20.2
