active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-02-25,4,8,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,230,1,2,0,0,2,2,0,2,0,0,0,0,1,3.2
True,2010-02-26,4,-5,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,WIN,965,1,2,0,0,2,2,2,2,0,0,1,2,3,2.5
True,2010-03-01,8,-7,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1078,3,6,0,0,2,4,1,3,0,1,0,3,3,2.6
True,2010-03-03,1,-5,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,596,0,0,0,0,1,2,0,3,0,1,0,0,1,2.1
True,2010-03-05,0,-9,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,232,0,0,0,0,0,2,0,1,0,0,0,0,1,-0.9
True,2010-03-12,0,3,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,893,0,1,0,0,0,2,1,2,0,0,0,2,2,-3.0
True,2010-03-14,6,11,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,WIN,497,0,0,0,0,6,6,0,4,0,0,0,0,1,6.8
True,2010-03-16,7,1,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,672,1,3,0,0,5,8,2,2,0,0,0,0,3,4.9
True,2010-03-17,3,-6,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,588,1,3,0,0,1,2,1,1,0,0,0,0,2,1.1
True,2010-03-19,7,-4,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,1128,2,5,0,0,3,4,4,4,0,0,0,0,4,6.3
True,2010-03-21,16,7,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,1264,5,8,0,0,6,10,2,5,0,1,0,0,3,13.5
True,2010-03-26,0,0,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-03-28,4,8,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,WIN,1320,1,2,0,0,2,4,0,3,0,1,0,1,1,2.7
True,2010-03-31,0,1,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,396,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2010-04-02,3,-6,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,WIN,769,0,0,0,0,3,4,0,1,0,1,1,1,0,3.6
True,2010-04-04,2,-6,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,602,0,0,0,0,2,4,0,2,0,0,0,0,4,0.2
True,2010-04-06,0,-1,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,WIN,169,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2010-04-09,8,2,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,LOSS,1062,3,9,0,0,2,3,1,3,0,0,0,1,1,2.7
True,2010-04-11,0,2,CLEVELAND CAVALIERS,HOME,ORLANDO MAGIC,LOSS,147,0,1,0,0,0,0,2,0,0,0,0,0,1,0.3
True,2010-04-14,6,-9,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1274,3,7,0,0,0,4,3,2,0,1,0,0,5,2.4
