active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-27,20,-1,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2249,5,18,0,2,10,11,1,4,5,1,1,3,2,12.3
True,2009-10-29,30,1,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,1984,6,16,2,6,16,18,0,5,5,0,0,1,4,22.8
True,2009-10-31,42,-1,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,2480,12,20,5,7,13,13,1,5,4,1,0,3,3,34.6
True,2009-11-01,16,12,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,WIN,2314,5,17,1,5,5,7,0,3,5,1,0,1,2,8.9
True,2009-11-03,19,-2,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,LOSS,2519,8,19,1,6,2,3,0,2,6,0,0,2,2,10.5
True,2009-11-06,24,15,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,2174,9,15,1,3,5,8,0,5,2,0,0,1,2,17.0
True,2009-11-08,2,12,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1549,1,6,0,1,0,0,0,6,7,1,0,1,2,4.1
True,2009-11-10,20,16,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,2319,6,11,2,4,6,8,1,0,7,0,1,3,4,15.6
True,2009-11-11,14,13,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1576,7,11,0,3,0,0,0,2,5,0,1,0,0,13.9
True,2009-11-13,15,17,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS HORNETS,WIN,2284,5,16,1,2,4,7,2,6,6,0,0,3,3,7.8
True,2009-11-14,25,8,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE BOBCATS,WIN,2414,9,16,1,1,6,7,1,6,5,0,0,4,2,18.2
True,2009-11-16,17,-9,PORTLAND TRAIL BLAZERS,AWAY,ATLANTA HAWKS,LOSS,2576,7,15,1,3,2,2,1,8,4,0,0,3,5,10.2
True,2009-11-18,20,11,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,2183,7,14,2,3,4,4,1,3,5,0,0,2,2,15.3
True,2009-11-20,17,-16,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,2253,6,17,1,5,4,4,2,2,1,1,0,3,4,6.6
True,2009-11-21,18,19,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1923,8,15,1,4,1,5,0,1,5,0,0,1,1,11.5
True,2009-11-23,18,10,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,WIN,2183,6,13,1,3,5,7,0,2,7,0,0,0,3,14.8
True,2009-11-25,13,2,PORTLAND TRAIL BLAZERS,HOME,NEW JERSEY NETS,WIN,2356,5,10,1,3,2,4,0,2,5,0,0,3,1,7.9
True,2009-11-27,26,-10,PORTLAND TRAIL BLAZERS,HOME,MEMPHIS GRIZZLIES,LOSS,2523,9,22,2,6,6,7,2,6,9,2,0,3,2,21.5
True,2009-11-28,19,-22,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,1913,7,13,0,1,5,5,1,3,4,3,0,3,3,15.9
True,2009-12-01,25,-2,PORTLAND TRAIL BLAZERS,HOME,MIAMI HEAT,LOSS,2548,9,25,3,8,4,5,3,2,5,1,0,3,2,14.1
True,2009-12-05,28,-1,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,WIN,2511,9,15,1,2,9,9,1,2,3,2,0,4,4,20.9
True,2009-12-07,27,-3,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,2398,9,19,0,4,9,10,2,4,3,2,0,5,3,17.4
True,2009-12-09,29,16,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,WIN,2186,11,21,1,3,6,10,1,6,5,0,0,1,2,21.3
