active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,5,6,MINNESOTA TIMBERWOLVES,HOME,NEW JERSEY NETS,WIN,1114,2,4,0,0,1,2,1,3,1,2,0,0,0,6.9
True,2009-10-30,4,6,MINNESOTA TIMBERWOLVES,HOME,CLEVELAND CAVALIERS,LOSS,1298,2,8,0,2,0,0,1,6,2,0,0,1,1,1.7
True,2009-11-01,9,-6,MINNESOTA TIMBERWOLVES,AWAY,PHOENIX SUNS,LOSS,1880,4,10,0,1,1,3,4,0,4,0,0,1,1,7.0
True,2009-11-02,6,3,MINNESOTA TIMBERWOLVES,AWAY,LOS ANGELES CLIPPERS,LOSS,1563,3,4,0,0,0,0,2,6,4,0,0,2,3,7.2
True,2009-11-04,4,-5,MINNESOTA TIMBERWOLVES,HOME,BOSTON CELTICS,LOSS,890,2,3,0,0,0,0,0,4,2,0,0,3,1,1.9
True,2009-11-06,2,-16,MINNESOTA TIMBERWOLVES,HOME,MILWAUKEE BUCKS,LOSS,898,1,4,0,0,0,0,1,0,1,0,0,2,1,-1.4
True,2009-11-08,5,-11,MINNESOTA TIMBERWOLVES,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1310,2,5,0,0,1,2,0,2,3,1,0,2,1,3.2
True,2009-11-09,11,-20,MINNESOTA TIMBERWOLVES,AWAY,GOLDEN STATE WARRIORS,LOSS,1358,4,7,0,0,3,3,0,3,2,1,0,4,4,5.4
True,2009-11-11,10,-16,MINNESOTA TIMBERWOLVES,HOME,PORTLAND TRAIL BLAZERS,LOSS,1680,5,8,0,0,0,0,0,1,5,1,0,0,3,10.0
True,2009-11-13,7,-21,MINNESOTA TIMBERWOLVES,HOME,DALLAS MAVERICKS,LOSS,1557,1,8,0,0,5,8,1,3,3,0,0,1,1,2.9
