active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,4,2,NEW JERSEY NETS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,460,1,4,0,0,2,2,0,1,0,0,0,0,1,1.5
True,2009-10-31,0,-6,NEW JERSEY NETS,AWAY,WASHINGTON WIZARDS,LOSS,271,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2009-11-02,0,-12,NEW JERSEY NETS,AWAY,CHARLOTTE BOBCATS,LOSS,1423,0,5,0,2,0,0,1,6,0,1,2,0,5,-0.6
True,2009-11-04,2,-7,NEW JERSEY NETS,HOME,DENVER NUGGETS,LOSS,1049,1,9,0,5,0,0,2,4,0,0,0,0,3,-2.5
True,2009-11-06,10,-13,NEW JERSEY NETS,AWAY,PHILADELPHIA 76ERS,LOSS,1107,3,8,2,5,2,2,1,0,1,0,0,1,3,4.8
True,2009-11-07,10,1,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,2037,3,6,2,3,2,2,0,5,2,0,0,2,3,6.7
True,2009-11-11,11,2,NEW JERSEY NETS,HOME,PHILADELPHIA 76ERS,LOSS,1641,4,8,1,5,2,2,0,3,0,0,0,2,5,3.9
True,2009-11-13,15,-13,NEW JERSEY NETS,AWAY,ORLANDO MAGIC,LOSS,2178,6,11,3,6,0,0,1,5,0,1,1,2,2,10.8
True,2009-11-17,3,5,NEW JERSEY NETS,HOME,INDIANA PACERS,LOSS,1277,1,4,1,3,0,0,0,4,0,0,0,1,2,0.0
True,2009-11-18,8,-1,NEW JERSEY NETS,AWAY,MILWAUKEE BUCKS,LOSS,1508,3,6,2,5,0,0,0,1,4,2,0,3,2,6.3
True,2009-11-21,4,2,NEW JERSEY NETS,HOME,NEW YORK KNICKS,LOSS,1033,2,6,0,4,0,0,0,6,1,0,0,1,4,0.5
True,2009-11-24,4,-7,NEW JERSEY NETS,AWAY,DENVER NUGGETS,LOSS,576,2,5,0,2,0,0,0,1,0,1,0,1,1,1.2
True,2009-11-25,3,-14,NEW JERSEY NETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,835,1,4,1,2,0,0,0,1,0,0,0,0,3,-0.3
True,2009-11-29,2,8,NEW JERSEY NETS,AWAY,LOS ANGELES LAKERS,LOSS,983,1,4,0,3,0,0,1,3,0,2,0,1,1,1.8
True,2009-12-02,10,0,NEW JERSEY NETS,HOME,DALLAS MAVERICKS,LOSS,1061,4,7,2,2,0,0,1,1,2,3,0,0,1,11.7
True,2009-12-04,5,14,NEW JERSEY NETS,HOME,CHARLOTTE BOBCATS,WIN,1019,1,3,1,2,2,2,1,5,0,0,0,0,2,4.7
True,2009-12-08,2,17,NEW JERSEY NETS,AWAY,CHICAGO BULLS,WIN,798,0,3,0,3,2,2,0,3,4,0,0,0,0,3.6
True,2009-12-13,7,-14,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,LOSS,1299,3,9,1,2,0,0,1,0,0,3,0,2,4,2.0
True,2009-12-15,3,-9,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,619,1,1,1,1,0,0,0,0,0,0,0,0,4,1.1
True,2009-12-16,3,-1,NEW JERSEY NETS,HOME,UTAH JAZZ,LOSS,567,1,4,1,3,0,0,0,1,1,0,0,0,2,0.8
True,2009-12-18,9,3,NEW JERSEY NETS,AWAY,TORONTO RAPTORS,LOSS,948,2,4,1,2,4,6,2,1,0,1,0,1,1,7.5
True,2009-12-19,5,0,NEW JERSEY NETS,HOME,LOS ANGELES LAKERS,LOSS,637,1,2,1,2,2,2,0,0,0,1,0,1,3,2.8
True,2010-01-05,2,0,NEW JERSEY NETS,HOME,MILWAUKEE BUCKS,LOSS,357,1,3,0,1,0,0,0,1,0,0,0,1,0,-0.4
