active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,7,13,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,WIN,1008,3,7,1,2,0,0,0,1,1,0,3,0,3,5.2
True,2009-10-30,8,-2,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,LOSS,2020,3,12,1,5,1,2,1,4,0,0,0,2,4,-1.3
True,2009-10-31,12,-2,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1419,4,8,2,5,2,2,0,6,0,0,0,2,5,5.8
True,2009-11-03,12,10,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1755,3,11,0,2,6,7,0,8,0,1,0,0,2,7.7
True,2009-11-04,16,-9,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1701,7,13,2,6,0,1,0,7,0,1,1,2,3,9.9
True,2009-11-06,28,-1,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1800,11,17,1,3,5,6,1,4,0,0,0,1,4,19.4
True,2009-11-08,16,8,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,1647,7,12,0,1,2,4,2,3,0,0,1,2,3,9.4
True,2009-11-11,30,28,DETROIT PISTONS,HOME,CHARLOTTE BOBCATS,WIN,1878,13,17,2,4,2,2,0,4,0,2,1,1,2,25.4
True,2009-11-14,25,8,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,WIN,2330,10,21,4,7,1,1,0,7,1,2,2,2,6,16.1
True,2009-11-15,13,-9,DETROIT PISTONS,HOME,DALLAS MAVERICKS,LOSS,2073,6,16,0,3,1,2,1,9,1,0,1,2,5,4.6
True,2009-11-17,2,-15,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,1395,1,6,0,2,0,0,0,4,1,1,2,0,1,2.1
True,2009-11-18,20,10,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,970,9,15,2,4,0,0,2,1,0,0,0,1,3,12.6
True,2009-11-21,17,1,DETROIT PISTONS,AWAY,UTAH JAZZ,LOSS,2190,6,15,1,6,4,4,2,6,0,2,3,2,6,11.8
True,2009-11-22,13,-12,DETROIT PISTONS,AWAY,PHOENIX SUNS,LOSS,1607,5,13,1,3,2,3,3,2,0,0,1,1,1,7.5
True,2009-11-25,19,-9,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,2036,7,15,3,5,2,4,1,7,1,1,2,2,4,12.8
True,2009-11-27,11,-15,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,2129,5,15,1,6,0,0,1,4,1,0,0,2,3,1.9
True,2009-11-29,13,4,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1128,5,10,1,3,2,2,2,4,0,1,1,1,0,11.3
True,2009-12-04,9,-4,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1025,4,6,1,2,0,0,0,2,0,1,0,1,5,5.0
True,2009-12-06,18,11,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,2207,8,19,1,8,1,1,2,2,5,0,0,1,4,10.8
True,2009-12-09,11,-5,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,1644,5,12,0,3,1,1,0,5,1,0,0,0,3,5.6
True,2009-12-10,27,5,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,2070,10,19,1,3,6,7,0,5,5,0,1,1,4,20.4
True,2009-12-12,24,5,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,2031,9,14,0,2,6,6,2,7,1,2,0,2,2,21.2
True,2009-12-15,16,-11,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,1497,7,15,2,4,0,0,1,3,1,0,1,1,4,8.7
True,2009-12-16,18,-1,DETROIT PISTONS,AWAY,NEW ORLEANS HORNETS,LOSS,1929,7,14,3,7,1,2,1,7,2,1,0,1,2,14.0
True,2009-12-18,16,-5,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1482,6,17,3,6,1,1,2,3,0,0,2,2,3,7.0
True,2009-12-20,6,-10,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1715,2,9,0,2,2,2,1,7,2,1,0,1,4,3.1
True,2009-12-22,4,-8,DETROIT PISTONS,AWAY,CHARLOTTE BOBCATS,LOSS,1355,2,8,0,2,0,0,0,4,0,0,1,3,2,-2.7
True,2009-12-23,0,-7,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,733,0,7,0,2,0,0,0,2,1,0,0,0,1,-4.0
True,2009-12-27,8,-7,DETROIT PISTONS,AWAY,TORONTO RAPTORS,LOSS,1124,2,7,0,3,4,4,1,1,0,0,1,4,3,0.4
True,2009-12-29,0,-9,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,736,0,4,0,2,0,0,0,1,0,0,0,1,0,-3.5
True,2009-12-31,10,-11,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1721,4,14,2,6,0,0,1,3,0,0,1,0,2,3.3
True,2010-01-05,17,-5,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1652,6,12,4,6,1,2,2,7,2,1,1,1,5,14.2
True,2010-01-06,14,-20,DETROIT PISTONS,AWAY,SAN ANTONIO SPURS,LOSS,1404,7,15,0,2,0,0,6,2,1,1,0,1,3,10.6
True,2010-01-09,19,-3,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1539,7,13,2,4,3,3,2,3,0,1,0,0,4,14.4
True,2010-01-11,4,-22,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1336,1,10,0,3,2,2,0,5,0,1,0,0,2,-0.9
True,2010-01-12,23,10,DETROIT PISTONS,AWAY,WASHINGTON WIZARDS,WIN,1773,9,13,5,6,0,0,4,5,1,0,0,0,3,21.3
True,2010-01-15,13,3,DETROIT PISTONS,HOME,NEW ORLEANS HORNETS,WIN,2347,5,13,1,3,2,2,2,5,0,2,0,2,1,8.4
True,2010-01-16,19,3,DETROIT PISTONS,HOME,NEW YORK KNICKS,WIN,2042,7,20,1,6,4,5,3,7,1,1,2,4,4,9.1
True,2010-01-18,16,-16,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1537,7,15,0,0,2,3,3,3,0,1,0,3,4,7.3
True,2010-01-20,19,1,DETROIT PISTONS,HOME,BOSTON CELTICS,WIN,1849,7,14,3,8,2,2,1,2,1,0,2,0,3,14.2
True,2010-01-22,3,-22,DETROIT PISTONS,HOME,INDIANA PACERS,LOSS,1227,1,9,0,2,1,1,0,5,0,0,1,0,3,-1.9
True,2010-01-23,17,-5,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1807,7,18,1,9,2,2,1,4,0,1,0,0,4,8.5
True,2010-01-27,13,5,DETROIT PISTONS,HOME,MEMPHIS GRIZZLIES,LOSS,1831,5,8,1,3,2,3,1,6,0,2,3,2,4,12.0
True,2010-01-29,15,-16,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,1664,6,11,1,2,2,4,1,3,0,2,1,2,2,10.4
True,2010-02-02,0,-2,DETROIT PISTONS,AWAY,NEW JERSEY NETS,WIN,495,0,2,0,0,0,0,0,1,0,1,0,1,1,-1.5
True,2010-02-06,12,-5,DETROIT PISTONS,HOME,NEW JERSEY NETS,WIN,1008,4,7,4,4,0,0,0,2,0,0,2,1,3,8.5
True,2010-02-09,0,-7,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,WIN,1122,0,5,0,2,0,0,1,3,0,0,0,1,3,-4.1
True,2010-02-10,11,-7,DETROIT PISTONS,HOME,SACRAMENTO KINGS,LOSS,1164,4,8,2,2,1,2,1,2,1,0,0,0,0,8.6
True,2010-02-16,11,5,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,WIN,1382,4,9,1,6,2,2,0,6,2,0,1,0,3,9.0
True,2010-02-17,0,-5,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,196,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2010-02-19,2,-4,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,LOSS,1095,1,4,0,2,0,0,0,4,0,0,1,2,3,-1.7
True,2010-02-21,7,2,DETROIT PISTONS,HOME,SAN ANTONIO SPURS,WIN,1001,3,8,1,4,0,0,1,3,0,2,0,0,2,5.4
True,2010-02-23,11,-6,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,WIN,1577,4,6,2,4,1,2,1,4,1,1,3,2,2,10.9
True,2010-02-24,8,0,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,LOSS,1004,3,6,2,4,0,0,1,1,1,2,1,0,1,9.0
True,2010-02-26,5,-12,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1102,2,6,1,3,0,0,1,6,0,0,0,1,3,1.9
True,2010-02-27,7,-7,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,LOSS,1019,3,9,1,2,0,0,2,5,1,0,1,2,3,3.0
True,2010-03-02,8,-9,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1042,3,8,0,4,2,2,1,1,0,1,0,0,3,4.4
True,2010-03-03,5,-16,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,927,2,6,0,0,1,2,1,1,0,1,2,1,4,2.0
