active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,10,-33,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,2268,3,9,0,1,4,8,2,10,0,2,0,4,2,4.9
True,2009-10-30,18,4,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,WIN,3188,4,20,0,3,10,11,3,12,0,1,2,4,2,8.5
True,2009-10-31,11,-20,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,2134,4,11,0,0,3,4,2,7,0,2,0,3,2,6.2
True,2009-11-02,24,15,CHARLOTTE BOBCATS,HOME,NEW JERSEY NETS,WIN,2670,7,14,0,1,10,13,7,13,0,4,1,2,2,26.5
True,2009-11-06,11,26,CHARLOTTE BOBCATS,HOME,ATLANTA HAWKS,WIN,2161,3,14,0,1,5,5,2,16,2,1,1,4,1,7.3
True,2009-11-07,12,3,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,2712,5,13,1,3,1,2,1,8,1,2,0,2,3,7.1
True,2009-11-10,13,-8,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,LOSS,2470,5,12,0,0,3,4,3,6,1,3,0,3,3,9.6
True,2009-11-11,12,-34,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,2383,5,10,0,1,2,5,1,5,2,0,0,2,1,7.0
True,2009-11-14,12,0,CHARLOTTE BOBCATS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2340,4,10,0,1,4,6,3,5,1,1,0,3,3,6.9
True,2009-11-16,11,-10,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,2787,2,5,1,1,6,8,1,8,3,0,0,1,5,9.7
True,2009-11-18,11,-1,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,2715,3,7,1,2,4,6,3,9,1,3,1,4,2,10.9
True,2009-11-20,22,-5,CHARLOTTE BOBCATS,AWAY,MILWAUKEE BUCKS,LOSS,2762,7,12,0,2,8,12,0,10,4,2,1,1,2,21.5
True,2009-11-22,11,14,CHARLOTTE BOBCATS,HOME,INDIANA PACERS,WIN,1752,3,9,0,1,5,6,0,11,1,3,1,3,3,9.0
True,2009-11-25,31,27,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,2076,10,20,0,4,11,12,2,11,3,2,2,1,1,29.4
True,2009-11-27,31,2,CHARLOTTE BOBCATS,HOME,CLEVELAND CAVALIERS,WIN,2429,9,14,3,7,10,14,3,11,1,3,0,2,1,29.9
True,2009-11-28,14,22,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,WIN,2122,6,12,2,2,0,0,4,10,0,0,1,3,2,10.7
True,2009-12-01,5,-3,CHARLOTTE BOBCATS,HOME,BOSTON CELTICS,LOSS,1655,1,6,0,0,3,4,1,7,2,0,1,2,2,2.9
True,2009-12-04,13,3,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,LOSS,2493,5,8,0,0,3,3,3,17,5,0,2,3,1,18.1
True,2009-12-05,24,0,CHARLOTTE BOBCATS,HOME,PHILADELPHIA 76ERS,WIN,2739,9,18,1,2,5,6,1,13,4,3,1,2,5,21.7
True,2009-12-08,25,14,CHARLOTTE BOBCATS,HOME,DENVER NUGGETS,WIN,2665,8,16,1,2,8,11,5,11,1,1,1,2,4,21.4
True,2009-12-11,18,-10,CHARLOTTE BOBCATS,AWAY,SAN ANTONIO SPURS,LOSS,2181,6,9,0,0,6,10,0,6,2,2,0,2,3,14.5
True,2009-12-12,23,4,CHARLOTTE BOBCATS,AWAY,DALLAS MAVERICKS,LOSS,3033,6,14,2,4,9,12,4,12,2,0,1,5,5,15.9
True,2009-12-15,21,10,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,WIN,2301,8,14,0,0,5,8,3,5,5,4,0,3,4,19.7
True,2009-12-16,29,-1,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,LOSS,2613,10,18,0,3,9,13,1,11,1,4,1,5,4,21.6
True,2009-12-19,30,-6,CHARLOTTE BOBCATS,HOME,UTAH JAZZ,LOSS,2707,10,16,0,1,10,13,2,11,5,2,1,4,4,26.9
True,2009-12-22,29,7,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,WIN,2558,10,18,4,6,5,6,1,11,3,2,4,4,1,26.5
True,2009-12-26,13,-7,CHARLOTTE BOBCATS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2704,3,9,1,2,6,10,1,5,2,1,2,0,2,11.5
True,2009-12-28,21,9,CHARLOTTE BOBCATS,HOME,MILWAUKEE BUCKS,WIN,2591,7,13,0,1,7,9,2,12,4,1,1,1,3,21.2
True,2009-12-30,15,-1,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,LOSS,2639,7,13,0,1,1,1,5,11,2,1,0,4,5,11.9
True,2010-01-02,15,6,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,2725,3,11,0,2,9,11,1,7,3,0,3,2,2,11.9
True,2010-01-03,19,-3,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,WIN,2527,5,10,1,3,8,8,1,11,0,2,1,5,2,14.9
True,2010-01-05,32,2,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,WIN,2684,10,16,2,3,10,11,1,8,2,1,2,1,4,28.7
True,2010-01-07,13,-4,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,2880,6,12,1,2,0,0,2,7,1,2,0,0,1,12.8
True,2010-01-09,18,8,CHARLOTTE BOBCATS,HOME,MEMPHIS GRIZZLIES,WIN,2599,8,15,0,2,2,3,2,6,1,1,3,1,5,14.3
True,2010-01-12,9,8,CHARLOTTE BOBCATS,HOME,HOUSTON ROCKETS,WIN,2880,2,10,0,1,5,8,2,6,3,2,1,4,5,3.6
True,2010-01-15,21,22,CHARLOTTE BOBCATS,HOME,SAN ANTONIO SPURS,WIN,2570,9,14,0,1,3,3,2,5,3,4,5,2,3,24.1
