active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-27,0,-8,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,WIN,202,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
True,2009-10-30,2,7,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,LOSS,478,1,2,0,0,0,0,0,1,1,0,0,0,0,2.0
True,2009-11-01,8,-8,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,820,4,6,0,1,0,0,0,2,2,1,0,1,1,7.0
True,2009-11-03,0,-2,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,WIN,366,0,2,0,0,0,0,0,1,1,0,0,0,2,-1.2
True,2009-11-04,2,-11,LOS ANGELES LAKERS,AWAY,HOUSTON ROCKETS,WIN,501,1,3,0,0,0,0,0,0,0,0,0,1,0,-0.7
True,2009-11-06,5,7,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,1159,2,7,1,1,0,0,3,4,7,1,0,1,1,8.7
True,2009-11-08,11,0,LOS ANGELES LAKERS,HOME,NEW ORLEANS HORNETS,WIN,1262,4,7,3,5,0,0,0,2,2,2,0,1,1,10.3
True,2009-11-12,3,4,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,550,1,2,1,1,0,0,0,1,4,0,0,1,1,3.7
True,2009-11-13,2,-6,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,375,1,3,0,0,0,0,1,0,0,0,0,1,1,-0.4
True,2010-01-12,4,-5,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,LOSS,360,2,4,0,0,0,0,1,0,0,1,0,0,0,3.7
True,2010-01-13,4,2,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,848,2,4,0,0,0,0,0,1,4,0,0,0,0,5.1
True,2010-01-15,0,-7,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,WIN,425,0,1,0,1,0,2,1,0,1,1,0,1,0,-0.1
True,2010-01-18,0,7,LOS ANGELES LAKERS,HOME,ORLANDO MAGIC,WIN,369,0,1,0,0,0,0,0,2,1,0,0,0,2,-0.2
True,2010-01-21,2,-2,LOS ANGELES LAKERS,AWAY,CLEVELAND CAVALIERS,LOSS,534,1,4,0,0,0,0,1,1,1,0,0,0,0,1.3
True,2010-01-22,3,1,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,210,1,2,1,1,0,0,0,0,0,0,0,0,0,2.0
True,2010-01-24,2,2,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,629,1,2,0,0,0,0,2,1,2,0,0,1,0,3.1
True,2010-01-26,0,0,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-01-27,2,4,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,WIN,584,1,1,0,0,0,0,0,2,0,0,0,0,0,2.3
True,2010-01-31,0,-5,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,WIN,182,0,0,0,0,0,0,0,0,1,0,0,0,3,-0.5
True,2010-02-01,2,-7,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,LOSS,385,1,1,0,0,0,0,0,0,0,1,0,0,1,2.3
True,2010-02-03,2,-4,LOS ANGELES LAKERS,HOME,CHARLOTTE BOBCATS,WIN,319,1,1,0,0,0,0,0,1,0,0,0,1,0,1.0
True,2010-02-06,0,-4,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,404,0,3,0,1,0,0,0,0,0,0,0,0,1,-2.5
True,2010-02-08,4,5,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,680,1,3,0,1,2,2,0,4,1,1,0,1,1,3.8
True,2010-02-10,0,2,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,WIN,344,0,5,0,0,0,0,0,0,0,1,0,0,0,-2.5
True,2010-04-04,0,-2,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,LOSS,476,0,0,0,0,0,0,0,0,2,0,0,0,2,0.6
True,2010-04-08,0,-4,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,222,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2010-04-09,0,3,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1130,0,3,0,1,0,0,1,2,1,0,0,1,1,-1.5
True,2010-04-13,9,1,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,WIN,1414,4,11,1,3,0,0,2,0,3,0,1,0,0,7.1
True,2010-04-14,2,-16,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,1076,1,4,0,1,0,0,0,1,6,0,0,1,0,3.1
