active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2009-10-28,18,-9,NEW ORLEANS HORNETS,AWAY,SAN ANTONIO SPURS,LOSS,2259,7,12,0,0,4,6,1,8,3,3,1,1,2,18.7
True,2009-10-30,13,2,NEW ORLEANS HORNETS,HOME,SACRAMENTO KINGS,WIN,2121,5,12,0,0,3,4,1,7,2,3,2,1,3,12.6
True,2009-11-01,10,-5,NEW ORLEANS HORNETS,AWAY,BOSTON CELTICS,LOSS,2195,4,14,1,2,1,1,1,1,2,0,1,1,0,3.9
True,2009-11-02,21,-4,NEW ORLEANS HORNETS,AWAY,NEW YORK KNICKS,LOSS,2217,7,13,0,1,7,8,1,2,3,0,0,3,3,13.5
True,2009-11-04,25,13,NEW ORLEANS HORNETS,HOME,DALLAS MAVERICKS,WIN,2555,10,18,0,0,5,5,6,4,5,3,0,0,3,27.1
True,2009-11-06,14,-6,NEW ORLEANS HORNETS,HOME,TORONTO RAPTORS,LOSS,2033,7,12,0,0,0,2,1,3,1,1,0,2,4,7.3
True,2009-11-08,11,-18,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,1779,4,11,0,0,3,4,1,3,0,1,0,2,1,4.7
True,2009-11-09,17,29,NEW ORLEANS HORNETS,AWAY,LOS ANGELES CLIPPERS,WIN,1744,8,14,0,0,1,2,5,4,2,1,0,2,1,14.7
True,2009-11-11,10,-15,NEW ORLEANS HORNETS,AWAY,PHOENIX SUNS,LOSS,1674,3,9,0,0,4,4,2,2,1,0,0,1,0,6.6
True,2009-11-13,15,-16,NEW ORLEANS HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2352,7,13,0,0,1,2,2,8,1,0,1,2,1,11.1
True,2009-11-14,8,-19,NEW ORLEANS HORNETS,AWAY,ATLANTA HAWKS,LOSS,2262,4,17,0,0,0,0,6,6,3,0,0,4,5,-0.2
True,2009-11-17,24,-3,NEW ORLEANS HORNETS,HOME,LOS ANGELES CLIPPERS,WIN,2178,9,14,0,0,6,6,6,4,5,1,0,3,1,24.3
True,2009-11-19,6,14,NEW ORLEANS HORNETS,HOME,PHOENIX SUNS,WIN,1731,2,11,0,0,2,2,2,2,5,1,0,1,4,3.0
True,2009-11-21,12,4,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,2051,6,20,0,0,0,0,5,5,1,0,4,0,3,7.7
True,2009-11-22,13,-16,NEW ORLEANS HORNETS,AWAY,MIAMI HEAT,LOSS,1925,6,15,0,0,1,1,2,7,1,0,1,3,4,5.2
True,2009-11-25,27,8,NEW ORLEANS HORNETS,HOME,MILWAUKEE BUCKS,WIN,2584,9,19,0,0,9,9,4,6,5,1,1,3,5,22.1
True,2009-11-29,24,-12,NEW ORLEANS HORNETS,AWAY,SACRAMENTO KINGS,LOSS,2409,9,16,0,0,6,6,0,2,2,0,1,2,3,15.9
True,2009-12-01,8,-23,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,1640,4,9,0,1,0,0,0,3,2,0,0,2,2,2.8
True,2009-12-04,17,19,NEW ORLEANS HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2213,8,18,0,0,1,2,3,3,5,0,3,0,3,14.6
True,2009-12-08,24,12,NEW ORLEANS HORNETS,HOME,SACRAMENTO KINGS,WIN,2156,9,13,0,0,6,8,1,11,5,0,1,1,4,23.3
True,2009-12-09,13,-7,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1714,6,15,1,1,0,0,1,5,3,0,0,1,2,7.4
True,2009-12-11,20,-16,NEW ORLEANS HORNETS,HOME,NEW YORK KNICKS,LOSS,2165,6,11,0,1,8,8,6,1,0,0,1,4,2,15.1
True,2009-12-14,11,-15,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,LOSS,1918,5,13,0,0,1,1,2,2,0,0,0,1,2,4.1
True,2009-12-16,32,10,NEW ORLEANS HORNETS,HOME,DETROIT PISTONS,WIN,2709,15,22,0,0,2,2,5,7,1,2,0,6,3,23.7
True,2009-12-18,12,-3,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,WIN,2395,6,16,0,0,0,0,1,7,1,1,0,0,2,6.9
True,2009-12-20,21,-8,NEW ORLEANS HORNETS,AWAY,TORONTO RAPTORS,LOSS,2074,9,21,0,1,3,3,4,8,2,0,1,1,3,15.0
True,2009-12-23,14,-8,NEW ORLEANS HORNETS,HOME,GOLDEN STATE WARRIORS,WIN,2098,6,13,0,0,2,2,3,5,4,0,2,6,3,7.9
True,2009-12-26,12,-19,NEW ORLEANS HORNETS,AWAY,CHICAGO BULLS,LOSS,1523,6,14,0,0,0,0,0,3,1,0,0,4,2,1.4
True,2009-12-29,44,0,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,2345,18,30,2,4,6,8,2,10,4,2,0,3,3,34.4
True,2009-12-30,21,-1,NEW ORLEANS HORNETS,HOME,MIAMI HEAT,WIN,2392,8,17,0,0,5,6,2,8,3,1,0,2,2,16.0
True,2010-01-02,15,8,NEW ORLEANS HORNETS,HOME,HOUSTON ROCKETS,WIN,2178,6,14,0,0,3,4,1,4,2,1,0,1,2,9.7
True,2010-01-04,20,-1,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,WIN,2419,9,13,0,0,2,2,1,8,1,3,2,3,2,18.9
True,2010-01-06,19,13,NEW ORLEANS HORNETS,AWAY,OKLAHOMA CITY THUNDER,WIN,2312,8,14,0,1,3,3,1,7,3,1,2,1,4,17.1
