active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-10-27,14,22,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1703,2,7,0,3,10,11,0,2,8,3,0,2,2,15.9
True,2010-10-29,20,7,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,LOSS,2108,5,14,0,2,10,11,1,1,5,3,0,4,3,14.1
True,2010-10-30,13,2,DENVER NUGGETS,AWAY,HOUSTON ROCKETS,WIN,1983,1,8,1,5,10,11,0,3,3,1,0,2,2,8.6
True,2010-11-03,16,-8,DENVER NUGGETS,HOME,DALLAS MAVERICKS,LOSS,2074,5,12,4,9,2,2,1,2,4,1,0,3,1,11.3
True,2010-11-05,12,14,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1701,4,11,1,4,3,3,0,0,7,0,0,2,1,8.4
True,2010-11-06,18,2,DENVER NUGGETS,AWAY,DALLAS MAVERICKS,WIN,2050,5,15,3,4,5,6,0,2,1,2,1,3,2,9.3
True,2010-11-08,14,-2,DENVER NUGGETS,AWAY,CHICAGO BULLS,LOSS,2135,5,10,2,5,2,2,0,4,4,1,0,5,4,7.4
True,2010-11-09,9,-17,DENVER NUGGETS,AWAY,INDIANA PACERS,LOSS,1460,3,6,1,2,2,2,0,0,3,2,0,3,0,7.1
True,2010-11-11,15,-10,DENVER NUGGETS,HOME,LOS ANGELES LAKERS,WIN,1809,3,11,1,7,8,8,0,2,4,0,0,2,2,9.1
True,2010-11-15,14,-6,DENVER NUGGETS,AWAY,PHOENIX SUNS,LOSS,1886,4,14,1,5,5,5,0,4,2,0,0,1,3,6.2
True,2010-11-16,13,-2,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,1967,4,12,0,2,5,7,0,2,8,1,0,4,3,7.4
True,2010-11-18,13,9,DENVER NUGGETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2205,3,8,3,7,4,4,0,0,5,1,0,2,3,9.9
True,2010-11-20,8,3,DENVER NUGGETS,HOME,NEW JERSEY NETS,WIN,1997,1,3,1,2,5,6,0,1,7,1,1,4,1,8.4
True,2010-11-28,25,12,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2054,8,14,4,6,5,6,0,3,8,1,0,1,1,24.1
True,2010-12-01,16,17,DENVER NUGGETS,HOME,MILWAUKEE BUCKS,WIN,2035,4,10,1,2,7,8,0,2,9,0,1,4,1,13.4
True,2010-12-03,17,6,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1995,3,9,2,7,9,10,0,5,5,1,0,4,3,12.3
True,2010-12-05,11,-1,DENVER NUGGETS,HOME,MEMPHIS GRIZZLIES,WIN,1999,2,6,1,4,6,6,0,0,4,3,0,4,3,8.2
True,2010-12-07,25,2,DENVER NUGGETS,AWAY,CHARLOTTE BOBCATS,LOSS,2106,5,13,4,7,11,12,0,3,5,4,1,3,2,22.8
True,2010-12-08,5,-21,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,1978,2,10,1,4,0,2,0,1,7,0,0,1,5,0.2
True,2010-12-10,21,18,DENVER NUGGETS,AWAY,TORONTO RAPTORS,WIN,2086,4,11,2,5,11,13,0,3,8,0,0,4,3,15.4
True,2010-12-12,4,-5,DENVER NUGGETS,AWAY,NEW YORK KNICKS,LOSS,1693,1,7,1,4,1,2,1,0,6,0,0,2,1,1.6
True,2010-12-22,20,3,DENVER NUGGETS,AWAY,SAN ANTONIO SPURS,LOSS,2209,4,11,0,4,12,12,0,1,7,1,0,4,2,15.3
True,2010-12-25,30,-1,DENVER NUGGETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2331,10,16,3,4,7,7,0,3,3,2,0,2,4,24.2
True,2010-12-26,24,-7,DENVER NUGGETS,HOME,PHILADELPHIA 76ERS,LOSS,2201,6,10,4,6,8,8,0,3,4,1,0,4,2,19.3
True,2010-12-28,18,23,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1800,7,11,2,3,2,2,0,4,9,0,1,2,2,18.5
True,2010-12-29,36,-2,DENVER NUGGETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2231,9,14,6,6,12,13,0,2,5,3,0,5,2,30.7
True,2011-01-01,22,6,DENVER NUGGETS,HOME,SACRAMENTO KINGS,WIN,2062,7,11,3,4,5,5,1,3,5,1,1,5,0,18.9
True,2011-01-03,13,10,DENVER NUGGETS,HOME,HOUSTON ROCKETS,WIN,1641,3,5,1,2,6,7,0,1,1,3,0,2,4,10.7
True,2011-01-05,25,-17,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2018,5,14,5,8,10,11,1,1,3,2,0,2,1,19.5
