active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-10-28,6,1,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,586,2,4,0,0,2,2,0,2,1,1,0,0,0,6.3
True,2010-10-30,0,-4,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,170,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2010-11-02,0,-6,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2010-11-05,0,-6,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,114,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2010-11-13,2,6,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,1071,1,4,0,0,0,0,2,0,4,1,1,0,3,4.3
True,2010-11-16,8,8,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1209,4,6,0,0,0,1,0,2,0,1,1,2,4,3.7
True,2010-11-17,3,-3,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1298,1,4,0,0,1,2,2,3,2,1,0,0,1,4.5
True,2010-11-19,2,-7,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,585,1,5,0,0,0,0,3,1,0,0,0,2,1,-1.1
True,2010-11-21,4,7,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,LOSS,549,1,1,0,0,2,2,0,0,0,0,0,0,1,3.3
True,2010-11-23,5,-2,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,712,2,4,0,0,1,2,0,1,0,1,0,1,0,2.9
True,2010-11-25,2,0,WASHINGTON WIZARDS,AWAY,ATLANTA HAWKS,LOSS,695,1,3,0,0,0,0,0,1,0,0,0,0,3,-0.6
True,2010-11-27,2,0,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,630,1,1,0,0,0,0,1,2,0,0,0,1,1,1.6
True,2010-11-29,6,3,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,465,3,4,0,0,0,0,0,1,1,0,2,1,3,4.6
True,2010-12-01,5,-10,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1401,2,4,0,0,1,3,2,2,0,2,2,1,4,5.0
True,2010-12-03,0,0,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,WIN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-12-05,9,-1,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,LOSS,793,4,6,0,0,1,1,1,1,0,1,0,1,2,6.6
True,2010-12-07,14,17,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1285,7,9,0,0,0,0,3,1,0,2,0,0,5,12.9
True,2010-12-08,4,-16,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,LOSS,1773,1,2,0,0,2,2,3,2,2,1,1,1,1,7.4
True,2010-12-10,2,-3,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,383,1,1,0,0,0,0,0,0,0,0,0,3,1,-1.7
True,2010-12-14,9,-12,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,2069,4,7,0,0,1,1,4,5,0,1,0,0,2,10.2
True,2010-12-16,11,3,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,1834,2,8,0,0,7,8,2,7,1,1,0,2,3,7.8
