active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-10-27,12,-7,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,1405,5,6,1,1,1,2,0,1,3,0,0,2,4,8.2
True,2010-10-29,32,7,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,LOSS,1861,11,16,2,3,8,9,0,4,1,0,0,1,4,24.1
True,2010-10-30,21,5,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1659,5,10,1,2,10,10,0,1,1,0,0,5,3,10.8
True,2010-11-02,14,-4,DETROIT PISTONS,HOME,BOSTON CELTICS,LOSS,1969,6,10,0,2,2,3,0,2,4,0,0,2,6,8.0
True,2010-11-03,22,-8,DETROIT PISTONS,AWAY,ATLANTA HAWKS,LOSS,2502,9,19,0,3,4,5,1,3,4,1,1,3,5,13.0
True,2010-11-05,20,3,DETROIT PISTONS,HOME,CHARLOTTE BOBCATS,WIN,2445,7,16,1,2,5,5,1,2,1,3,0,1,2,14.8
True,2010-11-07,7,5,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,WIN,1509,3,6,1,2,0,0,0,2,6,0,1,0,1,9.1
True,2010-11-09,8,-4,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1384,3,7,1,3,1,1,0,2,1,2,1,1,2,6.5
True,2010-11-12,8,7,DETROIT PISTONS,AWAY,LOS ANGELES CLIPPERS,WIN,1202,3,5,2,3,0,0,0,1,3,0,0,2,2,5.3
True,2010-11-14,16,3,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,WIN,1615,4,6,2,3,6,6,0,3,2,1,0,1,2,14.9
True,2010-11-15,14,-3,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,LOSS,1108,5,11,2,4,2,2,0,2,1,2,0,3,3,7.4
True,2010-11-17,8,1,DETROIT PISTONS,HOME,LOS ANGELES LAKERS,LOSS,1766,3,11,1,3,1,2,0,2,7,0,1,2,4,3.7
True,2010-11-21,10,-9,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,1211,4,6,1,1,1,1,0,1,3,0,0,3,3,5.6
True,2010-11-23,10,2,DETROIT PISTONS,AWAY,DALLAS MAVERICKS,LOSS,1638,3,10,2,2,2,2,0,2,1,0,1,4,0,2.2
True,2010-11-24,10,-1,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,1633,4,7,0,3,2,2,0,2,0,0,0,2,2,4.5
True,2010-11-26,11,-3,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1416,3,5,1,2,4,4,0,2,2,1,0,2,3,8.5
True,2010-11-28,3,-6,DETROIT PISTONS,HOME,NEW YORK KNICKS,LOSS,1745,1,4,1,3,0,0,0,2,1,1,0,3,4,-1.7
True,2010-11-30,10,-6,DETROIT PISTONS,AWAY,ORLANDO MAGIC,LOSS,1326,4,10,1,3,1,1,0,1,4,1,0,2,3,5.5
True,2010-12-01,5,-4,DETROIT PISTONS,AWAY,MIAMI HEAT,LOSS,1440,2,4,1,3,0,0,0,3,2,0,0,2,2,2.5
True,2010-12-03,5,-11,DETROIT PISTONS,HOME,ORLANDO MAGIC,LOSS,1821,2,11,1,3,0,0,2,7,4,1,0,2,1,3.0
True,2010-12-05,12,8,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,WIN,1845,5,14,2,6,0,0,0,6,1,3,0,2,3,6.5
True,2010-12-07,9,-7,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,2214,3,11,2,6,1,2,2,3,1,0,0,4,4,-0.5
True,2010-12-08,19,-9,DETROIT PISTONS,AWAY,NEW ORLEANS HORNETS,LOSS,1717,8,13,3,6,0,1,1,1,2,1,0,2,2,13.3
True,2010-12-10,6,-3,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1127,2,4,1,2,1,2,0,0,1,1,0,1,0,4.3
True,2010-12-11,7,7,DETROIT PISTONS,HOME,TORONTO RAPTORS,LOSS,1059,3,7,1,3,0,0,1,1,3,1,0,1,2,5.6
True,2010-12-14,2,25,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1304,1,6,0,3,0,0,1,0,3,0,0,1,0,0.0
True,2010-12-17,15,0,DETROIT PISTONS,HOME,LOS ANGELES CLIPPERS,LOSS,1876,6,15,1,4,2,2,2,0,2,2,0,0,1,11.3
True,2010-12-19,25,6,DETROIT PISTONS,HOME,NEW ORLEANS HORNETS,WIN,2615,9,21,4,9,3,4,1,6,3,0,0,4,3,12.9
True,2010-12-22,4,0,DETROIT PISTONS,AWAY,TORONTO RAPTORS,WIN,1191,1,7,0,2,2,2,1,4,0,0,0,2,2,-1.4
True,2010-12-26,7,2,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,1102,3,6,1,2,0,0,1,2,1,0,0,0,4,4.4
True,2010-12-27,17,11,DETROIT PISTONS,AWAY,CHARLOTTE BOBCATS,LOSS,2160,6,16,4,8,1,1,0,4,4,3,0,3,1,11.8
True,2010-12-29,12,7,DETROIT PISTONS,HOME,BOSTON CELTICS,WIN,2014,5,8,2,3,0,0,1,0,2,0,0,2,3,7.3
