active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-10-27,0,-7,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,WIN,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2010-11-02,0,6,MIAMI HEAT,HOME,MINNESOTA TIMBERWOLVES,WIN,356,0,1,0,0,0,0,0,1,0,1,0,0,1,0.2
True,2010-11-17,2,4,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,902,1,3,0,0,0,0,2,3,0,0,0,0,2,1.8
True,2010-11-20,2,0,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,473,1,1,0,0,0,0,0,0,1,0,0,1,3,0.2
True,2010-11-22,0,6,MIAMI HEAT,HOME,INDIANA PACERS,LOSS,930,0,0,0,0,0,0,0,4,1,0,0,1,2,0.1
True,2010-11-24,2,-6,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,730,0,1,0,0,2,2,0,0,0,0,0,2,1,-1.1
True,2010-11-26,4,-9,MIAMI HEAT,HOME,PHILADELPHIA 76ERS,WIN,688,2,3,0,0,0,0,1,1,1,0,0,0,2,3.6
True,2010-11-27,2,2,MIAMI HEAT,AWAY,DALLAS MAVERICKS,LOSS,529,0,0,0,0,2,2,1,2,2,0,0,1,2,2.9
True,2010-11-29,4,0,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,582,2,3,0,0,0,0,0,1,0,0,0,0,2,2.2
True,2010-12-01,12,2,MIAMI HEAT,HOME,DETROIT PISTONS,WIN,1138,6,9,0,0,0,0,1,3,1,1,0,0,3,10.2
True,2010-12-02,6,6,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,1150,3,6,0,0,0,0,1,2,1,0,0,1,0,4.0
True,2010-12-04,0,-6,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,407,0,1,0,0,0,0,0,1,0,1,1,0,0,1.3
True,2010-12-06,2,-1,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,563,1,1,0,0,0,0,0,1,1,0,0,0,1,2.3
True,2010-12-08,2,-6,MIAMI HEAT,AWAY,UTAH JAZZ,WIN,524,1,2,0,0,0,0,2,0,1,0,0,2,0,1.1
True,2010-12-10,0,-2,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,WIN,665,0,2,0,0,0,0,1,3,2,0,0,0,2,0.8
True,2010-12-11,0,-10,MIAMI HEAT,AWAY,SACRAMENTO KINGS,WIN,566,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.1
True,2010-12-13,0,4,MIAMI HEAT,HOME,NEW ORLEANS HORNETS,WIN,613,0,0,0,0,0,0,0,0,0,1,0,0,2,0.2
True,2010-12-15,2,-2,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,473,1,3,0,0,0,0,0,1,0,0,0,0,1,0.2
True,2010-12-17,2,9,MIAMI HEAT,AWAY,NEW YORK KNICKS,WIN,1154,1,1,0,0,0,0,0,4,0,0,0,1,1,1.5
True,2010-12-18,4,2,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,723,2,4,0,0,0,0,2,4,0,1,0,0,0,5.6
True,2010-12-20,0,11,MIAMI HEAT,HOME,DALLAS MAVERICKS,LOSS,724,0,2,0,0,0,0,1,1,1,1,1,0,0,2.0
True,2010-12-23,2,6,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,825,0,1,0,0,2,2,0,3,1,0,0,1,2,1.1
True,2010-12-25,1,-5,MIAMI HEAT,AWAY,LOS ANGELES LAKERS,WIN,576,0,2,0,0,1,2,1,1,0,0,0,0,1,-0.2
True,2010-12-28,2,-5,MIAMI HEAT,HOME,NEW YORK KNICKS,WIN,522,1,3,0,0,0,0,1,1,0,0,0,1,1,-0.1
True,2010-12-29,2,22,MIAMI HEAT,AWAY,HOUSTON ROCKETS,WIN,553,0,1,0,0,2,2,0,4,0,0,0,0,0,2.5
True,2011-01-01,4,2,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,653,2,3,0,0,0,0,0,1,0,0,0,0,0,3.0
True,2011-01-03,2,9,MIAMI HEAT,AWAY,CHARLOTTE BOBCATS,WIN,845,0,2,0,0,2,2,0,1,0,0,0,0,0,0.9
True,2011-01-04,0,7,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,628,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2011-01-07,7,-1,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,982,2,5,0,0,3,3,1,3,1,0,0,1,1,5.2
True,2011-01-09,2,-2,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,478,1,1,0,0,0,0,0,2,1,1,0,2,0,2.0
True,2011-01-12,0,-3,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,LOSS,327,0,2,0,0,0,0,1,2,0,0,0,0,1,-0.5
True,2011-01-13,7,-2,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,1062,3,8,0,0,1,2,3,4,0,0,0,0,0,5.5
True,2011-01-15,4,-4,MIAMI HEAT,AWAY,CHICAGO BULLS,LOSS,969,1,3,0,0,2,2,0,1,0,0,0,1,4,0.0
True,2011-01-18,1,-2,MIAMI HEAT,HOME,ATLANTA HAWKS,LOSS,580,0,1,0,0,1,2,0,0,0,0,0,0,0,-0.1
True,2011-01-22,4,6,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,1063,2,4,0,0,0,0,1,3,1,0,1,0,2,4.2
