active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2010-10-27,22,10,CHARLOTTE BOBCATS,AWAY,DALLAS MAVERICKS,LOSS,1796,8,15,0,0,6,7,2,4,0,1,0,1,3,15.7
True,2010-10-29,11,2,CHARLOTTE BOBCATS,HOME,INDIANA PACERS,LOSS,1266,1,6,0,0,9,9,3,2,1,1,2,0,4,11.4
True,2010-10-30,8,-10,CHARLOTTE BOBCATS,AWAY,MILWAUKEE BUCKS,LOSS,1277,3,10,0,0,2,3,2,5,0,2,2,4,4,2.5
True,2010-11-03,6,-6,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,WIN,993,3,5,0,0,0,2,0,3,0,1,0,2,2,2.0
True,2010-11-05,10,-13,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,1300,4,6,0,0,2,2,2,3,2,2,1,2,1,11.4
True,2010-11-06,10,5,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,LOSS,900,3,4,0,0,4,4,0,4,0,0,2,3,4,6.4
True,2010-11-08,16,2,CHARLOTTE BOBCATS,HOME,SAN ANTONIO SPURS,LOSS,1352,5,11,0,0,6,8,5,3,0,2,3,2,1,15.6
True,2010-11-10,14,-3,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,WIN,1275,5,9,0,0,4,4,3,1,2,1,5,1,4,15.4
True,2010-11-12,4,-11,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,WIN,816,1,6,0,0,2,2,5,4,2,0,0,2,2,3.5
True,2010-11-15,20,12,CHARLOTTE BOBCATS,HOME,MINNESOTA TIMBERWOLVES,WIN,1852,8,11,0,0,4,7,3,7,0,2,4,7,3,15.1
True,2010-11-19,9,2,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,LOSS,1135,2,5,0,0,5,6,0,3,0,0,0,1,3,4.6
