active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-25,37,15,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,2015,10,17,4,7,13,15,1,7,3,2,1,5,4,29.3
True,2011-12-28,13,-16,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2078,3,13,0,4,7,9,0,2,1,0,0,1,4,3.0
True,2011-12-29,27,-16,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,LOSS,2207,8,14,2,4,9,10,1,6,5,0,1,5,3,20.5
True,2011-12-31,23,21,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,WIN,1995,6,15,0,3,11,13,1,6,5,1,0,0,4,19.5
True,2012-01-02,35,-2,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2534,13,31,4,9,5,8,1,10,4,1,0,3,1,21.4
True,2012-01-04,32,-3,NEW YORK KNICKS,HOME,CHARLOTTE BOBCATS,LOSS,2062,12,24,2,6,6,6,3,3,5,3,0,4,4,23.9
True,2012-01-06,37,4,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,2163,16,33,2,4,3,5,3,4,4,1,0,4,4,21.0
True,2012-01-07,13,26,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1865,5,14,1,4,2,2,0,4,7,1,3,1,1,13.0
True,2012-01-09,22,4,NEW YORK KNICKS,HOME,CHARLOTTE BOBCATS,WIN,2330,6,18,1,2,9,13,0,4,6,2,0,6,5,9.6
True,2012-01-11,27,5,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,2211,9,24,1,4,8,8,4,5,5,3,0,5,3,18.4
True,2012-01-12,14,-12,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1187,6,11,1,1,1,1,0,3,2,0,0,1,2,9.2
True,2012-01-16,33,4,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,2354,9,27,1,8,14,16,2,6,5,3,0,5,1,21.2
True,2012-01-18,12,-2,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,2305,5,22,1,2,1,4,6,5,4,2,1,1,1,7.2
True,2012-01-20,35,-19,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,2132,11,26,2,6,11,13,3,2,2,1,0,4,3,20.3
True,2012-01-21,25,-9,NEW YORK KNICKS,HOME,DENVER NUGGETS,LOSS,2702,10,30,1,7,4,6,1,9,5,1,0,6,5,7.1
True,2012-01-24,1,13,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,WIN,1778,0,7,0,2,1,1,0,11,4,0,0,1,0,1.2
True,2012-01-25,15,-13,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,2261,5,14,0,3,5,7,0,4,6,0,1,2,3,9.3
True,2012-01-31,25,27,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1975,9,14,2,3,5,5,0,1,6,0,0,4,1,18.9
True,2012-02-02,26,1,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,2369,10,26,0,4,6,6,1,5,3,2,0,4,4,12.5
True,2012-02-03,26,-6,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,2292,8,17,1,5,9,10,0,3,6,0,1,2,2,19.9
True,2012-02-04,11,-2,NEW YORK KNICKS,HOME,NEW JERSEY NETS,WIN,2107,3,15,1,3,4,4,2,1,3,1,1,2,1,4.8
True,2012-02-06,2,7,NEW YORK KNICKS,HOME,UTAH JAZZ,WIN,349,1,2,0,0,0,0,0,1,1,0,0,0,1,1.6
True,2012-02-20,11,-10,NEW YORK KNICKS,HOME,NEW JERSEY NETS,LOSS,2220,4,11,0,0,3,6,0,3,6,1,0,6,3,2.6
True,2012-02-22,15,7,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1634,7,16,1,2,0,0,3,1,3,2,1,2,1,11.4
True,2012-02-23,19,-15,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,2091,7,20,1,1,4,4,3,4,1,0,1,1,4,9.9
True,2012-02-29,22,12,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,WIN,2042,9,16,1,3,3,5,1,4,4,0,0,0,3,17.1
True,2012-03-04,25,-8,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,2124,8,21,0,1,9,10,4,3,2,0,0,3,4,13.6
True,2012-03-06,6,-18,NEW YORK KNICKS,AWAY,DALLAS MAVERICKS,LOSS,1833,2,12,0,3,2,4,2,6,1,0,0,2,1,-0.9
True,2012-03-07,27,-11,NEW YORK KNICKS,AWAY,SAN ANTONIO SPURS,LOSS,2307,12,24,3,7,0,1,0,2,3,2,0,2,5,15.3
True,2012-03-09,22,-5,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,LOSS,2218,7,17,1,2,7,10,1,4,2,1,2,2,1,15.0
True,2012-03-11,22,-16,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,1747,5,13,1,4,11,12,6,3,3,0,0,1,2,19.9
True,2012-03-12,21,-3,NEW YORK KNICKS,AWAY,CHICAGO BULLS,LOSS,2325,8,21,1,3,4,4,2,6,3,2,1,2,4,13.9
True,2012-03-14,16,15,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1477,6,12,3,6,1,2,0,2,7,1,0,2,1,13.7
True,2012-03-16,12,16,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,1363,4,12,0,3,4,5,2,5,5,2,0,0,4,11.6
True,2012-03-17,16,9,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,1780,6,13,1,4,3,7,0,4,3,0,0,3,3,6.8
True,2012-03-20,17,28,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,1874,5,15,1,3,6,8,2,6,5,3,0,2,3,14.2
True,2012-03-21,10,1,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,WIN,2022,5,15,0,2,0,1,1,4,2,0,0,2,4,0.8
True,2012-03-23,12,-19,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1811,6,15,0,4,0,0,3,6,3,2,1,4,4,7.0
True,2012-03-24,15,19,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1762,5,12,0,1,5,6,1,2,1,1,0,1,3,9.0
