active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-28,2,-13,NEW YORK KNICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1322,1,5,0,2,0,0,0,2,4,1,0,1,1,1.9
True,2011-12-29,2,-19,NEW YORK KNICKS,AWAY,LOS ANGELES LAKERS,LOSS,1245,1,4,0,3,0,0,0,1,0,0,0,0,1,-0.5
True,2011-12-31,3,10,NEW YORK KNICKS,AWAY,SACRAMENTO KINGS,WIN,970,1,4,1,2,0,0,0,0,2,1,0,1,5,0.0
True,2012-01-02,0,-18,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,922,0,3,0,3,0,0,0,3,0,1,0,1,3,-2.4
True,2012-01-06,11,-11,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1270,4,6,3,3,0,0,0,1,3,2,0,1,2,11.0
True,2012-01-07,16,26,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,926,4,5,4,4,4,4,0,3,3,0,0,1,2,15.3
True,2012-01-09,0,1,NEW YORK KNICKS,HOME,CHARLOTTE BOBCATS,WIN,376,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2012-01-12,2,-14,NEW YORK KNICKS,AWAY,MEMPHIS GRIZZLIES,LOSS,1156,1,4,0,2,0,0,1,1,3,0,0,1,2,0.9
True,2012-01-14,6,-20,NEW YORK KNICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1181,2,4,2,4,0,0,0,0,3,0,0,1,2,4.3
True,2012-01-16,2,-8,NEW YORK KNICKS,HOME,ORLANDO MAGIC,LOSS,597,1,2,0,1,0,0,0,1,2,0,0,0,0,2.7
True,2012-01-18,0,-5,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,350,0,0,0,0,0,0,0,0,1,1,0,0,1,1.3
True,2012-01-20,0,1,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,LOSS,520,0,2,0,2,0,0,0,1,0,1,0,0,0,-0.1
True,2012-01-24,4,16,NEW YORK KNICKS,AWAY,CHARLOTTE BOBCATS,WIN,982,1,3,1,3,1,2,0,3,3,0,1,1,2,3.8
True,2012-01-25,2,3,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,619,1,3,0,2,0,0,0,1,1,0,0,0,0,1.3
True,2012-01-27,6,-9,NEW YORK KNICKS,AWAY,MIAMI HEAT,LOSS,793,2,9,2,8,0,0,0,0,2,0,0,1,0,0.9
True,2012-01-28,0,-14,NEW YORK KNICKS,AWAY,HOUSTON ROCKETS,LOSS,544,0,3,0,2,0,0,0,0,0,1,0,2,0,-3.1
True,2012-02-08,0,1,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,924,0,6,0,4,0,0,2,0,1,1,0,0,2,-1.9
True,2012-02-10,0,-4,NEW YORK KNICKS,HOME,LOS ANGELES LAKERS,WIN,653,0,2,0,2,0,0,0,3,0,0,0,0,0,-0.5
True,2012-02-11,3,-4,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,973,1,4,1,3,0,0,0,4,0,0,0,1,0,0.8
True,2012-02-14,0,-2,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,WIN,145,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
True,2012-02-15,0,-3,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1073,0,3,0,2,0,0,0,2,2,2,0,1,0,0.9
True,2012-03-14,0,13,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,430,0,1,0,0,0,0,0,2,4,0,0,0,0,2.7
True,2012-03-16,3,-5,NEW YORK KNICKS,HOME,INDIANA PACERS,WIN,200,1,2,1,1,0,0,0,0,1,0,0,0,1,2.3
True,2012-03-17,5,6,NEW YORK KNICKS,AWAY,INDIANA PACERS,WIN,588,2,5,1,2,0,0,0,1,1,1,0,0,1,3.9
True,2012-03-20,1,2,NEW YORK KNICKS,HOME,TORONTO RAPTORS,WIN,697,0,3,0,1,1,2,0,1,0,2,0,1,3,-1.4
True,2012-03-24,0,3,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,330,0,2,0,1,0,0,0,2,1,1,0,0,1,0.5
True,2012-03-26,3,-9,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,WIN,701,1,2,1,2,0,0,0,1,0,0,0,0,1,1.9
True,2012-03-28,0,-7,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1051,0,1,0,1,0,0,0,1,1,0,0,0,3,-0.9
True,2012-03-30,0,-3,NEW YORK KNICKS,AWAY,ATLANTA HAWKS,LOSS,370,0,1,0,0,0,0,1,1,1,0,0,0,0,1.0
True,2012-04-03,0,-1,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,304,0,1,0,0,0,0,0,1,0,0,1,1,2,-1.5
True,2012-04-11,0,-15,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,557,0,0,0,0,0,0,0,1,3,0,0,0,0,2.4
True,2012-04-13,6,19,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,1350,2,4,2,4,0,0,0,2,2,1,0,1,1,5.6
True,2012-04-15,0,2,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,311,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2012-04-17,3,16,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,1587,1,3,1,3,0,0,0,5,6,0,0,0,1,6.6
True,2012-04-18,8,18,NEW YORK KNICKS,AWAY,NEW JERSEY NETS,WIN,2175,3,10,2,6,0,0,0,3,8,1,0,1,3,7.5
True,2012-04-20,12,-7,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,LOSS,1405,4,7,4,5,0,0,0,2,4,2,1,1,2,13.0
