active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-27,2,4,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,322,1,2,0,0,0,0,1,1,0,0,0,0,1,1.6
True,2011-12-30,0,4,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,149,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0
True,2012-01-03,0,-5,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,235,0,2,0,0,0,0,2,1,0,0,0,0,0,0.3
True,2012-01-07,1,5,MILWAUKEE BUCKS,AWAY,LOS ANGELES CLIPPERS,LOSS,258,0,0,0,0,1,2,0,0,0,0,0,0,1,0.2
True,2012-01-08,2,-1,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,504,1,2,0,0,0,1,0,0,0,0,0,0,0,0.6
True,2012-01-13,2,-3,MILWAUKEE BUCKS,AWAY,DALLAS MAVERICKS,LOSS,1152,1,3,0,0,0,0,6,3,1,1,0,0,1,6.7
True,2012-01-16,0,1,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,139,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2012-01-17,0,7,MILWAUKEE BUCKS,HOME,DENVER NUGGETS,LOSS,521,0,1,0,0,0,0,0,1,1,0,0,1,1,-1.1
True,2012-01-20,0,0,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,WIN,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2012-01-30,2,1,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,206,0,1,0,0,2,2,0,1,0,0,0,0,0,1.6
True,2012-02-04,2,-1,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,615,1,3,0,0,0,0,3,1,0,0,0,0,2,1.9
True,2012-02-10,1,2,MILWAUKEE BUCKS,AWAY,CLEVELAND CAVALIERS,WIN,841,0,1,0,0,1,2,1,2,0,0,0,1,3,-1.0
True,2012-02-11,2,0,MILWAUKEE BUCKS,HOME,ORLANDO MAGIC,LOSS,355,1,1,0,0,0,0,1,0,2,0,0,0,2,3.0
True,2012-02-13,0,4,MILWAUKEE BUCKS,HOME,MIAMI HEAT,LOSS,615,0,1,0,0,0,0,1,0,0,1,1,0,0,1.7
True,2012-02-17,0,-25,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,1026,0,3,0,1,0,0,2,1,0,1,0,3,5,-4.4
True,2012-02-19,1,0,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,WIN,583,0,2,0,0,1,2,1,1,0,0,0,0,1,-0.2
True,2012-02-22,0,-1,MILWAUKEE BUCKS,AWAY,CHICAGO BULLS,LOSS,611,0,0,0,0,0,0,0,3,1,0,0,0,1,1.2
True,2012-02-29,0,7,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,103,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
True,2012-03-03,4,-3,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,400,2,3,0,0,0,0,1,0,0,0,0,0,2,2.6
True,2012-03-11,0,-7,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,WIN,234,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2012-03-12,2,-8,MILWAUKEE BUCKS,AWAY,NEW JERSEY NETS,WIN,522,1,2,0,0,0,0,3,2,1,0,0,2,2,1.6
True,2012-03-16,2,-2,MILWAUKEE BUCKS,AWAY,GOLDEN STATE WARRIORS,WIN,210,0,0,0,0,2,2,2,0,0,0,0,0,0,3.4
True,2012-03-20,0,6,MILWAUKEE BUCKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,220,0,0,0,0,0,0,0,2,0,0,0,0,1,0.2
True,2012-03-22,0,2,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,LOSS,93,0,0,0,0,0,2,1,0,0,0,0,0,0,-0.1
True,2012-03-23,0,-3,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,WIN,232,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
True,2012-03-24,6,-2,MILWAUKEE BUCKS,HOME,INDIANA PACERS,LOSS,388,3,3,0,0,0,0,1,0,0,0,0,1,2,4.0
