active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-01-19,6,-6,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,366,2,3,0,0,2,2,2,1,0,0,0,1,2,4.6
True,2012-01-22,0,3,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,345,0,0,0,0,0,0,0,1,0,0,0,1,2,-1.5
True,2012-01-25,0,-3,MIAMI HEAT,AWAY,DETROIT PISTONS,WIN,525,0,2,0,0,0,0,0,0,0,0,0,1,0,-2.4
True,2012-01-29,0,-3,MIAMI HEAT,HOME,CHICAGO BULLS,WIN,123,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2012-01-30,4,-11,MIAMI HEAT,HOME,NEW ORLEANS HORNETS,WIN,240,2,3,0,0,0,0,1,0,0,0,0,1,3,1.2
True,2012-02-12,0,-4,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,169,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-02-13,0,-3,MIAMI HEAT,AWAY,MILWAUKEE BUCKS,WIN,256,0,0,0,0,0,0,0,1,1,0,0,1,2,-0.8
True,2012-02-14,0,-11,MIAMI HEAT,AWAY,INDIANA PACERS,WIN,207,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
True,2012-02-17,0,7,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-03-06,2,-5,MIAMI HEAT,HOME,NEW JERSEY NETS,WIN,356,1,2,0,0,0,0,0,0,0,0,0,0,0,1.0
True,2012-03-20,2,-6,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,282,1,2,0,0,0,0,0,0,0,0,1,0,1,1.3
True,2012-04-13,2,-4,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,WIN,260,1,3,0,0,0,0,0,0,0,0,0,0,1,-0.1
True,2012-04-18,4,3,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,210,2,3,0,0,0,0,0,2,0,0,0,0,0,3.3
True,2012-04-26,10,-20,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,1448,3,7,0,0,4,6,1,3,0,0,1,4,2,3.0
