active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,14,-1,TORONTO RAPTORS,AWAY,CLEVELAND CAVALIERS,WIN,1074,7,7,0,0,0,0,4,3,2,0,2,0,3,17.2
True,2011-12-28,2,-7,TORONTO RAPTORS,HOME,INDIANA PACERS,LOSS,1181,1,2,0,0,0,0,0,3,1,0,0,1,3,0.4
True,2011-12-30,4,-16,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1142,1,3,0,0,2,2,1,5,0,3,0,0,0,7.5
True,2012-01-01,2,-5,TORONTO RAPTORS,AWAY,ORLANDO MAGIC,LOSS,749,1,4,0,0,0,0,1,0,0,0,0,0,2,-0.5
True,2012-01-02,2,8,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,912,1,5,0,0,0,0,1,0,1,0,0,1,2,-1.5
True,2012-01-04,8,4,TORONTO RAPTORS,HOME,CLEVELAND CAVALIERS,WIN,1356,4,7,0,0,0,0,2,5,1,0,1,1,2,7.2
True,2012-01-06,11,-12,TORONTO RAPTORS,HOME,NEW JERSEY NETS,LOSS,1548,4,7,0,0,3,5,2,6,1,1,1,0,1,12.1
True,2012-01-07,2,-17,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,LOSS,1274,1,3,0,0,0,0,1,2,0,2,0,3,3,-0.6
True,2012-01-09,4,-22,TORONTO RAPTORS,HOME,MINNESOTA TIMBERWOLVES,WIN,1028,2,3,0,0,0,0,2,2,1,0,1,3,3,1.9
True,2012-01-10,5,-3,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,1245,1,2,0,0,3,4,2,7,1,0,3,1,2,8.1
True,2012-01-11,6,-2,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,LOSS,842,3,4,0,0,0,0,4,2,0,1,0,1,3,6.6
True,2012-01-13,6,2,TORONTO RAPTORS,HOME,INDIANA PACERS,LOSS,1773,2,8,0,0,2,2,1,9,3,0,1,0,5,5.4
True,2012-01-14,2,-15,TORONTO RAPTORS,AWAY,CHICAGO BULLS,LOSS,1048,1,3,0,0,0,2,0,5,0,0,1,1,1,0.3
True,2012-01-16,7,-6,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2420,3,8,0,0,1,3,2,9,1,3,4,2,4,8.8
True,2012-01-18,9,-21,TORONTO RAPTORS,AWAY,BOSTON CELTICS,LOSS,2094,3,7,0,0,3,4,1,8,1,2,0,2,3,7.5
True,2012-01-20,4,-14,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1908,2,5,0,0,0,0,4,6,2,2,2,2,1,8.3
True,2012-01-22,7,-21,TORONTO RAPTORS,AWAY,LOS ANGELES CLIPPERS,LOSS,1876,1,5,0,0,5,6,0,5,1,0,1,0,4,4.8
True,2012-01-24,0,1,TORONTO RAPTORS,AWAY,PHOENIX SUNS,WIN,187,0,1,0,0,0,0,0,1,0,0,0,1,2,-2.2
True,2012-01-25,2,9,TORONTO RAPTORS,AWAY,UTAH JAZZ,WIN,676,1,3,0,0,0,0,1,4,0,1,0,0,3,2.0
True,2012-01-27,5,-11,TORONTO RAPTORS,AWAY,DENVER NUGGETS,LOSS,1089,2,6,0,0,1,3,1,5,1,1,2,1,4,3.5
True,2012-01-29,6,13,TORONTO RAPTORS,AWAY,NEW JERSEY NETS,WIN,1589,2,5,0,0,2,2,4,5,0,1,0,2,6,4.2
True,2012-01-31,11,-12,TORONTO RAPTORS,HOME,ATLANTA HAWKS,LOSS,1558,4,6,0,0,3,3,6,5,0,1,1,2,3,12.6
True,2012-02-01,10,-32,TORONTO RAPTORS,AWAY,BOSTON CELTICS,LOSS,2308,4,6,0,0,2,4,4,8,0,0,2,3,4,8.6
True,2012-02-03,8,12,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1402,4,8,0,0,0,0,1,3,2,0,1,1,2,5.9
True,2012-02-05,8,-9,TORONTO RAPTORS,AWAY,MIAMI HEAT,LOSS,1805,4,5,0,0,0,0,3,5,0,1,2,0,2,11.3
True,2012-02-06,0,2,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,954,0,1,0,0,0,0,0,3,0,2,0,1,3,0.0
True,2012-02-08,6,-6,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,LOSS,1449,1,6,0,1,4,4,3,4,0,3,0,0,1,8.1
True,2012-02-10,4,-7,TORONTO RAPTORS,HOME,BOSTON CELTICS,WIN,1119,2,4,0,0,0,0,0,6,0,0,0,1,1,2.4
True,2012-02-12,9,3,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,LOSS,1712,4,6,0,0,1,2,2,6,1,1,0,0,0,10.9
True,2012-02-14,4,4,TORONTO RAPTORS,HOME,NEW YORK KNICKS,LOSS,1199,2,5,0,0,0,0,1,1,0,0,2,0,3,2.5
True,2012-02-15,11,-3,TORONTO RAPTORS,HOME,SAN ANTONIO SPURS,LOSS,1389,5,6,0,0,1,1,2,3,0,1,1,0,1,12.4
True,2012-02-17,9,3,TORONTO RAPTORS,HOME,CHARLOTTE BOBCATS,LOSS,1862,4,8,0,0,1,4,4,6,1,2,0,0,2,10.3
True,2012-02-22,10,6,TORONTO RAPTORS,HOME,DETROIT PISTONS,WIN,1346,4,7,0,0,2,2,2,4,0,1,1,0,1,10.6
True,2012-02-28,5,-2,TORONTO RAPTORS,AWAY,HOUSTON ROCKETS,LOSS,1338,2,2,0,0,1,2,3,12,0,0,1,0,2,9.6
True,2012-02-29,0,13,TORONTO RAPTORS,AWAY,NEW ORLEANS HORNETS,WIN,1288,0,2,0,0,0,0,0,3,0,0,3,1,2,-0.2
