active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,9,1,CHARLOTTE BOBCATS,HOME,MILWAUKEE BUCKS,WIN,1801,4,9,1,2,0,0,3,8,9,0,2,1,3,14.3
True,2011-12-28,16,0,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,LOSS,2314,7,14,2,5,0,0,4,12,8,1,1,6,2,15.9
True,2011-12-30,10,-13,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,LOSS,1845,4,10,1,3,1,2,1,5,6,1,0,2,2,8.8
True,2012-01-01,5,-17,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,LOSS,1351,2,4,1,1,0,0,0,2,3,0,0,2,3,2.5
True,2012-01-03,0,-9,CHARLOTTE BOBCATS,AWAY,CLEVELAND CAVALIERS,LOSS,1096,0,5,0,3,0,0,0,5,2,0,1,0,5,-1.9
True,2012-01-04,27,10,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,WIN,2364,12,15,3,3,0,0,1,2,6,1,0,5,1,22.4
True,2012-01-06,10,-8,CHARLOTTE BOBCATS,HOME,ATLANTA HAWKS,LOSS,2454,4,10,2,5,0,0,3,6,4,1,1,3,3,8.8
True,2012-01-07,2,-17,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,LOSS,1640,1,8,0,3,0,0,1,1,2,0,2,3,6,-4.8
True,2012-01-09,19,-7,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,2202,8,12,3,5,0,0,1,9,7,1,0,3,2,19.3
True,2012-01-10,4,-5,CHARLOTTE BOBCATS,HOME,HOUSTON ROCKETS,LOSS,2271,2,14,0,4,0,0,1,7,3,1,2,3,4,-2.3
True,2012-01-12,0,-7,CHARLOTTE BOBCATS,AWAY,ATLANTA HAWKS,LOSS,1555,0,3,0,2,0,0,0,6,4,0,1,2,2,0.4
True,2012-01-13,3,-10,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,LOSS,1490,1,2,0,1,1,2,1,6,5,0,1,1,2,6.5
True,2012-01-14,9,6,CHARLOTTE BOBCATS,HOME,GOLDEN STATE WARRIORS,WIN,1372,3,4,1,1,2,2,0,4,3,0,0,4,5,4.7
True,2012-01-16,4,-5,CHARLOTTE BOBCATS,HOME,CLEVELAND CAVALIERS,LOSS,705,2,4,0,1,0,0,2,2,2,1,0,2,1,4.0
True,2012-01-17,9,6,CHARLOTTE BOBCATS,AWAY,ORLANDO MAGIC,LOSS,1455,4,8,1,4,0,0,1,5,3,1,0,0,1,9.9
True,2012-01-21,7,0,CHARLOTTE BOBCATS,AWAY,CHICAGO BULLS,LOSS,932,3,6,0,3,1,3,0,3,1,0,0,0,1,4.4
True,2012-01-22,4,-19,CHARLOTTE BOBCATS,AWAY,NEW JERSEY NETS,LOSS,1151,2,3,0,0,0,0,0,2,4,0,0,2,1,3.7
True,2012-01-24,4,-15,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,LOSS,1464,1,6,0,3,2,2,2,4,1,0,0,2,2,0.7
True,2012-01-25,4,-12,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,1241,2,8,0,2,0,0,3,2,2,1,0,1,0,3.3
True,2012-01-27,10,-13,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,1463,5,10,0,2,0,0,0,2,3,0,0,5,1,2.3
True,2012-01-28,21,4,CHARLOTTE BOBCATS,HOME,WASHINGTON WIZARDS,LOSS,2460,7,11,1,2,6,10,2,1,10,1,0,3,0,21.2
True,2012-01-31,11,-14,CHARLOTTE BOBCATS,AWAY,LOS ANGELES LAKERS,LOSS,1669,5,14,1,3,0,0,0,4,4,2,0,1,2,7.4
True,2012-02-01,3,-26,CHARLOTTE BOBCATS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1718,1,7,0,3,1,2,1,5,3,0,1,1,1,1.7
