active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-25,14,5,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,LOSS,2257,6,14,0,2,2,6,2,6,3,0,3,1,4,9.8
True,2011-12-26,15,1,LOS ANGELES LAKERS,AWAY,SACRAMENTO KINGS,LOSS,1951,7,12,0,0,1,2,4,5,3,1,0,2,5,12.4
True,2011-12-27,22,24,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2227,6,11,0,0,10,12,2,7,0,2,5,3,2,21.1
True,2011-12-29,16,16,LOS ANGELES LAKERS,HOME,NEW YORK KNICKS,WIN,2162,7,12,0,0,2,2,1,9,5,0,2,1,4,16.1
True,2011-12-31,17,3,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,2188,7,10,0,1,3,4,1,4,1,1,1,3,1,13.3
True,2012-01-01,20,-8,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,2186,8,15,0,0,4,4,4,7,2,0,1,3,1,16.3
True,2012-01-03,14,1,LOS ANGELES LAKERS,HOME,HOUSTON ROCKETS,WIN,2156,7,11,0,0,0,0,1,7,1,0,0,3,2,8.8
True,2012-01-05,19,-2,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1850,7,10,0,0,5,5,3,4,1,0,2,1,2,18.4
True,2012-01-06,17,8,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,2210,8,15,0,0,1,2,5,6,3,3,3,3,1,18.4
True,2012-01-08,13,8,LOS ANGELES LAKERS,HOME,MEMPHIS GRIZZLIES,WIN,2418,5,8,0,0,3,4,2,13,4,1,1,1,0,17.8
True,2012-01-10,16,18,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2314,7,13,0,0,2,2,4,8,2,0,0,3,1,12.9
True,2012-01-11,14,9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,WIN,2810,5,14,1,1,3,4,3,8,1,0,0,5,1,5.6
True,2012-01-13,19,-3,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,WIN,2224,9,16,0,1,1,2,0,10,4,1,1,0,3,17.3
True,2012-01-14,14,-15,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,2374,7,17,0,1,0,0,1,9,3,0,1,0,4,9.5
True,2012-01-16,8,1,LOS ANGELES LAKERS,HOME,DALLAS MAVERICKS,WIN,2103,3,11,0,0,2,2,1,5,2,0,1,0,1,5.4
True,2012-01-19,26,-1,LOS ANGELES LAKERS,AWAY,MIAMI HEAT,LOSS,2235,11,19,1,4,3,3,4,4,2,0,1,1,1,21.8
True,2012-01-20,13,-5,LOS ANGELES LAKERS,AWAY,ORLANDO MAGIC,LOSS,2456,4,12,0,1,5,6,1,9,3,0,0,1,2,9.5
True,2012-01-22,8,-3,LOS ANGELES LAKERS,HOME,INDIANA PACERS,LOSS,2145,4,12,0,0,0,0,4,4,10,1,3,0,0,15.3
True,2012-01-25,23,3,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,WIN,2444,9,13,0,0,5,8,3,7,4,1,1,3,4,20.4
True,2012-01-28,12,-12,LOS ANGELES LAKERS,AWAY,MILWAUKEE BUCKS,LOSS,2324,6,18,0,1,0,0,7,8,5,1,1,1,1,12.9
True,2012-01-29,28,3,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2505,11,15,0,0,6,6,1,5,3,0,0,0,4,24.6
True,2012-01-31,10,10,LOS ANGELES LAKERS,HOME,CHARLOTTE BOBCATS,WIN,1764,5,12,0,0,0,0,3,6,3,0,0,1,1,8.2
True,2012-02-03,13,6,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,WIN,2160,5,10,0,0,3,4,3,14,4,0,1,2,1,15.0
True,2012-02-04,24,-9,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,2178,9,20,0,0,6,7,6,10,4,0,2,3,1,21.2
True,2012-02-06,16,-8,LOS ANGELES LAKERS,AWAY,PHILADELPHIA 76ERS,LOSS,2151,5,14,0,0,6,8,6,5,2,0,1,1,3,13.0
True,2012-02-09,25,-3,LOS ANGELES LAKERS,AWAY,BOSTON CELTICS,WIN,2448,12,20,0,1,1,1,4,10,3,0,2,2,1,22.7
True,2012-02-10,16,-4,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,LOSS,1916,6,10,0,0,4,4,3,7,1,1,2,3,5,13.7
True,2012-02-12,16,8,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,WIN,2191,6,15,0,0,4,4,5,12,6,0,0,3,1,15.8
True,2012-02-14,20,2,LOS ANGELES LAKERS,HOME,ATLANTA HAWKS,WIN,2076,9,22,1,1,1,2,8,5,1,0,4,1,4,15.8
True,2012-02-17,10,5,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2222,4,13,0,0,2,4,5,8,4,2,1,2,0,11.1
True,2012-02-19,17,-5,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,2183,6,11,0,0,5,6,1,11,6,1,0,2,2,17.7
True,2012-02-20,16,13,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2305,5,13,0,0,6,6,2,10,4,0,1,2,3,13.6
True,2012-02-22,24,0,LOS ANGELES LAKERS,AWAY,DALLAS MAVERICKS,WIN,2366,11,18,0,0,2,6,4,5,4,3,0,5,2,18.5
True,2012-02-23,22,-14,LOS ANGELES LAKERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2295,9,14,0,0,4,5,2,7,3,1,0,4,1,17.6
True,2012-02-29,15,33,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1850,6,10,0,0,3,3,1,4,4,1,3,2,1,15.8
True,2012-03-02,15,6,LOS ANGELES LAKERS,HOME,SACRAMENTO KINGS,WIN,2206,6,11,0,0,3,4,0,7,4,0,1,3,1,11.5
True,2012-03-04,11,7,LOS ANGELES LAKERS,HOME,MIAMI HEAT,WIN,2181,4,10,0,1,3,4,5,5,4,1,1,4,3,9.5
True,2012-03-06,20,-1,LOS ANGELES LAKERS,AWAY,DETROIT PISTONS,LOSS,2426,8,14,0,0,4,4,3,7,6,0,4,5,2,18.8
True,2012-03-07,19,0,LOS ANGELES LAKERS,AWAY,WASHINGTON WIZARDS,LOSS,2382,6,11,0,0,7,11,2,13,2,1,3,1,2,20.1
True,2012-03-09,12,-8,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2161,6,10,0,0,0,0,3,8,4,1,2,3,0,14.1
True,2012-03-11,13,-1,LOS ANGELES LAKERS,HOME,BOSTON CELTICS,WIN,2216,5,11,0,0,3,4,2,11,5,0,1,4,1,11.4
True,2012-03-13,14,-7,LOS ANGELES LAKERS,AWAY,MEMPHIS GRIZZLIES,WIN,2771,6,14,0,0,2,2,0,5,8,1,2,3,2,12.3
True,2012-03-14,18,11,LOS ANGELES LAKERS,AWAY,NEW ORLEANS HORNETS,WIN,2516,7,18,0,1,4,5,5,5,4,1,0,6,3,9.4
True,2012-03-16,17,1,LOS ANGELES LAKERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1944,6,13,0,0,5,6,4,7,2,0,3,1,3,16.1
