active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,0,2,SACRAMENTO KINGS,HOME,LOS ANGELES LAKERS,WIN,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2011-12-29,2,2,SACRAMENTO KINGS,HOME,CHICAGO BULLS,LOSS,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2011-12-31,10,-2,SACRAMENTO KINGS,HOME,NEW YORK KNICKS,LOSS,739,3,7,2,4,2,4,0,0,1,0,0,2,1,3.8
True,2012-01-01,0,0,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,WIN,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-01-03,2,-4,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,265,1,3,0,2,0,0,0,0,0,0,1,2,1,-1.4
True,2012-01-08,0,-1,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,523,0,3,0,2,0,0,1,0,0,0,0,0,1,-1.8
True,2012-01-10,5,-1,SACRAMENTO KINGS,AWAY,PHILADELPHIA 76ERS,LOSS,784,2,4,1,2,0,0,0,6,0,0,0,0,2,4.0
True,2012-01-11,6,-1,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,WIN,1524,2,6,1,5,1,2,0,5,1,0,1,0,2,4.3
True,2012-01-13,11,4,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,1899,4,8,1,5,2,2,0,8,0,0,1,0,2,9.3
True,2012-01-14,6,-22,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,1131,3,10,0,2,0,0,1,2,0,0,1,0,1,1.8
True,2012-01-16,5,-14,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,850,2,4,0,0,1,2,2,4,0,2,0,1,3,5.0
True,2012-01-18,4,0,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,810,2,6,0,3,0,0,0,1,1,0,1,0,3,1.1
True,2012-01-20,3,-5,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,WIN,659,1,3,1,2,0,0,0,1,0,1,0,0,0,2.6
True,2012-01-21,21,-8,SACRAMENTO KINGS,AWAY,MEMPHIS GRIZZLIES,LOSS,1991,9,12,1,3,2,2,1,6,3,1,0,2,3,18.6
True,2012-01-23,12,-7,SACRAMENTO KINGS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1408,4,13,0,4,4,4,0,1,3,0,0,0,1,6.5
True,2012-01-25,5,8,SACRAMENTO KINGS,HOME,DENVER NUGGETS,LOSS,761,2,5,0,1,1,2,1,5,1,0,1,1,1,4.1
True,2012-01-28,0,8,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,645,0,2,0,1,0,0,0,0,0,1,0,1,2,-2.2
True,2012-01-31,0,-2,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,LOSS,185,0,2,0,0,0,0,0,2,0,0,0,1,0,-1.8
True,2012-02-07,11,9,SACRAMENTO KINGS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1394,3,8,1,4,4,4,0,3,1,0,2,1,3,7.4
True,2012-02-09,10,10,SACRAMENTO KINGS,HOME,OKLAHOMA CITY THUNDER,WIN,975,2,4,1,3,5,6,2,2,2,2,0,0,0,13.0
True,2012-02-11,8,1,SACRAMENTO KINGS,HOME,PHOENIX SUNS,LOSS,986,2,4,1,2,3,4,0,2,1,0,0,0,1,6.5
True,2012-02-14,10,-12,SACRAMENTO KINGS,AWAY,CHICAGO BULLS,LOSS,817,4,6,2,4,0,0,0,4,0,1,0,3,0,6.6
True,2012-02-15,2,-4,SACRAMENTO KINGS,AWAY,NEW YORK KNICKS,LOSS,515,1,2,0,1,0,0,0,1,0,1,0,0,0,2.3
True,2012-02-19,6,-9,SACRAMENTO KINGS,AWAY,CLEVELAND CAVALIERS,LOSS,953,2,4,0,1,2,2,0,1,0,1,0,0,2,4.5
True,2012-02-21,2,-16,SACRAMENTO KINGS,AWAY,MIAMI HEAT,LOSS,891,1,6,0,1,0,0,2,2,0,0,1,1,0,-0.1
True,2012-03-02,5,-5,SACRAMENTO KINGS,AWAY,LOS ANGELES LAKERS,LOSS,1921,2,10,1,6,0,0,0,4,3,0,1,0,1,2.4
True,2012-03-04,8,-8,SACRAMENTO KINGS,AWAY,PHOENIX SUNS,LOSS,1474,3,8,1,2,1,2,0,3,0,1,1,3,2,2.0
True,2012-03-07,5,-2,SACRAMENTO KINGS,HOME,NEW ORLEANS HORNETS,WIN,919,2,6,1,2,0,0,0,2,2,1,0,0,1,4.2
True,2012-03-09,11,19,SACRAMENTO KINGS,HOME,DALLAS MAVERICKS,WIN,1221,4,6,1,2,2,2,0,1,2,0,1,1,2,9.0
True,2012-03-11,4,-7,SACRAMENTO KINGS,HOME,ATLANTA HAWKS,LOSS,1023,2,4,0,2,0,0,0,1,0,0,1,0,0,3.0
True,2012-03-13,0,-2,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,LOSS,384,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-03-16,7,-1,SACRAMENTO KINGS,HOME,BOSTON CELTICS,WIN,617,2,4,1,1,2,2,0,3,1,0,0,0,1,6.2
True,2012-03-18,11,8,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1284,5,9,1,5,0,0,2,5,0,0,1,0,2,9.5
True,2012-03-20,6,2,SACRAMENTO KINGS,HOME,MEMPHIS GRIZZLIES,WIN,447,3,4,0,1,0,0,0,2,1,0,0,1,1,4.3
