active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,6,-10,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,1561,2,12,1,5,1,1,0,3,7,1,0,1,2,3.4
True,2011-12-28,14,4,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1190,5,9,0,0,4,4,1,3,7,2,0,3,1,14.8
True,2011-12-30,20,-10,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,2019,8,19,0,2,4,7,1,4,4,1,1,3,2,11.3
True,2012-01-01,13,-3,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1688,5,11,3,4,0,0,1,3,4,0,2,4,3,7.9
True,2012-01-03,20,15,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,1296,8,10,2,2,2,2,0,3,6,0,2,0,2,21.9
True,2012-01-04,12,-2,CLEVELAND CAVALIERS,AWAY,TORONTO RAPTORS,LOSS,1571,3,13,0,1,6,6,2,1,4,0,0,2,4,5.0
True,2012-01-06,14,0,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1771,5,12,1,2,3,3,1,4,5,0,1,7,4,5.1
True,2012-01-08,21,-12,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1748,9,17,0,3,3,3,0,4,4,1,0,4,3,12.5
True,2012-01-10,20,1,CLEVELAND CAVALIERS,AWAY,UTAH JAZZ,LOSS,1636,7,14,1,4,5,6,0,0,5,0,0,2,5,12.1
True,2012-01-12,26,13,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,WIN,1679,11,17,2,4,2,2,1,2,6,2,0,6,3,18.8
True,2012-01-13,21,-6,CLEVELAND CAVALIERS,AWAY,LOS ANGELES LAKERS,LOSS,1692,8,16,2,3,3,3,0,0,4,2,0,4,2,13.0
True,2012-01-16,25,8,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,WIN,2096,9,16,1,1,6,8,2,2,7,1,1,3,2,21.4
True,2012-01-17,18,-7,CLEVELAND CAVALIERS,HOME,GOLDEN STATE WARRIORS,LOSS,2145,7,13,0,3,4,6,1,7,5,1,1,6,1,12.5
True,2012-01-20,13,-9,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,LOSS,1349,5,11,3,4,0,0,2,0,3,0,0,2,1,8.4
True,2012-01-21,18,-28,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1621,8,10,1,2,1,4,0,2,2,0,1,7,3,7.5
True,2012-01-24,17,-4,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1558,7,11,1,3,2,2,1,3,4,0,0,3,3,12.3
True,2012-01-25,7,5,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1804,1,7,1,4,4,4,0,1,7,1,0,2,2,5.9
True,2012-01-27,32,1,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,LOSS,1877,12,20,2,5,6,8,4,2,2,2,0,1,2,27.0
True,2012-01-29,23,8,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2009,10,14,1,2,2,3,1,3,6,1,0,3,2,19.8
True,2012-01-31,21,3,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,2248,7,16,1,2,6,6,0,1,6,0,0,2,1,14.7
True,2012-02-03,18,-16,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,2383,7,21,0,1,4,4,3,1,6,0,0,2,2,9.9
True,2012-02-04,20,11,CLEVELAND CAVALIERS,HOME,DALLAS MAVERICKS,WIN,2157,9,17,1,3,1,1,1,3,7,2,0,1,0,19.2
True,2012-02-07,16,0,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2028,5,15,2,3,4,5,1,5,6,2,0,5,3,9.3
True,2012-02-15,22,6,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2231,8,12,3,5,3,4,1,2,5,0,1,1,2,20.1
True,2012-02-17,17,-23,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,1865,5,15,0,2,7,7,1,3,2,2,1,1,2,12.4
True,2012-02-19,23,-4,CLEVELAND CAVALIERS,HOME,SACRAMENTO KINGS,WIN,2318,8,21,2,4,5,5,0,3,1,0,2,4,4,8.9
True,2012-02-21,25,-5,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,WIN,2315,8,15,3,4,6,6,1,4,8,2,2,6,3,21.4
True,2012-02-22,6,1,CLEVELAND CAVALIERS,HOME,NEW ORLEANS HORNETS,LOSS,2244,2,13,0,4,2,2,0,2,11,0,1,2,2,3.9
True,2012-02-28,24,1,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,1635,8,14,3,3,5,5,1,3,3,1,0,2,1,19.7
True,2012-02-29,22,-19,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2031,8,18,2,7,4,4,0,3,7,1,0,4,3,14.2
True,2012-03-03,20,9,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,1854,8,14,2,3,2,4,0,1,6,2,0,3,2,15.3
True,2012-03-05,22,-2,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,LOSS,1905,10,19,1,4,1,1,1,3,4,0,0,0,3,15.9
True,2012-03-07,18,15,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,WIN,1968,8,16,0,3,2,2,1,4,8,3,0,3,5,15.5
True,2012-03-09,9,4,CLEVELAND CAVALIERS,AWAY,OKLAHOMA CITY THUNDER,WIN,1848,4,12,0,1,1,2,2,4,12,3,0,1,1,14.4
True,2012-03-11,21,0,CLEVELAND CAVALIERS,HOME,HOUSTON ROCKETS,WIN,1722,5,15,1,3,10,10,1,5,5,0,0,3,1,14.8
True,2012-03-13,14,-10,CLEVELAND CAVALIERS,HOME,TORONTO RAPTORS,LOSS,1816,5,17,1,4,3,4,1,6,7,0,0,1,4,8.5
True,2012-03-14,28,-6,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,1759,11,16,2,4,4,4,1,2,5,1,0,8,2,18.2
True,2012-03-18,19,-6,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,2190,6,14,1,5,6,6,2,1,10,2,2,2,2,20.9
True,2012-03-19,26,-2,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,1874,8,20,3,6,7,8,1,4,7,1,0,4,5,16.6
True,2012-03-21,29,7,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,2495,10,19,3,6,6,7,2,7,9,3,0,7,0,25.1
True,2012-03-23,13,-12,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,1891,6,15,1,4,0,0,0,4,6,2,0,1,1,10.9
True,2012-03-25,16,-24,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,LOSS,1676,5,11,1,2,5,5,2,4,4,1,0,5,1,11.3
True,2012-03-27,12,-13,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,1972,4,13,3,7,1,2,0,4,7,2,1,5,2,7.1
True,2012-03-28,22,-10,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,LOSS,2192,9,19,1,5,3,3,3,6,6,2,0,5,2,16.6
True,2012-03-30,29,-10,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,LOSS,1919,11,20,6,6,1,1,0,3,5,0,0,6,1,17.4
