active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,14,-1,NEW ORLEANS HORNETS,AWAY,PHOENIX SUNS,WIN,1992,6,15,0,0,2,5,3,4,1,2,0,0,4,9.1
True,2011-12-28,20,20,NEW ORLEANS HORNETS,HOME,BOSTON CELTICS,WIN,1756,6,9,0,0,8,8,5,6,0,0,1,2,5,18.1
True,2011-12-30,17,-10,NEW ORLEANS HORNETS,HOME,PHOENIX SUNS,LOSS,1941,6,16,0,0,5,5,5,3,2,0,0,2,2,11.2
True,2012-01-01,12,-6,NEW ORLEANS HORNETS,AWAY,SACRAMENTO KINGS,LOSS,1261,6,11,0,0,0,0,5,0,0,0,0,2,3,7.0
True,2012-01-02,3,-1,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,LOSS,1063,1,4,0,0,1,2,0,3,2,0,0,1,1,1.1
True,2012-01-04,21,-6,NEW ORLEANS HORNETS,HOME,PHILADELPHIA 76ERS,LOSS,1895,7,14,0,0,7,8,4,4,1,0,0,1,2,16.5
True,2012-01-06,15,-7,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,1536,5,11,0,0,5,5,3,3,0,0,1,3,4,8.4
True,2012-01-07,12,-6,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,LOSS,1682,3,7,0,0,6,7,1,2,1,1,0,2,4,7.3
True,2012-01-09,21,20,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2221,8,15,0,0,5,8,1,4,1,1,1,4,4,11.2
True,2012-01-11,17,-6,NEW ORLEANS HORNETS,HOME,OKLAHOMA CITY THUNDER,LOSS,2076,7,13,0,0,3,4,2,1,3,0,0,3,1,10.7
True,2012-01-13,3,1,NEW ORLEANS HORNETS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1290,1,8,0,0,1,1,2,4,2,1,0,1,4,0.2
True,2012-01-14,4,-12,NEW ORLEANS HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,709,2,3,0,0,0,2,0,1,1,0,0,0,1,2.5
True,2012-01-16,1,-4,NEW ORLEANS HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,610,0,1,0,0,1,2,1,1,0,0,1,0,0,1.6
True,2012-01-18,2,-2,NEW ORLEANS HORNETS,HOME,MEMPHIS GRIZZLIES,LOSS,550,1,5,0,0,0,0,2,0,1,1,0,0,1,1.6
True,2012-01-19,6,2,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1272,3,9,0,0,0,0,2,0,2,2,0,0,1,5.3
True,2012-01-21,19,6,NEW ORLEANS HORNETS,HOME,DALLAS MAVERICKS,LOSS,1629,5,9,0,0,9,13,0,1,0,0,0,1,3,11.2
True,2012-01-23,18,-11,NEW ORLEANS HORNETS,HOME,SAN ANTONIO SPURS,LOSS,1914,5,11,0,2,8,9,3,5,2,0,0,2,2,14.1
True,2012-01-25,15,-1,NEW ORLEANS HORNETS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1652,2,5,0,0,11,11,1,3,1,0,1,2,1,12.9
True,2012-01-27,17,7,NEW ORLEANS HORNETS,HOME,ORLANDO MAGIC,WIN,1520,8,13,0,0,1,1,4,2,1,1,1,2,1,14.5
True,2012-01-29,0,-20,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,LOSS,841,0,4,0,0,0,0,0,4,0,0,0,2,3,-4.8
True,2012-01-30,14,-14,NEW ORLEANS HORNETS,AWAY,MIAMI HEAT,LOSS,1433,6,8,0,0,2,3,0,3,0,0,0,2,1,8.9
True,2012-02-01,6,-3,NEW ORLEANS HORNETS,HOME,PHOENIX SUNS,LOSS,845,2,5,0,0,2,2,0,1,0,0,0,2,4,0.0
True,2012-02-02,17,-17,NEW ORLEANS HORNETS,AWAY,SAN ANTONIO SPURS,LOSS,1700,8,12,0,0,1,2,0,4,1,0,0,2,2,10.5
True,2012-02-04,2,-12,NEW ORLEANS HORNETS,AWAY,DETROIT PISTONS,LOSS,971,1,4,0,0,0,0,0,3,2,0,1,0,1,2.2
True,2012-03-24,15,6,NEW ORLEANS HORNETS,HOME,SAN ANTONIO SPURS,LOSS,1753,5,8,0,0,5,5,2,3,1,1,0,5,4,8.8
True,2012-03-26,14,-10,NEW ORLEANS HORNETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1655,4,6,0,0,6,8,3,7,2,0,1,3,3,12.7
True,2012-03-28,20,3,NEW ORLEANS HORNETS,AWAY,GOLDEN STATE WARRIORS,WIN,1957,9,18,0,0,2,2,4,4,0,0,1,1,2,13.9
True,2012-03-29,24,7,NEW ORLEANS HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2177,9,13,0,0,6,7,2,5,0,1,0,2,2,19.2
True,2012-04-04,12,-14,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,WIN,1593,4,8,0,1,4,8,2,3,2,0,1,2,3,7.6
True,2012-04-06,13,-17,NEW ORLEANS HORNETS,AWAY,SAN ANTONIO SPURS,LOSS,1259,3,8,0,0,7,10,2,4,0,0,0,2,2,7.2
True,2012-04-07,8,4,NEW ORLEANS HORNETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1419,2,7,0,0,4,4,2,4,0,0,1,1,1,5.8
True,2012-04-09,20,3,NEW ORLEANS HORNETS,HOME,LOS ANGELES LAKERS,LOSS,1789,8,12,0,0,4,4,1,10,5,0,0,1,3,19.8
True,2012-04-11,8,-2,NEW ORLEANS HORNETS,HOME,SACRAMENTO KINGS,WIN,1269,2,6,0,0,4,8,0,3,2,0,0,2,1,2.9
True,2012-04-13,5,-8,NEW ORLEANS HORNETS,HOME,UTAH JAZZ,WIN,1191,2,4,0,0,1,1,0,3,1,0,0,0,2,3.8
True,2012-04-15,16,0,NEW ORLEANS HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,1565,6,10,0,0,4,4,1,10,0,1,0,1,3,13.9
True,2012-04-16,14,16,NEW ORLEANS HORNETS,AWAY,CHARLOTTE BOBCATS,WIN,1363,4,10,0,0,6,6,4,8,0,0,0,0,2,13.0
True,2012-04-18,16,4,NEW ORLEANS HORNETS,AWAY,MEMPHIS GRIZZLIES,LOSS,1265,4,4,0,0,8,9,0,1,1,0,1,1,1,14.7
True,2012-04-19,20,6,NEW ORLEANS HORNETS,HOME,HOUSTON ROCKETS,WIN,2262,9,13,0,0,2,2,6,4,0,1,0,4,3,15.7
