active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-25,0,-5,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,LOSS,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2011-12-26,3,-6,GOLDEN STATE WARRIORS,HOME,CHICAGO BULLS,WIN,339,0,1,0,0,3,4,0,0,0,0,0,0,0,1.9
True,2011-12-28,8,18,GOLDEN STATE WARRIORS,HOME,NEW YORK KNICKS,WIN,1091,3,3,0,0,2,2,1,1,0,1,0,1,1,7.7
True,2011-12-31,6,-20,GOLDEN STATE WARRIORS,HOME,PHILADELPHIA 76ERS,LOSS,916,3,5,0,0,0,0,1,0,0,1,0,1,2,3.6
True,2012-01-02,14,-7,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,LOSS,1580,6,9,0,0,2,2,1,8,2,1,0,0,2,14.8
True,2012-01-04,0,-3,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,639,0,1,0,0,0,0,0,1,0,2,2,0,1,2.6
True,2012-01-06,0,-6,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1035,0,0,0,0,0,0,1,2,0,0,0,0,2,0.5
True,2012-01-07,0,2,GOLDEN STATE WARRIORS,HOME,UTAH JAZZ,LOSS,388,0,1,0,0,0,0,1,3,0,0,0,1,0,-0.1
True,2012-01-10,1,-1,GOLDEN STATE WARRIORS,HOME,MIAMI HEAT,WIN,451,0,1,0,0,1,2,0,1,0,0,0,0,0,0.2
True,2012-01-12,2,-13,GOLDEN STATE WARRIORS,HOME,ORLANDO MAGIC,LOSS,493,1,2,0,0,0,0,0,1,2,0,0,1,2,0.9
True,2012-01-14,4,3,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE BOBCATS,LOSS,1134,1,2,0,0,2,2,0,4,2,1,1,1,2,5.5
True,2012-01-15,0,-3,GOLDEN STATE WARRIORS,AWAY,DETROIT PISTONS,WIN,309,0,1,0,0,0,0,0,1,0,0,0,1,0,-1.4
True,2012-01-17,3,4,GOLDEN STATE WARRIORS,AWAY,CLEVELAND CAVALIERS,WIN,1159,1,7,0,0,1,2,2,2,3,0,2,0,3,2.4
True,2012-01-18,2,2,GOLDEN STATE WARRIORS,AWAY,NEW JERSEY NETS,LOSS,782,1,3,0,0,0,0,2,0,1,0,1,0,0,3.1
True,2012-01-20,4,4,GOLDEN STATE WARRIORS,HOME,INDIANA PACERS,LOSS,782,2,4,0,0,0,0,2,6,0,0,0,2,0,3.2
True,2012-01-23,3,-3,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,743,1,2,0,0,1,2,1,2,0,2,1,0,0,5.6
True,2012-01-25,0,8,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,WIN,212,0,0,0,0,0,0,0,0,2,0,0,1,2,-0.4
True,2012-01-27,0,2,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,LOSS,357,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3
True,2012-01-31,2,1,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,WIN,781,1,2,0,0,0,0,2,3,2,1,0,1,1,4.3
True,2012-02-04,0,0,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,897,0,3,0,0,0,0,3,2,1,1,1,0,1,2.6
True,2012-02-07,0,-13,GOLDEN STATE WARRIORS,HOME,OKLAHOMA CITY THUNDER,LOSS,231,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0
True,2012-02-09,0,-8,GOLDEN STATE WARRIORS,AWAY,DENVER NUGGETS,WIN,261,0,1,0,0,0,0,0,0,0,0,1,2,1,-2.4
True,2012-02-13,0,0,GOLDEN STATE WARRIORS,HOME,PHOENIX SUNS,WIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-02-15,0,-4,GOLDEN STATE WARRIORS,HOME,PORTLAND TRAIL BLAZERS,LOSS,228,0,0,0,0,0,0,0,1,2,1,0,0,2,1.9
True,2012-02-17,0,-4,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,720,0,4,0,0,0,0,5,3,3,0,1,2,2,1.6
True,2012-02-18,0,9,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,731,0,3,0,1,0,0,2,1,1,1,0,1,1,-0.1
True,2012-02-20,2,-17,GOLDEN STATE WARRIORS,HOME,LOS ANGELES CLIPPERS,WIN,763,1,4,0,0,0,0,1,0,0,0,1,1,1,-0.4
True,2012-02-22,4,3,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,WIN,1015,2,3,0,0,0,0,6,3,2,0,1,0,4,8.3
