active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,15,2,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,1989,6,16,0,1,3,4,2,2,7,4,0,2,3,13.5
True,2011-12-28,14,21,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,WIN,1588,6,9,0,0,2,2,0,3,9,0,0,1,2,15.5
True,2011-12-29,12,-19,SAN ANTONIO SPURS,AWAY,HOUSTON ROCKETS,LOSS,1625,6,15,0,1,0,1,0,1,2,0,0,1,0,4.2
True,2011-12-31,14,18,SAN ANTONIO SPURS,HOME,UTAH JAZZ,WIN,1695,3,10,0,0,8,8,0,2,8,0,0,2,1,12.0
True,2012-01-02,11,-3,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1840,3,11,0,0,5,6,0,2,9,2,0,0,0,13.0
True,2012-01-04,21,0,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,2058,7,16,0,0,7,9,0,2,8,0,0,3,1,14.6
True,2012-01-05,11,22,SAN ANTONIO SPURS,HOME,DALLAS MAVERICKS,WIN,1741,5,12,0,0,1,3,0,3,8,0,0,0,1,9.9
True,2012-01-07,19,-5,SAN ANTONIO SPURS,HOME,DENVER NUGGETS,WIN,1931,8,16,0,1,3,5,2,0,6,1,0,4,3,11.6
True,2012-01-08,4,-3,SAN ANTONIO SPURS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1487,1,8,0,0,2,2,1,2,7,1,0,0,2,5.2
True,2012-01-10,22,-3,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,LOSS,2156,10,18,0,1,2,4,0,2,8,0,0,7,2,11.0
True,2012-01-11,28,13,SAN ANTONIO SPURS,HOME,HOUSTON ROCKETS,WIN,2718,12,22,0,0,4,4,0,5,8,1,0,2,0,23.5
True,2012-01-13,20,12,SAN ANTONIO SPURS,HOME,PORTLAND TRAIL BLAZERS,WIN,2033,8,16,0,1,4,4,0,4,9,2,0,4,1,17.1
True,2012-01-15,17,11,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,WIN,2105,8,20,0,1,1,3,2,2,9,1,1,2,3,12.2
True,2012-01-17,18,-2,SAN ANTONIO SPURS,AWAY,MIAMI HEAT,LOSS,1518,7,12,0,1,4,4,0,2,3,3,0,2,0,16.1
