active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-25,0,-7,MIAMI HEAT,AWAY,DALLAS MAVERICKS,WIN,176,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4
True,2012-01-01,4,1,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,WIN,472,2,3,0,0,0,0,0,1,0,0,1,0,2,2.9
True,2012-01-04,2,4,MIAMI HEAT,HOME,INDIANA PACERS,WIN,523,1,2,0,0,0,0,0,2,0,0,0,1,3,-0.6
True,2012-01-05,5,-4,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,711,2,3,0,0,1,2,0,3,0,0,2,1,4,3.0
True,2012-01-07,3,4,MIAMI HEAT,AWAY,NEW JERSEY NETS,WIN,441,1,1,0,0,1,2,0,2,0,0,1,0,3,2.4
True,2012-01-10,0,-2,MIAMI HEAT,AWAY,GOLDEN STATE WARRIORS,LOSS,204,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6
True,2012-01-13,2,3,MIAMI HEAT,AWAY,DENVER NUGGETS,LOSS,890,1,4,0,0,0,0,0,0,1,1,0,1,4,-1.3
True,2012-01-22,0,0,MIAMI HEAT,HOME,MILWAUKEE BUCKS,LOSS,241,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2012-01-24,0,7,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,500,0,0,0,0,0,0,0,1,0,1,0,0,1,0.9
True,2012-02-03,0,-3,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,WIN,181,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-02-08,2,-5,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,648,1,2,0,0,0,2,3,1,0,0,0,1,5,-0.4
True,2012-02-10,2,5,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,687,1,1,0,0,0,0,1,3,0,1,0,1,4,1.7
