active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-25,31,3,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,2476,11,19,0,1,9,12,1,4,13,5,0,5,2,31.1
True,2011-12-27,22,-5,BOSTON CELTICS,AWAY,MIAMI HEAT,LOSS,2649,7,15,1,3,7,11,1,7,12,0,0,7,3,15.7
True,2011-12-28,13,-8,BOSTON CELTICS,AWAY,NEW ORLEANS HORNETS,LOSS,2062,5,8,1,1,2,4,1,1,6,1,0,4,3,9.6
True,2011-12-30,9,12,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1651,4,8,1,2,0,0,1,2,5,0,0,2,2,7.0
True,2012-01-01,18,26,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,WIN,2023,7,10,0,0,4,7,4,7,14,1,0,3,2,24.5
True,2012-01-02,6,6,BOSTON CELTICS,HOME,WASHINGTON WIZARDS,WIN,2291,3,8,0,0,0,0,3,4,13,1,0,7,3,6.8
True,2012-01-04,8,14,BOSTON CELTICS,HOME,NEW JERSEY NETS,WIN,1939,4,8,0,0,0,3,0,0,12,3,0,3,1,10.8
True,2012-01-06,11,-2,BOSTON CELTICS,HOME,INDIANA PACERS,LOSS,2333,5,12,0,0,1,4,1,4,9,3,0,2,1,12.2
True,2012-01-11,24,-6,BOSTON CELTICS,HOME,DALLAS MAVERICKS,LOSS,2302,8,16,0,1,8,12,0,3,7,3,0,4,1,18.8
True,2012-01-13,14,-10,BOSTON CELTICS,HOME,CHICAGO BULLS,LOSS,2396,5,10,0,0,4,6,1,6,11,4,0,4,4,16.8
True,2012-01-14,6,-8,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,2149,3,9,0,0,0,0,3,0,9,0,0,4,3,4.1
True,2012-01-16,12,-6,BOSTON CELTICS,HOME,OKLAHOMA CITY THUNDER,LOSS,2421,6,14,0,1,0,0,4,5,9,1,0,4,5,10.2
True,2012-01-18,21,24,BOSTON CELTICS,HOME,TORONTO RAPTORS,WIN,1684,7,8,0,0,7,11,0,3,2,0,0,1,2,17.1
True,2012-02-03,7,-8,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,2061,3,8,0,1,1,4,1,4,7,2,0,5,1,4.8
True,2012-02-05,5,11,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,WIN,2075,2,6,0,1,1,2,0,5,14,2,0,5,0,9.5
True,2012-02-07,10,20,BOSTON CELTICS,HOME,CHARLOTTE BOBCATS,WIN,1981,4,8,0,1,2,2,0,0,14,1,0,0,0,16.8
True,2012-02-09,14,6,BOSTON CELTICS,HOME,LOS ANGELES LAKERS,LOSS,2688,7,13,0,0,0,0,0,2,7,2,0,3,3,11.0
True,2012-02-10,5,-16,BOSTON CELTICS,AWAY,TORONTO RAPTORS,LOSS,2450,2,10,0,1,1,1,2,3,7,0,0,5,1,0.6
True,2012-02-12,32,8,BOSTON CELTICS,HOME,CHICAGO BULLS,WIN,2393,11,22,0,2,10,13,2,8,15,2,0,5,3,29.9
True,2012-02-15,35,-2,BOSTON CELTICS,HOME,DETROIT PISTONS,LOSS,2366,15,27,1,1,4,9,2,3,6,4,0,2,1,28.2
True,2012-02-16,17,-7,BOSTON CELTICS,AWAY,CHICAGO BULLS,LOSS,2666,7,17,0,0,3,4,1,6,8,1,0,1,3,14.4
True,2012-02-19,5,-8,BOSTON CELTICS,AWAY,DETROIT PISTONS,LOSS,1703,1,6,0,0,3,4,0,2,10,0,0,6,2,1.6
True,2012-02-28,0,7,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1949,0,6,0,0,0,0,0,3,11,1,0,5,4,-1.2
True,2012-02-29,15,8,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,2070,7,13,0,1,1,2,3,8,10,0,0,3,0,16.8
True,2012-03-02,14,20,BOSTON CELTICS,HOME,NEW JERSEY NETS,WIN,1894,7,16,0,0,0,2,1,1,13,5,0,2,1,17.5
True,2012-03-04,18,5,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,2867,7,20,0,0,4,7,4,13,20,1,1,4,3,22.8
