active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-28,17,9,CLEVELAND CAVALIERS,AWAY,DETROIT PISTONS,WIN,1473,6,8,0,0,5,6,1,3,1,0,0,3,2,11.9
True,2011-12-30,5,0,CLEVELAND CAVALIERS,AWAY,INDIANA PACERS,LOSS,905,2,4,0,0,1,4,0,0,0,0,0,1,6,-1.6
True,2012-01-01,3,10,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,973,1,2,0,0,1,1,0,3,0,1,1,4,5,-1.4
True,2012-01-03,4,-1,CLEVELAND CAVALIERS,HOME,CHARLOTTE BOBCATS,WIN,513,1,3,0,0,2,2,0,3,0,1,0,0,0,4.2
True,2012-01-06,3,4,CLEVELAND CAVALIERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,475,0,1,0,0,3,6,1,0,0,1,0,0,5,0.8
True,2012-01-08,4,-5,CLEVELAND CAVALIERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,807,0,3,0,0,4,4,2,2,0,2,0,5,1,0.5
True,2012-01-20,4,-11,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,LOSS,548,1,4,0,0,2,2,0,0,0,0,0,0,0,1.6
True,2012-01-21,2,4,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,387,1,3,0,0,0,0,0,2,1,0,1,0,1,1.9
True,2012-01-24,15,10,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1324,7,10,0,0,1,2,1,4,2,1,1,2,3,12.2
True,2012-01-25,6,6,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1067,3,7,0,0,0,0,0,6,0,0,0,2,1,1.7
True,2012-01-27,2,-3,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,LOSS,528,1,2,0,0,0,2,2,0,0,0,0,1,0,0.6
True,2012-01-29,2,-2,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,1015,1,4,0,0,0,0,1,3,0,0,1,0,1,1.5
True,2012-01-31,6,1,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,857,1,5,0,0,4,4,0,3,0,0,0,2,3,0.6
True,2012-02-03,2,-1,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,385,1,3,0,0,0,0,0,1,0,0,0,0,1,0.2
True,2012-02-07,0,-4,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,327,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.1
True,2012-02-08,1,-5,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,775,0,3,0,0,1,2,1,3,0,0,1,0,3,-0.4
True,2012-02-10,4,-16,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,LOSS,853,0,3,0,0,4,6,1,2,1,0,0,0,3,1.9
True,2012-02-11,6,-11,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,LOSS,1223,3,8,0,0,0,0,2,5,1,0,0,1,2,3.4
True,2012-02-17,3,0,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,332,1,2,0,0,1,2,0,1,0,0,0,0,1,1.5
True,2012-02-28,0,3,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,682,0,1,0,0,0,0,0,2,0,0,0,0,2,-0.9
True,2012-02-29,2,2,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,391,1,3,0,0,0,0,1,1,1,0,1,0,1,2.3
True,2012-03-02,6,-6,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,LOSS,638,2,6,0,0,2,3,1,1,0,0,0,0,1,2.8
True,2012-03-03,2,-10,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,LOSS,371,0,1,0,0,2,2,1,1,0,0,1,0,1,2.6
True,2012-03-05,6,0,CLEVELAND CAVALIERS,HOME,UTAH JAZZ,LOSS,723,2,3,0,0,2,2,0,4,0,2,0,1,1,6.5
True,2012-03-07,4,-4,CLEVELAND CAVALIERS,AWAY,DENVER NUGGETS,WIN,636,1,4,0,0,2,2,1,0,0,0,0,2,1,-0.1
