active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-01-11,6,10,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,323,3,4,0,0,0,0,1,3,1,0,0,0,0,6.7
True,2012-01-12,0,8,ATLANTA HAWKS,HOME,CHARLOTTE BOBCATS,WIN,205,0,2,0,0,0,0,0,0,2,1,0,0,1,0.6
True,2012-01-14,0,4,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,72,0,0,0,0,0,0,0,1,0,0,0,1,1,-1.1
True,2012-01-20,0,0,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,209,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2012-01-21,0,-4,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,WIN,387,0,1,0,0,0,0,0,0,2,0,0,1,1,-0.7
True,2012-02-10,7,0,NEW ORLEANS HORNETS,HOME,PORTLAND TRAIL BLAZERS,LOSS,684,3,5,0,0,1,2,0,0,2,0,0,0,2,4.9
True,2012-02-13,2,-3,NEW ORLEANS HORNETS,HOME,UTAH JAZZ,WIN,457,1,4,0,0,0,0,1,1,2,1,0,2,0,1.0
True,2012-02-15,3,5,NEW ORLEANS HORNETS,AWAY,MILWAUKEE BUCKS,WIN,1328,1,5,0,2,1,2,1,0,4,1,0,3,0,1.0
True,2012-03-18,0,0,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2012-03-19,11,7,CLEVELAND CAVALIERS,AWAY,NEW JERSEY NETS,WIN,1173,4,6,1,1,2,2,1,2,1,0,0,0,4,8.8
True,2012-03-21,2,-8,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,685,1,3,0,0,0,0,0,0,2,0,0,0,1,1.3
True,2012-03-23,3,-1,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,LOSS,989,1,3,0,1,1,2,1,2,2,1,0,3,1,1.2
True,2012-03-25,6,-1,CLEVELAND CAVALIERS,HOME,PHOENIX SUNS,LOSS,1204,3,8,0,3,0,0,0,4,4,0,0,3,2,1.8
True,2012-03-27,2,-9,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,941,1,4,0,2,0,0,0,3,3,1,0,2,2,0.8
True,2012-03-28,2,-2,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,LOSS,688,1,4,0,0,0,0,0,1,2,1,2,0,0,3.7
True,2012-03-30,0,-27,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,LOSS,961,0,4,0,1,0,0,0,0,0,0,0,0,0,-2.8
True,2012-03-31,10,-19,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,LOSS,2075,5,10,0,1,0,0,2,5,4,2,0,3,1,9.3
