active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,17,0,DETROIT PISTONS,AWAY,INDIANA PACERS,LOSS,1982,5,11,2,3,5,5,0,3,6,2,1,3,2,15.3
True,2011-12-28,11,-9,DETROIT PISTONS,HOME,CLEVELAND CAVALIERS,LOSS,1933,4,12,1,3,2,2,1,2,3,0,0,1,2,5.8
True,2011-12-30,3,-15,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,1647,1,11,0,4,1,2,0,2,7,1,0,1,0,0.8
True,2011-12-31,15,2,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,2318,5,12,1,1,4,4,1,6,7,0,0,4,2,11.2
True,2012-01-02,14,6,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,2202,2,8,0,2,10,13,0,2,4,2,0,2,0,11.4
True,2012-01-04,5,-6,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,918,2,5,0,0,1,1,0,2,2,0,0,0,0,4.3
True,2012-01-12,11,0,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1215,2,7,0,0,7,7,2,1,4,0,1,2,1,9.7
True,2012-01-13,8,13,DETROIT PISTONS,AWAY,CHARLOTTE BOBCATS,WIN,1220,2,8,1,3,3,4,1,4,3,0,0,2,2,4.0
True,2012-01-15,14,-6,DETROIT PISTONS,HOME,GOLDEN STATE WARRIORS,LOSS,1598,4,11,0,1,6,7,0,0,6,0,0,1,2,9.9
True,2012-01-17,16,3,DETROIT PISTONS,AWAY,HOUSTON ROCKETS,LOSS,1236,6,11,2,4,2,2,1,2,3,0,0,1,1,12.7
True,2012-01-18,10,-1,DETROIT PISTONS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1593,4,12,1,2,1,4,0,0,3,0,0,1,1,2.7
True,2012-01-21,28,-1,DETROIT PISTONS,HOME,PORTLAND TRAIL BLAZERS,WIN,2278,8,15,4,5,8,9,0,4,5,0,0,3,4,20.4
True,2012-01-23,12,-15,DETROIT PISTONS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1381,5,11,0,2,2,3,0,3,0,0,0,1,3,4.6
True,2012-01-25,15,2,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,2016,3,5,0,2,9,12,0,4,6,1,0,4,6,11.5
True,2012-01-27,14,-4,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,2444,4,13,1,2,5,5,1,2,5,1,0,2,1,9.9
True,2012-01-28,11,-14,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1734,3,9,0,0,5,5,0,0,2,1,0,3,1,4.9
True,2012-01-30,19,-1,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1555,6,14,0,2,7,7,3,0,6,2,0,4,1,15.5
True,2012-01-31,13,-18,DETROIT PISTONS,AWAY,NEW YORK KNICKS,LOSS,1581,5,8,0,0,3,3,0,0,3,0,0,3,2,7.7
True,2012-02-01,7,9,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,1462,3,5,1,1,0,0,0,1,3,0,0,1,0,6.1
True,2012-02-03,10,-1,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1820,3,8,0,2,4,4,2,4,4,2,0,1,3,10.8
True,2012-02-04,17,2,DETROIT PISTONS,HOME,NEW ORLEANS HORNETS,WIN,2275,5,13,0,0,7,8,1,2,3,1,0,1,2,12.1
True,2012-02-08,12,0,DETROIT PISTONS,AWAY,NEW JERSEY NETS,WIN,2085,5,9,1,2,1,3,0,3,6,2,0,1,3,11.8
True,2012-02-10,19,18,DETROIT PISTONS,HOME,NEW JERSEY NETS,WIN,1584,7,10,0,0,5,6,0,3,5,1,0,2,3,16.6
True,2012-02-12,11,-10,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,LOSS,1884,2,9,0,0,7,8,2,1,3,3,0,2,4,8.3
