active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,12,15,DALLAS MAVERICKS,HOME,DENVER NUGGETS,LOSS,666,4,4,0,0,4,4,1,2,0,1,1,3,5,8.8
True,2011-12-29,2,-10,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,252,1,2,0,0,0,0,2,0,0,0,0,0,2,1.6
True,2012-01-01,0,-1,DALLAS MAVERICKS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,121,0,1,0,0,0,0,0,1,0,0,0,0,1,-0.8
True,2012-03-05,0,1,DALLAS MAVERICKS,AWAY,OKLAHOMA CITY THUNDER,LOSS,193,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3
True,2012-03-08,4,3,DALLAS MAVERICKS,AWAY,PHOENIX SUNS,LOSS,909,2,3,0,0,0,0,3,1,2,0,2,0,2,7.1
True,2012-03-09,7,14,DALLAS MAVERICKS,AWAY,SACRAMENTO KINGS,LOSS,1160,3,3,0,0,1,2,2,0,0,0,2,2,2,5.7
True,2012-03-10,4,-15,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,465,2,3,0,0,0,0,0,0,0,0,0,2,1,0.3
True,2012-03-19,0,-2,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,WIN,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-04-20,0,0,BOSTON CELTICS,AWAY,ATLANTA HAWKS,LOSS,207,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2012-04-24,5,16,BOSTON CELTICS,HOME,MIAMI HEAT,WIN,1176,1,5,0,0,3,3,2,2,2,2,2,2,2,5.9
True,2012-04-26,6,5,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1146,1,1,0,0,4,4,2,5,1,1,1,1,2,9.2
