active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2011-12-26,10,6,PHILADELPHIA 76ERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1748,5,9,0,0,0,1,2,6,0,2,0,4,3,5.3
True,2011-12-28,15,2,PHILADELPHIA 76ERS,AWAY,PHOENIX SUNS,WIN,1585,7,14,0,0,1,1,2,3,0,0,0,0,1,9.9
True,2011-12-30,9,3,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,1129,3,8,0,0,3,4,0,1,0,1,0,1,3,3.3
True,2011-12-31,18,28,PHILADELPHIA 76ERS,AWAY,GOLDEN STATE WARRIORS,WIN,1822,7,12,0,0,4,5,2,4,1,2,0,2,3,14.1
True,2012-01-04,10,8,PHILADELPHIA 76ERS,AWAY,NEW ORLEANS HORNETS,WIN,1730,5,12,0,1,0,0,1,3,3,2,0,1,2,7.5
True,2012-01-06,15,20,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1598,7,11,0,0,1,2,5,2,0,1,1,0,1,15.1
True,2012-01-07,12,28,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,WIN,1477,5,8,0,0,2,4,2,2,1,3,2,0,1,14.3
True,2012-01-09,12,16,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1871,6,7,0,0,0,0,1,7,2,2,1,1,2,14.6
True,2012-01-10,10,22,PHILADELPHIA 76ERS,HOME,SACRAMENTO KINGS,WIN,1290,5,9,0,0,0,0,0,4,1,0,0,0,3,6.4
True,2012-01-11,12,3,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,LOSS,1825,6,16,0,1,0,0,2,2,0,2,1,1,6,4.5
True,2012-01-13,8,-3,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1525,3,4,0,0,2,2,1,0,2,1,0,0,4,7.9
True,2012-01-14,18,11,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,WIN,1871,6,13,0,0,6,6,3,1,0,2,2,0,1,16.7
True,2012-01-16,2,9,PHILADELPHIA 76ERS,HOME,MILWAUKEE BUCKS,WIN,1640,1,8,0,0,0,0,3,1,0,2,1,2,3,-1.3
True,2012-01-18,22,-7,PHILADELPHIA 76ERS,HOME,DENVER NUGGETS,LOSS,2288,11,22,0,0,0,1,5,2,2,1,0,2,2,14.3
True,2012-01-20,20,3,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,1363,8,11,0,0,4,4,1,2,0,1,0,2,0,15.8
True,2012-01-21,6,-6,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,1309,3,7,0,0,0,0,0,0,0,1,1,0,4,2.4
True,2012-01-23,14,9,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1551,5,10,0,0,4,7,1,6,4,0,1,0,1,13.4
True,2012-01-25,10,7,PHILADELPHIA 76ERS,HOME,NEW JERSEY NETS,LOSS,1637,5,9,0,1,0,0,0,5,2,2,0,2,1,8.2
True,2012-01-27,10,21,PHILADELPHIA 76ERS,HOME,CHARLOTTE BOBCATS,WIN,1463,5,7,0,0,0,0,1,3,0,0,0,0,0,8.7
True,2012-01-28,8,13,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1093,4,11,0,0,0,0,2,0,2,2,0,0,4,5.1
True,2012-01-30,10,-3,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,WIN,1857,5,13,0,0,0,0,1,2,2,2,0,0,1,7.2
True,2012-02-01,19,1,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,1638,7,12,0,0,5,6,5,3,1,1,1,0,0,19.8
True,2012-02-03,16,-15,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,1571,7,14,0,0,2,4,1,4,0,2,1,0,1,12.4
True,2012-02-04,14,4,PHILADELPHIA 76ERS,AWAY,ATLANTA HAWKS,WIN,1897,6,12,0,0,2,3,1,4,3,1,1,0,4,11.7
True,2012-02-06,9,-7,PHILADELPHIA 76ERS,HOME,LOS ANGELES LAKERS,WIN,1454,4,10,0,0,1,2,1,1,1,2,0,0,2,6.1
True,2012-02-08,16,1,PHILADELPHIA 76ERS,HOME,SAN ANTONIO SPURS,LOSS,1878,8,11,0,0,0,0,2,5,4,0,1,0,1,17.5
True,2012-02-10,10,-13,PHILADELPHIA 76ERS,HOME,LOS ANGELES CLIPPERS,LOSS,1546,4,9,0,0,2,2,0,3,0,1,0,0,0,7.2
True,2012-02-11,16,14,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,WIN,1890,7,11,0,0,2,2,2,4,2,1,1,1,2,15.0
True,2012-02-13,20,3,PHILADELPHIA 76ERS,AWAY,CHARLOTTE BOBCATS,WIN,2032,6,9,0,0,8,9,2,4,0,0,0,0,0,18.3
True,2012-02-15,12,-7,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,2092,6,13,0,0,0,0,2,2,3,1,1,1,3,8.9
True,2012-02-17,14,5,PHILADELPHIA 76ERS,HOME,DALLAS MAVERICKS,LOSS,1577,6,13,0,0,2,2,3,2,2,0,0,0,6,9.0
True,2012-02-19,10,-6,PHILADELPHIA 76ERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1585,5,12,0,0,0,0,3,2,1,1,1,1,2,6.9
True,2012-02-21,8,-6,PHILADELPHIA 76ERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1909,3,11,0,0,2,2,2,5,1,1,2,0,3,6.3
True,2012-02-22,15,-5,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,LOSS,1908,6,13,0,0,3,5,1,3,2,0,1,3,6,5.8
True,2012-02-28,20,23,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,1768,9,17,0,0,2,2,2,6,0,2,2,1,2,16.5
True,2012-02-29,16,-2,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,1747,8,15,0,0,0,0,5,4,1,0,2,1,2,13.7
True,2012-03-02,16,14,PHILADELPHIA 76ERS,HOME,GOLDEN STATE WARRIORS,WIN,1651,6,13,0,0,4,4,4,3,2,0,0,1,2,12.6
True,2012-03-04,17,-1,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,LOSS,1651,6,13,0,0,5,7,4,5,1,0,0,0,2,13.7
True,2012-03-05,14,3,PHILADELPHIA 76ERS,AWAY,MILWAUKEE BUCKS,LOSS,2163,6,15,0,0,2,2,8,5,1,2,1,2,4,12.8
True,2012-03-09,21,21,PHILADELPHIA 76ERS,HOME,UTAH JAZZ,WIN,2002,8,17,0,0,5,8,4,2,1,1,0,0,0,16.2
True,2012-03-11,14,11,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,2110,6,9,0,0,2,2,0,2,1,4,1,1,2,14.3
True,2012-03-14,12,-20,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,LOSS,1727,5,13,0,0,2,2,1,2,2,1,2,1,0,9.0
True,2012-03-16,8,3,PHILADELPHIA 76ERS,HOME,MIAMI HEAT,LOSS,1850,4,10,0,0,0,0,3,5,3,1,3,2,1,9.0
True,2012-03-17,8,-13,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,LOSS,1642,4,8,0,0,0,0,5,2,1,1,0,1,2,8.0
True,2012-03-19,20,12,PHILADELPHIA 76ERS,AWAY,CHARLOTTE BOBCATS,WIN,1669,10,12,0,0,0,0,4,2,2,1,2,0,2,22.0
True,2012-03-21,7,3,PHILADELPHIA 76ERS,HOME,NEW YORK KNICKS,LOSS,1600,2,6,0,0,3,4,1,2,1,2,0,0,1,6.8
True,2012-03-23,12,9,PHILADELPHIA 76ERS,HOME,BOSTON CELTICS,WIN,1797,6,13,0,0,0,0,2,7,2,0,1,1,2,9.1
True,2012-03-25,6,0,PHILADELPHIA 76ERS,AWAY,SAN ANTONIO SPURS,LOSS,1489,3,8,0,0,0,2,1,2,2,0,0,3,3,-0.7
True,2012-03-27,6,12,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,WIN,1609,3,7,0,0,0,0,2,4,0,1,1,2,2,3.8
True,2012-03-30,14,-11,PHILADELPHIA 76ERS,AWAY,WASHINGTON WIZARDS,LOSS,1444,4,10,0,0,6,6,2,3,0,0,0,1,0,9.9
True,2012-03-31,4,1,PHILADELPHIA 76ERS,HOME,ATLANTA HAWKS,WIN,1239,2,6,0,0,0,0,0,0,1,0,0,0,2,0.5
True,2012-04-03,8,5,PHILADELPHIA 76ERS,AWAY,MIAMI HEAT,LOSS,1891,4,10,0,0,0,0,4,3,1,1,0,0,3,6.8
True,2012-04-04,6,-13,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,1756,2,7,0,0,2,2,3,0,2,0,1,0,3,4.9
True,2012-04-07,20,10,PHILADELPHIA 76ERS,HOME,ORLANDO MAGIC,LOSS,1812,8,16,0,0,4,5,3,4,1,1,0,0,2,15.8
True,2012-04-08,4,-9,PHILADELPHIA 76ERS,AWAY,BOSTON CELTICS,LOSS,1382,2,6,0,0,0,0,2,2,0,1,0,2,0,1.6
True,2012-04-10,19,22,PHILADELPHIA 76ERS,AWAY,NEW JERSEY NETS,WIN,1720,8,15,0,0,3,4,4,4,1,0,2,2,3,14.2
True,2012-04-11,17,16,PHILADELPHIA 76ERS,AWAY,TORONTO RAPTORS,WIN,1546,8,12,0,0,1,3,1,4,1,1,1,0,1,14.9
True,2012-04-13,13,5,PHILADELPHIA 76ERS,HOME,NEW JERSEY NETS,LOSS,1570,6,12,0,0,1,2,1,6,0,0,0,4,2,4.3
True,2012-04-16,15,-5,PHILADELPHIA 76ERS,AWAY,ORLANDO MAGIC,LOSS,1723,7,11,0,0,1,2,1,1,0,1,0,2,2,8.9
True,2012-04-17,19,-3,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,1528,7,10,1,1,4,4,4,2,0,0,0,1,1,16.8
True,2012-04-18,12,14,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,WIN,1304,6,10,0,0,0,0,0,2,3,2,0,0,1,11.7
True,2012-04-21,15,-3,PHILADELPHIA 76ERS,AWAY,INDIANA PACERS,WIN,1758,4,7,0,0,7,8,5,3,1,1,2,3,3,14.6
True,2012-04-23,15,9,PHILADELPHIA 76ERS,AWAY,NEW JERSEY NETS,WIN,1522,7,8,0,0,1,1,1,3,1,0,0,0,1,14.1
