active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-11-02,0,-3,PORTLAND TRAIL BLAZERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-11-03,5,-6,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,WIN,929,2,7,1,3,0,0,1,3,1,1,1,2,1,2.5
True,2012-11-05,0,-6,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,111,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-11-08,0,1,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,LOSS,94,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2012-11-10,0,-9,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,179,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-11-12,0,-2,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,LOSS,177,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.7
True,2012-11-18,2,1,PORTLAND TRAIL BLAZERS,HOME,CHICAGO BULLS,WIN,551,1,4,0,0,0,0,2,1,0,0,0,0,1,0.9
True,2012-11-21,2,-4,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,381,0,3,0,1,2,2,0,2,0,0,0,0,0,0.5
True,2012-11-23,0,-5,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,349,0,2,0,2,0,0,0,1,1,0,0,1,1,-1.8
True,2012-11-25,2,3,PORTLAND TRAIL BLAZERS,AWAY,BROOKLYN NETS,LOSS,549,1,3,0,0,0,0,1,1,1,1,0,1,0,2.0
True,2012-11-26,12,-3,PORTLAND TRAIL BLAZERS,AWAY,DETROIT PISTONS,LOSS,1282,5,8,1,2,1,2,0,1,0,2,0,0,1,9.9
True,2012-11-28,2,-6,PORTLAND TRAIL BLAZERS,AWAY,WASHINGTON WIZARDS,LOSS,483,1,4,0,1,0,0,1,1,0,0,0,0,0,0.6
True,2012-11-30,3,-5,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,LOSS,1020,1,5,0,1,1,2,1,2,4,2,0,3,1,2.2
True,2012-12-01,7,-14,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,WIN,767,3,5,1,3,0,0,0,1,0,1,1,2,1,4.3
True,2012-12-03,7,-8,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE BOBCATS,WIN,691,3,5,1,2,0,2,0,1,0,1,0,2,1,2.8
True,2012-12-05,0,-5,PORTLAND TRAIL BLAZERS,AWAY,INDIANA PACERS,LOSS,832,0,3,0,2,0,0,0,1,0,0,0,2,1,-4.2
True,2012-12-10,0,-8,PORTLAND TRAIL BLAZERS,HOME,TORONTO RAPTORS,WIN,696,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2012-12-13,2,-2,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,WIN,382,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
True,2012-12-16,2,5,PORTLAND TRAIL BLAZERS,HOME,NEW ORLEANS HORNETS,WIN,432,1,6,0,1,0,0,2,0,1,0,0,0,0,0.3
True,2012-12-20,0,1,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,WIN,174,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.4
True,2012-12-22,0,-10,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,WIN,176,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2012-12-23,7,-1,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,1242,3,6,1,2,0,0,2,3,3,1,0,1,2,7.6
True,2012-12-26,14,6,PORTLAND TRAIL BLAZERS,HOME,SACRAMENTO KINGS,WIN,1543,6,9,0,1,2,2,1,0,1,0,0,1,1,10.1
True,2012-12-28,11,-2,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,1419,5,10,0,1,1,2,0,6,0,1,2,0,4,8.2
True,2012-12-29,0,9,PORTLAND TRAIL BLAZERS,HOME,PHILADELPHIA 76ERS,WIN,1014,0,4,0,1,0,0,0,2,1,0,0,1,1,-2.9
True,2013-01-01,0,3,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,WIN,290,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2013-01-02,0,-11,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,520,0,1,0,0,0,0,0,0,1,0,0,2,0,-2.0
True,2013-01-04,4,-8,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,WIN,609,2,3,0,1,0,0,1,0,1,0,0,0,0,4.1
True,2013-01-11,0,-9,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,LOSS,498,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2013-01-13,2,2,PORTLAND TRAIL BLAZERS,HOME,OKLAHOMA CITY THUNDER,LOSS,535,1,3,0,0,0,0,0,1,0,0,1,0,1,0.9
True,2013-01-15,7,-2,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,LOSS,1048,3,7,0,2,1,2,1,2,1,0,0,1,2,3.1
True,2013-01-16,1,-6,PORTLAND TRAIL BLAZERS,HOME,CLEVELAND CAVALIERS,LOSS,906,0,4,0,1,1,2,1,1,1,1,0,0,1,0.1
True,2013-01-19,2,1,PORTLAND TRAIL BLAZERS,HOME,MILWAUKEE BUCKS,LOSS,385,1,1,0,0,0,1,0,0,0,0,0,1,1,-0.1
True,2013-01-21,0,6,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,LOSS,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-01-23,8,18,PORTLAND TRAIL BLAZERS,HOME,INDIANA PACERS,WIN,1236,3,7,0,0,2,2,1,3,1,0,1,2,0,5.3
True,2013-01-26,5,3,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,968,2,4,1,2,0,0,0,3,0,1,0,1,1,3.5
True,2013-01-27,8,-4,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES CLIPPERS,LOSS,916,2,5,0,1,4,4,1,2,0,2,1,2,1,6.9
True,2013-01-29,2,-9,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,368,1,2,0,0,0,0,2,1,0,0,0,2,2,-0.1
True,2013-02-01,2,-2,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,365,1,2,0,0,0,0,1,1,0,0,0,0,1,1.6
True,2013-02-02,7,3,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,969,3,6,0,1,1,2,0,3,2,0,1,0,0,6.6
True,2013-02-04,2,-5,PORTLAND TRAIL BLAZERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,338,1,4,0,1,0,0,1,0,0,0,0,0,0,0.3
True,2013-02-06,2,-1,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,564,1,3,0,0,0,0,0,1,0,0,0,0,0,0.6
True,2013-02-08,1,2,PORTLAND TRAIL BLAZERS,AWAY,HOUSTON ROCKETS,LOSS,503,0,1,0,1,1,2,0,1,1,0,0,0,0,0.9
True,2013-02-10,2,-2,PORTLAND TRAIL BLAZERS,AWAY,ORLANDO MAGIC,LOSS,419,1,2,0,0,0,0,0,0,0,1,0,0,0,2.0
True,2013-02-13,9,-27,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS HORNETS,LOSS,1555,4,12,0,2,1,1,0,4,1,0,0,3,1,0.7
True,2013-02-19,2,-4,PORTLAND TRAIL BLAZERS,HOME,PHOENIX SUNS,LOSS,419,1,4,0,1,0,0,0,0,1,2,0,0,0,2.3
True,2013-02-22,5,-4,PORTLAND TRAIL BLAZERS,AWAY,LOS ANGELES LAKERS,LOSS,1168,2,7,0,1,1,1,0,5,0,0,0,1,0,1.4
True,2013-02-24,2,-1,PORTLAND TRAIL BLAZERS,HOME,BOSTON CELTICS,WIN,443,1,2,0,0,0,0,0,1,0,0,0,1,1,-0.1
True,2013-02-27,0,4,PORTLAND TRAIL BLAZERS,HOME,DENVER NUGGETS,LOSS,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-03-02,0,-4,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,941,0,7,0,2,0,0,1,0,1,1,0,0,2,-3.3
True,2013-03-04,0,0,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE BOBCATS,WIN,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-03-06,1,4,PORTLAND TRAIL BLAZERS,AWAY,MEMPHIS GRIZZLIES,LOSS,302,0,0,0,0,1,2,0,0,0,0,0,1,0,-0.4
True,2013-03-08,3,8,PORTLAND TRAIL BLAZERS,AWAY,SAN ANTONIO SPURS,WIN,191,1,1,1,1,0,0,0,0,1,1,0,0,1,4.0
