active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-31,6,-6,MEMPHIS GRIZZLIES,AWAY,LOS ANGELES CLIPPERS,LOSS,920,1,8,1,3,3,4,0,1,4,1,1,1,3,3.0
True,2012-11-02,5,-4,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,842,2,3,1,1,0,0,0,0,4,0,0,1,2,4.7
True,2012-11-05,3,3,MEMPHIS GRIZZLIES,HOME,UTAH JAZZ,WIN,863,1,3,1,3,0,0,0,2,4,1,1,2,1,4.0
True,2012-11-07,8,14,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,785,3,4,2,3,0,0,0,1,3,1,0,0,2,9.0
True,2012-11-09,12,9,MEMPHIS GRIZZLIES,HOME,HOUSTON ROCKETS,WIN,1076,4,8,2,4,2,2,0,2,3,3,0,1,1,12.3
True,2012-11-11,5,-8,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,989,2,3,1,1,0,0,0,1,0,1,1,3,2,1.9
True,2012-11-14,12,13,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,WIN,1039,5,8,2,3,0,0,0,2,4,0,0,1,5,8.8
True,2012-11-16,6,-2,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,790,3,6,0,1,0,0,0,1,1,0,0,2,3,0.8
True,2012-11-17,5,0,MEMPHIS GRIZZLIES,AWAY,CHARLOTTE BOBCATS,WIN,1304,2,5,0,1,1,1,0,2,3,0,3,2,2,4.3
True,2012-11-19,9,-3,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,LOSS,1146,4,8,1,5,0,2,0,1,3,2,0,2,2,5.8
True,2012-11-23,9,-17,MEMPHIS GRIZZLIES,HOME,LOS ANGELES LAKERS,WIN,756,3,6,0,0,3,3,0,0,1,1,0,0,2,6.9
True,2012-11-26,9,9,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,2055,3,11,0,3,3,3,1,2,6,1,2,3,4,5.8
True,2012-11-28,2,-10,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,1045,1,5,0,2,0,0,0,2,4,1,0,0,3,2.1
True,2012-11-30,10,4,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,911,4,6,0,0,2,2,0,2,4,1,0,3,3,7.6
True,2012-12-01,5,0,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,1247,1,8,0,4,3,4,0,1,3,1,0,1,4,0.2
True,2012-12-04,2,-10,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,645,1,2,0,0,0,0,0,1,1,1,0,0,2,2.2
True,2012-12-07,5,-4,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS HORNETS,WIN,1238,1,2,1,1,2,2,0,4,2,0,0,1,1,5.2
True,2012-12-08,2,-11,MEMPHIS GRIZZLIES,HOME,ATLANTA HAWKS,LOSS,1075,1,4,0,1,0,0,0,0,4,1,1,2,2,1.3
True,2012-12-12,3,-1,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,798,1,3,1,1,0,0,0,3,3,0,1,4,0,1.0
True,2012-12-14,0,6,MEMPHIS GRIZZLIES,AWAY,DENVER NUGGETS,LOSS,1022,0,5,0,1,0,0,0,2,11,2,0,1,2,5.0
True,2012-12-15,4,-6,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,WIN,628,2,7,0,1,0,0,2,0,1,0,0,1,0,1.0
True,2012-12-17,5,10,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,WIN,963,2,4,1,1,0,0,0,2,3,0,0,2,2,2.9
True,2012-12-19,8,5,MEMPHIS GRIZZLIES,HOME,MILWAUKEE BUCKS,WIN,1150,4,7,0,1,0,0,0,5,5,0,0,2,2,6.9
True,2012-12-21,5,-9,MEMPHIS GRIZZLIES,HOME,DALLAS MAVERICKS,WIN,636,2,5,1,2,0,0,0,2,1,0,0,1,2,1.8
True,2012-12-22,5,-18,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,1281,2,6,0,2,1,2,1,3,5,0,0,3,2,2.5
True,2012-12-26,2,0,MEMPHIS GRIZZLIES,HOME,PHILADELPHIA 76ERS,LOSS,734,1,6,0,1,0,0,0,2,2,0,0,1,0,-0.8
True,2012-12-29,6,8,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,1452,3,6,0,2,0,0,0,2,5,0,0,1,3,4.9
True,2012-12-31,1,-11,MEMPHIS GRIZZLIES,AWAY,INDIANA PACERS,LOSS,1137,0,4,0,1,1,1,0,0,2,1,0,1,1,-0.8
True,2013-01-02,0,-2,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,117,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0
True,2013-01-04,0,0,MEMPHIS GRIZZLIES,HOME,PORTLAND TRAIL BLAZERS,LOSS,913,0,1,0,0,0,0,0,0,2,1,0,1,0,0.7
True,2013-01-06,9,4,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,1520,2,2,1,1,4,4,1,6,6,1,0,0,1,15.7
True,2013-01-07,7,18,MEMPHIS GRIZZLIES,AWAY,SACRAMENTO KINGS,WIN,1223,2,6,1,3,2,2,0,5,2,0,0,2,3,3.3
True,2013-01-09,5,12,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,1984,2,10,1,7,0,1,1,3,6,2,1,1,3,4.7
True,2013-01-11,3,-3,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1445,1,5,1,2,0,0,0,1,3,1,0,4,2,-1.5
