active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-30,11,9,DALLAS MAVERICKS,AWAY,LOS ANGELES LAKERS,WIN,1010,4,8,1,2,2,2,1,0,5,1,0,0,2,11.4
True,2012-10-31,8,-16,DALLAS MAVERICKS,AWAY,UTAH JAZZ,LOSS,919,3,5,1,2,1,1,0,1,0,2,1,1,3,6.5
True,2012-11-09,5,-1,DALLAS MAVERICKS,AWAY,NEW YORK KNICKS,LOSS,851,2,7,0,3,1,1,1,2,1,1,0,1,0,2.9
True,2012-11-10,1,6,DALLAS MAVERICKS,AWAY,CHARLOTTE BOBCATS,LOSS,696,0,1,0,0,1,2,0,3,2,0,0,1,0,1.2
True,2012-11-12,0,13,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1268,0,3,0,1,0,0,0,3,7,2,0,2,1,3.3
True,2012-11-14,4,-4,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,906,2,7,0,2,0,0,0,2,1,0,0,0,2,0.4
True,2012-11-16,2,-6,DALLAS MAVERICKS,AWAY,INDIANA PACERS,LOSS,1161,0,4,0,1,2,2,0,4,2,0,0,1,3,-0.4
True,2012-11-19,0,3,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,LOSS,401,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2012-11-24,8,1,DALLAS MAVERICKS,HOME,LOS ANGELES LAKERS,LOSS,1068,3,8,2,4,0,0,0,1,6,1,0,1,2,7.3
True,2012-11-28,6,-13,DALLAS MAVERICKS,AWAY,CHICAGO BULLS,LOSS,1417,2,7,1,4,1,2,0,0,3,0,0,2,5,-0.4
True,2012-12-05,0,-2,DALLAS MAVERICKS,AWAY,LOS ANGELES CLIPPERS,LOSS,268,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
