active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-31,13,9,LOS ANGELES CLIPPERS,HOME,MEMPHIS GRIZZLIES,WIN,1031,5,8,0,1,3,4,1,3,4,0,0,1,1,12.0
True,2012-11-02,10,-7,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,844,4,8,0,0,2,2,1,1,1,1,0,1,2,6.9
True,2012-11-03,4,-11,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,898,2,5,0,0,0,0,1,0,3,2,0,1,2,4.3
True,2012-11-05,11,5,LOS ANGELES CLIPPERS,HOME,CLEVELAND CAVALIERS,LOSS,1538,3,10,0,2,5,6,2,3,5,4,1,2,0,13.3
True,2012-11-07,15,-1,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,WIN,1340,7,14,1,2,0,0,1,0,5,1,1,1,0,12.9
True,2012-11-08,8,5,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,873,3,4,0,0,2,3,0,2,1,1,0,3,1,4.9
True,2012-11-11,12,6,LOS ANGELES CLIPPERS,HOME,ATLANTA HAWKS,WIN,1125,4,10,1,1,3,3,2,0,1,2,1,4,5,5.4
True,2012-11-14,12,-6,LOS ANGELES CLIPPERS,HOME,MIAMI HEAT,WIN,1036,5,8,0,1,2,2,1,0,1,1,1,4,2,6.7
True,2012-11-17,10,13,LOS ANGELES CLIPPERS,HOME,CHICAGO BULLS,WIN,1180,4,6,0,1,2,2,2,2,4,2,0,0,2,13.4
True,2012-11-19,9,2,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1357,4,9,0,1,1,2,3,2,3,2,1,1,1,10.0
True,2012-11-21,11,0,LOS ANGELES CLIPPERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1423,4,6,1,1,2,2,2,1,4,1,1,4,1,10.2
True,2012-11-23,6,0,LOS ANGELES CLIPPERS,AWAY,BROOKLYN NETS,LOSS,724,3,5,0,1,0,0,0,3,0,0,1,3,2,1.5
True,2012-11-24,12,0,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,LOSS,1257,4,10,2,3,2,2,2,2,1,1,1,1,0,10.0
True,2012-11-26,8,0,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS HORNETS,LOSS,1226,3,4,1,2,1,3,1,1,4,1,0,0,1,10.0
True,2012-11-28,4,1,LOS ANGELES CLIPPERS,HOME,MINNESOTA TIMBERWOLVES,WIN,847,1,6,0,0,2,2,0,3,2,0,1,1,1,1.8
True,2012-12-01,14,13,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1572,6,11,0,0,2,3,0,1,4,4,2,1,2,15.0
True,2012-12-03,10,9,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,WIN,636,4,9,0,1,2,3,2,1,1,1,0,2,2,5.5
True,2012-12-05,8,4,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,1143,4,12,0,1,0,0,1,4,5,3,1,3,1,6.9
True,2012-12-08,10,13,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,WIN,1068,5,9,0,0,0,0,0,0,4,2,0,1,1,9.1
True,2012-12-09,14,21,LOS ANGELES CLIPPERS,HOME,TORONTO RAPTORS,WIN,1179,6,9,1,2,1,2,2,2,6,2,2,0,2,18.5
True,2012-12-11,6,0,LOS ANGELES CLIPPERS,AWAY,CHICAGO BULLS,WIN,850,3,6,0,0,0,0,0,0,3,2,0,2,0,5.1
True,2012-12-12,13,2,LOS ANGELES CLIPPERS,AWAY,CHARLOTTE BOBCATS,WIN,1348,5,9,1,1,2,2,3,5,1,1,2,0,0,15.4
True,2012-12-15,8,7,LOS ANGELES CLIPPERS,AWAY,MILWAUKEE BUCKS,WIN,1120,3,5,0,0,2,2,0,1,5,1,0,2,2,7.7
True,2012-12-17,4,10,LOS ANGELES CLIPPERS,AWAY,DETROIT PISTONS,WIN,875,2,5,0,1,0,0,0,1,1,0,0,1,1,0.9
True,2012-12-19,4,0,LOS ANGELES CLIPPERS,HOME,NEW ORLEANS HORNETS,WIN,1203,1,6,0,0,2,2,1,1,4,2,2,2,3,4.2
True,2012-12-21,6,4,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1129,2,6,0,1,2,2,1,2,1,3,3,7,1,2.3
True,2012-12-23,2,-6,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,1136,1,4,0,1,0,0,0,2,0,0,0,2,0,-1.8
True,2012-12-25,12,-1,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,983,3,7,0,1,6,7,0,0,2,1,0,4,2,5.5
True,2012-12-27,3,14,LOS ANGELES CLIPPERS,HOME,BOSTON CELTICS,WIN,1149,1,4,0,1,1,2,0,3,4,6,0,2,0,7.9
True,2012-12-28,2,-12,LOS ANGELES CLIPPERS,AWAY,UTAH JAZZ,WIN,600,1,4,0,0,0,0,0,2,1,1,0,1,4,-0.7
True,2012-12-30,4,3,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,756,2,5,0,0,0,0,1,1,3,0,1,1,0,4.1
True,2013-01-01,12,-14,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,995,5,7,2,3,0,0,1,1,2,0,0,2,0,9.5
True,2013-01-02,2,-4,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1242,0,7,0,1,2,2,2,3,2,3,0,1,2,2.0
True,2013-01-04,8,-5,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,WIN,1321,4,8,0,0,0,0,3,1,1,2,1,2,4,6.2
True,2013-01-05,17,-1,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,WIN,1781,8,13,1,2,0,0,2,1,3,1,1,1,1,15.2
True,2013-01-09,5,0,LOS ANGELES CLIPPERS,HOME,DALLAS MAVERICKS,WIN,470,2,4,0,0,1,2,1,2,1,0,0,1,1,3.2
True,2013-01-12,2,-13,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,LOSS,813,1,4,0,0,0,0,1,0,4,0,1,0,1,3.4
True,2013-01-14,14,10,LOS ANGELES CLIPPERS,AWAY,MEMPHIS GRIZZLIES,WIN,1706,4,9,0,0,6,9,2,1,4,2,1,0,3,14.1
True,2013-01-15,19,3,LOS ANGELES CLIPPERS,AWAY,HOUSTON ROCKETS,WIN,2191,7,12,1,1,4,4,2,5,5,2,0,3,3,17.6
True,2013-01-17,2,-5,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1388,1,7,0,0,0,0,4,2,2,4,1,4,3,1.8
True,2013-01-19,11,-4,LOS ANGELES CLIPPERS,HOME,WASHINGTON WIZARDS,WIN,1098,4,8,1,2,2,2,3,4,1,2,2,3,1,11.0
True,2013-01-21,7,-15,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1227,3,5,1,1,0,0,0,1,4,1,0,3,3,4.6
True,2013-01-22,12,1,LOS ANGELES CLIPPERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2106,5,16,0,0,2,3,2,0,4,1,2,1,3,6.8
True,2013-01-24,15,-2,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,LOSS,1770,5,10,1,2,4,4,1,6,3,3,1,2,6,13.9
True,2013-01-26,11,0,LOS ANGELES CLIPPERS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2013,4,7,0,0,3,4,2,7,5,2,1,2,0,15.0
True,2013-01-27,10,16,LOS ANGELES CLIPPERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2107,4,14,1,2,1,2,0,5,5,0,1,0,1,6.7
True,2013-01-30,10,10,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2349,3,14,0,1,4,4,1,2,10,6,1,5,2,10.6
True,2013-02-01,10,-29,LOS ANGELES CLIPPERS,AWAY,TORONTO RAPTORS,LOSS,2023,4,14,0,3,2,2,1,1,3,1,2,3,2,3.5
True,2013-02-03,23,14,LOS ANGELES CLIPPERS,AWAY,BOSTON CELTICS,LOSS,2279,9,15,2,3,3,4,2,5,10,2,1,3,3,24.1
True,2013-02-04,17,-9,LOS ANGELES CLIPPERS,AWAY,WASHINGTON WIZARDS,LOSS,2169,7,14,0,0,3,3,0,1,9,1,2,4,3,13.8
True,2013-02-06,27,24,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,WIN,2474,9,21,2,4,7,10,0,6,3,6,3,4,1,22.3
True,2013-02-08,7,5,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,LOSS,1704,2,6,1,1,2,2,1,3,6,1,0,2,0,8.4
True,2013-02-10,13,20,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,1121,6,6,1,1,0,0,0,4,3,1,3,0,2,16.8
True,2013-02-11,10,-10,LOS ANGELES CLIPPERS,AWAY,PHILADELPHIA 76ERS,WIN,1406,3,7,2,2,2,4,0,0,5,0,1,3,1,6.3
True,2013-02-13,2,-8,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,WIN,1033,1,5,0,1,0,0,0,2,3,0,1,0,0,2.3
True,2013-02-14,6,-11,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,929,3,4,0,0,0,0,0,2,3,1,0,3,3,3.9
True,2013-02-21,5,2,LOS ANGELES CLIPPERS,HOME,SAN ANTONIO SPURS,LOSS,1363,2,8,0,0,1,2,2,2,3,0,0,2,0,1.9
