active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-31,6,11,UTAH JAZZ,HOME,DALLAS MAVERICKS,WIN,1079,1,2,0,0,4,6,2,8,0,0,2,3,3,5.2
True,2012-11-02,4,5,UTAH JAZZ,AWAY,NEW ORLEANS HORNETS,LOSS,1354,2,5,0,0,0,2,5,4,0,1,2,2,1,5.2
True,2012-11-03,6,-14,UTAH JAZZ,AWAY,SAN ANTONIO SPURS,LOSS,1390,3,5,0,0,0,0,0,2,1,0,1,1,4,3.1
True,2012-11-05,14,-14,UTAH JAZZ,AWAY,MEMPHIS GRIZZLIES,LOSS,1550,6,12,0,0,2,4,3,5,1,3,1,2,0,13.2
True,2012-11-07,8,12,UTAH JAZZ,HOME,LOS ANGELES LAKERS,WIN,1070,3,8,0,0,2,2,3,3,0,1,2,0,3,7.8
True,2012-11-09,10,0,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1520,3,8,0,0,4,4,3,8,1,0,5,2,1,11.9
True,2012-11-10,10,-8,UTAH JAZZ,HOME,PHOENIX SUNS,WIN,931,4,5,0,0,2,2,3,3,0,0,3,3,4,8.6
True,2012-11-12,15,15,UTAH JAZZ,AWAY,TORONTO RAPTORS,WIN,2697,6,12,0,0,3,6,3,3,0,2,4,2,5,11.6
True,2012-11-14,14,-5,UTAH JAZZ,AWAY,BOSTON CELTICS,LOSS,1558,2,5,0,0,10,14,5,4,1,1,0,0,2,15.3
True,2012-11-16,8,1,UTAH JAZZ,AWAY,PHILADELPHIA 76ERS,LOSS,1326,3,8,0,0,2,3,3,4,1,2,1,2,0,7.9
True,2012-11-17,9,9,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,WIN,1747,3,10,0,0,3,4,5,5,0,2,3,0,3,10.7
True,2012-11-19,8,10,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1392,2,7,0,0,4,4,3,5,0,1,2,1,5,6.9
True,2012-11-23,16,14,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1698,7,15,0,0,2,3,9,5,0,2,2,0,2,18.3
True,2012-11-24,2,-10,UTAH JAZZ,AWAY,SACRAMENTO KINGS,LOSS,941,0,6,0,1,2,2,3,1,1,0,0,2,5,-3.1
True,2012-11-26,19,-2,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1461,6,8,0,0,7,9,5,2,2,0,2,2,4,18.3
True,2012-11-28,9,10,UTAH JAZZ,AWAY,NEW ORLEANS HORNETS,WIN,1011,4,8,0,0,1,2,1,7,1,0,1,2,3,5.6
True,2012-11-30,0,-10,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,LOSS,559,0,1,0,0,0,0,0,2,0,0,1,2,1,-1.8
True,2012-12-12,6,-8,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,722,2,4,0,0,2,4,0,2,1,1,0,1,1,4.1
True,2012-12-14,11,-14,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1019,4,8,0,0,3,4,4,4,1,1,1,2,1,10.6
True,2012-12-15,4,-8,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,LOSS,1098,2,4,0,0,0,2,0,4,0,1,1,0,2,3.3
True,2012-12-18,13,3,UTAH JAZZ,AWAY,BROOKLYN NETS,WIN,1492,4,10,0,0,5,6,1,1,2,0,3,1,4,9.1
True,2012-12-19,16,1,UTAH JAZZ,AWAY,INDIANA PACERS,LOSS,1667,7,13,0,0,2,5,4,5,0,1,3,0,3,14.7
True,2012-12-22,10,8,UTAH JAZZ,AWAY,MIAMI HEAT,LOSS,1412,2,8,0,0,6,6,2,2,0,2,0,1,2,7.4
True,2012-12-23,12,-2,UTAH JAZZ,AWAY,ORLANDO MAGIC,WIN,1066,5,8,0,0,2,3,1,3,0,0,1,0,3,9.1
True,2012-12-26,9,-14,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,LOSS,1172,3,8,0,0,3,4,0,3,0,2,0,2,5,3.1
True,2012-12-28,5,12,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,LOSS,1153,2,7,0,0,1,1,2,2,2,1,0,4,5,-0.7
True,2012-12-30,11,-9,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1722,3,6,0,0,5,6,1,6,3,1,1,2,4,10.3
True,2013-01-02,8,-2,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,986,4,6,0,0,0,0,4,2,1,0,3,1,3,9.4
True,2013-01-04,10,0,UTAH JAZZ,AWAY,PHOENIX SUNS,WIN,1890,5,11,0,1,0,0,3,6,2,1,1,1,4,8.7
True,2013-01-05,4,-8,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1503,1,6,0,0,2,2,3,5,2,3,1,3,4,4.3
True,2013-01-07,4,-5,UTAH JAZZ,HOME,DALLAS MAVERICKS,WIN,800,1,3,0,0,2,5,0,4,0,0,1,2,5,-1.0
True,2013-01-09,10,1,UTAH JAZZ,AWAY,CHARLOTTE BOBCATS,WIN,1180,5,5,0,0,0,0,1,5,3,1,2,2,3,12.0
True,2013-01-11,0,-13,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,871,0,2,0,0,0,0,0,3,1,1,2,3,3,-1.6
True,2013-01-12,7,2,UTAH JAZZ,AWAY,DETROIT PISTONS,WIN,1147,3,5,0,0,1,4,0,3,2,1,0,1,3,4.6
True,2013-01-14,7,5,UTAH JAZZ,HOME,MIAMI HEAT,WIN,1075,3,4,0,0,1,1,0,1,2,0,1,0,2,7.0
True,2013-01-19,19,5,UTAH JAZZ,HOME,CLEVELAND CAVALIERS,WIN,1479,7,11,0,0,5,7,1,7,0,1,1,3,4,13.2
True,2013-01-23,8,5,UTAH JAZZ,HOME,WASHINGTON WIZARDS,WIN,1245,4,8,0,0,0,0,0,7,1,1,0,2,1,5.4
True,2013-01-25,14,-5,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1469,5,5,0,0,4,4,4,1,0,2,1,0,3,17.1
True,2013-01-26,11,-1,UTAH JAZZ,HOME,INDIANA PACERS,WIN,1119,4,9,0,0,3,4,1,3,0,0,0,1,3,5.3
True,2013-01-28,11,-21,UTAH JAZZ,HOME,HOUSTON ROCKETS,LOSS,1617,4,9,0,1,3,6,3,2,2,0,3,3,4,6.7
True,2013-01-30,15,8,UTAH JAZZ,HOME,NEW ORLEANS HORNETS,WIN,1363,6,9,0,0,3,5,1,5,1,0,1,1,4,11.3
True,2013-02-01,7,3,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1408,3,9,0,1,1,3,2,10,1,1,1,1,3,5.7
True,2013-02-02,9,-8,UTAH JAZZ,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1282,4,7,0,0,1,2,3,4,1,1,0,1,3,8.1
True,2013-02-04,13,12,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,1429,5,7,0,0,3,4,2,7,1,1,1,1,3,13.4
True,2013-02-06,9,9,UTAH JAZZ,HOME,MILWAUKEE BUCKS,WIN,1306,3,8,0,0,3,7,3,8,2,3,3,4,3,8.8
True,2013-02-08,6,-5,UTAH JAZZ,HOME,CHICAGO BULLS,LOSS,1414,3,8,0,0,0,0,1,1,0,0,2,1,6,0.6
