active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-30,0,-2,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,663,0,1,0,0,0,0,0,3,0,0,0,1,1,-1.2
True,2012-11-02,2,-5,MIAMI HEAT,AWAY,NEW YORK KNICKS,LOSS,1169,1,3,0,0,0,0,0,5,1,0,0,0,1,2.1
True,2012-11-03,0,-6,MIAMI HEAT,HOME,DENVER NUGGETS,WIN,316,0,1,0,0,0,0,0,0,0,0,0,1,1,-2.1
True,2012-11-05,12,9,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1130,5,8,0,0,2,3,0,5,0,0,0,0,3,8.3
True,2012-11-07,4,13,MIAMI HEAT,HOME,BROOKLYN NETS,WIN,1179,2,3,0,0,0,0,0,6,0,0,0,1,0,3.5
True,2012-11-09,2,4,MIAMI HEAT,AWAY,ATLANTA HAWKS,WIN,1437,1,3,0,0,0,0,1,9,0,0,0,2,1,1.3
True,2012-11-11,5,1,MIAMI HEAT,AWAY,MEMPHIS GRIZZLIES,LOSS,1263,1,3,0,0,3,4,0,1,1,0,2,1,3,3.1
True,2012-11-12,10,-11,MIAMI HEAT,AWAY,HOUSTON ROCKETS,WIN,923,5,6,0,0,0,0,5,2,0,0,0,0,2,11.1
True,2012-11-14,3,1,MIAMI HEAT,AWAY,LOS ANGELES CLIPPERS,LOSS,1215,1,3,0,0,1,3,2,4,0,0,0,2,3,-0.1
True,2012-11-15,8,-8,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1061,4,4,0,0,0,0,1,3,0,0,0,0,2,7.6
True,2012-11-17,2,-11,MIAMI HEAT,AWAY,PHOENIX SUNS,WIN,1073,1,3,0,0,0,0,2,4,0,1,0,2,3,0.7
True,2012-11-21,2,7,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1101,1,5,0,0,0,0,2,6,0,2,0,0,2,3.3
True,2012-11-24,2,-12,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1175,1,1,0,0,0,0,2,3,3,0,0,2,2,3.3
True,2012-11-29,4,-4,MIAMI HEAT,HOME,SAN ANTONIO SPURS,WIN,1078,2,4,0,0,0,0,0,4,0,0,0,2,3,0.0
True,2012-12-01,0,17,MIAMI HEAT,HOME,BROOKLYN NETS,WIN,1306,0,2,0,0,0,0,3,4,1,1,0,1,6,0.2
True,2012-12-04,0,-1,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,1049,0,3,0,0,0,0,0,3,0,0,0,2,3,-4.4
True,2012-12-06,10,-15,MIAMI HEAT,HOME,NEW YORK KNICKS,LOSS,1302,5,6,0,0,0,0,2,5,0,0,0,2,0,8.7
True,2012-12-08,2,-11,MIAMI HEAT,HOME,NEW ORLEANS HORNETS,WIN,832,1,2,0,0,0,0,0,2,1,2,0,0,2,3.5
True,2012-12-12,2,-4,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,LOSS,924,1,3,0,0,0,0,1,3,0,0,1,0,1,2.2
