active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-11-04,2,6,ORLANDO MAGIC,HOME,PHOENIX SUNS,WIN,964,1,3,0,0,0,0,0,0,0,0,1,0,0,1.0
True,2012-11-06,2,-9,ORLANDO MAGIC,AWAY,CHICAGO BULLS,LOSS,711,1,2,0,0,0,0,0,2,0,1,1,0,0,3.3
True,2012-11-18,7,-1,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,1364,3,5,1,1,0,0,1,4,1,0,0,1,3,5.1
True,2012-11-19,4,13,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,LOSS,736,2,8,0,0,0,0,0,2,0,0,0,0,0,-0.2
True,2012-11-21,2,-6,ORLANDO MAGIC,HOME,DETROIT PISTONS,WIN,220,1,3,0,1,0,0,0,0,0,0,0,1,0,-0.7
True,2012-11-28,7,-9,ORLANDO MAGIC,HOME,SAN ANTONIO SPURS,LOSS,1139,2,3,1,1,2,4,1,5,0,1,1,0,1,8.4
True,2012-11-30,3,8,ORLANDO MAGIC,HOME,BROOKLYN NETS,LOSS,222,1,2,0,1,1,2,0,0,0,0,0,0,0,1.6
True,2012-12-02,0,-5,ORLANDO MAGIC,AWAY,LOS ANGELES LAKERS,WIN,265,0,0,0,0,0,0,0,2,0,0,0,0,2,-0.2
True,2012-12-03,0,-1,ORLANDO MAGIC,AWAY,GOLDEN STATE WARRIORS,WIN,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-12-05,0,-5,ORLANDO MAGIC,AWAY,UTAH JAZZ,LOSS,193,0,1,0,0,0,0,0,1,0,0,1,0,0,0.3
True,2012-12-07,0,1,ORLANDO MAGIC,AWAY,SACRAMENTO KINGS,LOSS,272,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2012-12-09,0,4,ORLANDO MAGIC,AWAY,PHOENIX SUNS,WIN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-12-12,2,6,ORLANDO MAGIC,HOME,ATLANTA HAWKS,LOSS,423,1,2,0,0,0,0,0,2,0,0,0,0,1,1.2
True,2012-12-14,0,5,ORLANDO MAGIC,HOME,GOLDEN STATE WARRIORS,WIN,370,0,0,0,0,0,0,0,2,0,1,0,0,0,1.6
True,2012-12-21,0,-2,ORLANDO MAGIC,AWAY,TORONTO RAPTORS,LOSS,182,0,2,0,0,0,0,1,0,0,0,0,1,1,-2.1
True,2012-12-23,0,-2,ORLANDO MAGIC,HOME,UTAH JAZZ,LOSS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2012-12-28,2,-2,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,LOSS,756,0,0,0,0,2,2,0,3,0,0,0,0,0,2.9
True,2012-12-29,5,-9,ORLANDO MAGIC,HOME,TORONTO RAPTORS,LOSS,1000,2,4,0,1,1,2,0,3,0,0,1,0,1,3.8
True,2012-12-31,6,-14,ORLANDO MAGIC,HOME,MIAMI HEAT,LOSS,1418,2,6,0,1,2,2,0,1,1,1,0,1,3,2.4
True,2013-01-02,4,4,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,631,2,4,0,0,0,0,1,1,0,0,1,0,0,3.7
True,2013-01-05,8,13,ORLANDO MAGIC,HOME,NEW YORK KNICKS,LOSS,1445,4,8,0,2,0,1,1,5,1,0,0,0,3,5.3
True,2013-01-07,6,-11,ORLANDO MAGIC,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1139,3,6,0,1,0,0,0,1,0,0,1,1,0,3.0
