active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-10-30,7,7,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,981,2,6,1,4,2,2,0,1,3,0,0,1,3,3.8
True,2012-11-03,9,7,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,LOSS,1170,4,7,1,3,0,0,0,4,4,0,0,1,2,7.9
True,2012-11-07,3,-12,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,979,1,5,1,3,0,0,0,0,3,0,1,1,2,0.9
True,2012-11-09,0,-12,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,LOSS,709,0,6,0,4,0,0,0,1,1,0,0,1,0,-4.2
True,2012-11-10,0,-5,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,690,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2012-11-13,0,-6,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,LOSS,579,0,4,0,3,0,0,0,0,1,0,0,2,0,-4.1
True,2012-11-14,2,15,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,1009,1,3,0,2,0,0,0,0,1,0,0,2,1,-1.4
True,2013-01-21,16,9,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1502,6,11,4,5,0,0,0,1,4,1,0,0,0,14.8
True,2013-01-23,8,2,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,1365,3,6,2,4,0,0,0,0,3,1,0,2,2,5.3
True,2013-01-25,2,0,ATLANTA HAWKS,HOME,BOSTON CELTICS,WIN,1307,1,7,0,4,0,0,1,2,5,0,0,0,0,2.3
True,2013-01-27,0,-11,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,LOSS,334,0,0,0,0,0,0,0,0,1,0,0,1,1,-0.7
True,2013-01-30,0,-4,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,293,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
True,2013-02-02,0,-5,ATLANTA HAWKS,HOME,CHICAGO BULLS,LOSS,842,0,6,0,4,0,0,0,0,1,0,0,1,0,-4.5
True,2013-02-05,9,2,ATLANTA HAWKS,AWAY,INDIANA PACERS,LOSS,1143,3,7,1,3,2,2,0,2,5,1,0,0,4,8.8
True,2013-03-15,0,1,CHARLOTTE BOBCATS,AWAY,TORONTO RAPTORS,LOSS,304,0,2,0,2,0,0,0,0,2,0,0,1,0,-1.0
True,2013-03-16,18,3,CHARLOTTE BOBCATS,AWAY,BOSTON CELTICS,LOSS,1273,5,12,4,6,4,4,1,1,4,1,1,2,1,14.7
True,2013-03-18,11,-1,CHARLOTTE BOBCATS,HOME,WASHINGTON WIZARDS,WIN,1110,4,10,3,6,0,0,1,0,6,2,0,3,3,8.3
True,2013-03-20,11,10,CHARLOTTE BOBCATS,HOME,TORONTO RAPTORS,WIN,722,4,5,3,4,0,0,0,1,1,2,0,0,5,10.1
True,2013-03-23,16,-6,CHARLOTTE BOBCATS,HOME,DETROIT PISTONS,LOSS,1746,7,14,2,7,0,0,0,1,3,1,1,1,1,11.7
True,2013-03-24,5,-31,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,LOSS,1025,2,7,1,5,0,0,0,1,1,1,0,3,0,-0.1
True,2013-03-27,5,1,CHARLOTTE BOBCATS,HOME,ORLANDO MAGIC,WIN,1164,2,6,1,5,0,0,1,0,3,1,0,1,1,4.0
True,2013-03-29,9,-8,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,946,3,8,3,7,0,0,0,0,1,0,0,2,4,1.7
True,2013-03-30,11,-7,CHARLOTTE BOBCATS,AWAY,PHILADELPHIA 76ERS,LOSS,1025,5,12,1,4,0,0,2,1,1,1,0,2,3,4.8
True,2013-04-01,8,-11,CHARLOTTE BOBCATS,AWAY,MILWAUKEE BUCKS,LOSS,1152,3,10,1,4,1,2,0,1,3,1,0,1,1,3.8
True,2013-04-03,0,-8,CHARLOTTE BOBCATS,HOME,PHILADELPHIA 76ERS,WIN,494,0,1,0,0,0,0,0,1,0,0,0,2,1,-2.8
True,2013-04-05,9,4,CHARLOTTE BOBCATS,HOME,MIAMI HEAT,LOSS,654,3,6,1,3,2,2,2,0,1,1,0,0,0,9.1
True,2013-04-06,12,6,CHARLOTTE BOBCATS,AWAY,BROOKLYN NETS,LOSS,1396,5,13,1,4,1,1,1,3,2,0,0,1,3,5.7
True,2013-04-09,10,-9,CHARLOTTE BOBCATS,AWAY,MEMPHIS GRIZZLIES,LOSS,846,4,9,2,5,0,0,0,0,1,0,0,2,1,3.6
True,2013-04-12,11,-6,CHARLOTTE BOBCATS,AWAY,DETROIT PISTONS,LOSS,1179,4,8,3,6,0,0,1,0,0,1,0,1,2,6.9
True,2013-04-13,5,7,CHARLOTTE BOBCATS,HOME,MILWAUKEE BUCKS,WIN,786,2,5,1,2,0,0,0,1,2,0,0,3,0,1.0
True,2013-04-15,5,-9,CHARLOTTE BOBCATS,HOME,NEW YORK KNICKS,WIN,1026,2,9,1,3,0,0,0,1,2,2,0,2,0,1.2
True,2013-04-17,5,-7,CHARLOTTE BOBCATS,HOME,CLEVELAND CAVALIERS,WIN,696,2,5,1,3,0,0,0,1,1,1,0,1,0,3.3
