active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-11-02,3,2,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,WIN,155,1,2,1,2,0,0,0,0,0,0,0,0,1,1.6
True,2012-11-03,0,1,CHICAGO BULLS,HOME,NEW ORLEANS HORNETS,LOSS,27,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0
True,2012-11-08,0,-4,CHICAGO BULLS,HOME,OKLAHOMA CITY THUNDER,LOSS,16,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2012-11-17,2,-1,CHICAGO BULLS,AWAY,LOS ANGELES CLIPPERS,LOSS,584,1,3,0,2,0,0,2,0,0,0,0,1,3,-0.5
True,2012-11-28,2,-1,CHICAGO BULLS,HOME,DALLAS MAVERICKS,WIN,148,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2012-12-21,0,-1,CHICAGO BULLS,AWAY,NEW YORK KNICKS,WIN,26,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2012-12-22,3,6,CHICAGO BULLS,AWAY,ATLANTA HAWKS,LOSS,379,1,2,1,2,0,0,0,1,0,1,0,1,1,1.9
True,2012-12-25,0,0,CHICAGO BULLS,HOME,HOUSTON ROCKETS,LOSS,210,0,1,0,1,0,0,0,1,0,2,0,0,0,1.6
True,2013-01-07,0,-2,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2013-01-12,0,-1,CHICAGO BULLS,HOME,PHOENIX SUNS,LOSS,87,0,0,0,0,0,0,0,0,1,1,0,0,0,1.7
True,2013-01-14,0,4,CHICAGO BULLS,HOME,ATLANTA HAWKS,WIN,225,0,2,0,1,0,0,2,0,1,0,0,0,0,0.7
True,2013-01-19,0,0,CHICAGO BULLS,HOME,MEMPHIS GRIZZLIES,LOSS,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-01-25,0,-4,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,83,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3
True,2013-02-02,0,-7,CHICAGO BULLS,AWAY,ATLANTA HAWKS,WIN,302,0,2,0,0,0,0,0,0,0,0,0,0,3,-2.6
True,2013-02-07,5,-5,CHICAGO BULLS,AWAY,DENVER NUGGETS,LOSS,771,2,5,1,4,0,0,2,1,2,0,0,0,1,5.0
True,2013-02-21,0,0,CHICAGO BULLS,HOME,MIAMI HEAT,LOSS,132,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3
True,2013-02-22,0,2,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,151,0,1,0,1,0,0,0,1,0,0,0,1,1,-1.8
True,2013-02-24,3,-2,CHICAGO BULLS,AWAY,OKLAHOMA CITY THUNDER,LOSS,565,1,3,1,1,0,0,1,2,0,0,1,1,2,1.5
True,2013-03-03,2,-1,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,652,1,3,0,2,0,0,0,3,1,0,2,1,4,0.7
True,2013-03-13,0,-18,CHICAGO BULLS,AWAY,SACRAMENTO KINGS,LOSS,928,0,3,0,3,0,0,1,1,0,0,0,2,4,-4.7
True,2013-03-23,0,0,CHICAGO BULLS,HOME,INDIANA PACERS,WIN,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-04-04,2,-4,CHICAGO BULLS,AWAY,BROOKLYN NETS,WIN,679,1,4,0,2,0,1,0,1,0,0,0,0,3,-1.7
True,2013-04-05,7,8,CHICAGO BULLS,HOME,ORLANDO MAGIC,WIN,1387,3,3,1,1,0,0,1,3,2,2,1,0,3,10.6
True,2013-04-07,4,-12,CHICAGO BULLS,AWAY,DETROIT PISTONS,LOSS,917,1,5,0,3,2,2,1,2,0,0,0,0,1,1.8
True,2013-04-09,0,2,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
