active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-11-07,0,-3,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,185,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.0
True,2012-11-11,0,-9,MEMPHIS GRIZZLIES,HOME,MIAMI HEAT,WIN,210,0,2,0,1,0,0,0,1,0,1,0,0,1,-0.5
True,2012-11-16,0,-4,MEMPHIS GRIZZLIES,HOME,NEW YORK KNICKS,WIN,63,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2012-11-26,0,-2,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,263,0,0,0,0,0,0,0,0,1,0,0,1,2,-1.1
True,2012-11-28,0,-3,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,200,0,2,0,0,0,0,0,0,0,0,0,0,1,-1.8
True,2012-12-22,5,-10,MEMPHIS GRIZZLIES,AWAY,HOUSTON ROCKETS,LOSS,826,1,4,0,2,3,4,0,1,0,0,0,2,0,0.5
True,2013-01-06,0,0,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,WIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-01-12,10,6,MEMPHIS GRIZZLIES,AWAY,DALLAS MAVERICKS,LOSS,968,3,6,0,0,4,7,0,3,2,1,0,0,1,8.7
True,2013-01-14,3,-13,MEMPHIS GRIZZLIES,HOME,LOS ANGELES CLIPPERS,LOSS,547,1,5,1,2,0,0,0,0,0,0,0,2,1,-2.5
True,2013-01-16,2,-2,MEMPHIS GRIZZLIES,AWAY,SAN ANTONIO SPURS,LOSS,252,1,2,0,1,0,0,0,0,0,0,0,0,0,1.0
