active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-01-01,6,-9,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1001,3,8,0,0,0,2,0,1,0,0,1,2,2,-1.0
True,2013-01-03,10,9,NEW YORK KNICKS,HOME,SAN ANTONIO SPURS,WIN,1257,4,10,0,0,2,4,1,1,0,1,0,2,2,3.0
True,2013-01-05,11,0,NEW YORK KNICKS,AWAY,ORLANDO MAGIC,WIN,1017,3,7,0,0,5,5,2,2,1,0,0,2,2,7.2
True,2013-01-07,13,-15,NEW YORK KNICKS,HOME,BOSTON CELTICS,LOSS,1670,4,6,0,0,5,6,0,2,2,0,1,0,1,12.3
True,2013-01-10,9,0,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1291,4,11,0,0,1,2,3,5,0,0,1,0,3,5.6
True,2013-01-11,5,-11,NEW YORK KNICKS,HOME,CHICAGO BULLS,LOSS,1115,2,4,0,0,1,2,0,1,0,0,0,0,5,0.9
True,2013-01-13,12,4,NEW YORK KNICKS,HOME,NEW ORLEANS HORNETS,WIN,1382,3,6,0,0,6,6,2,1,0,0,0,0,5,8.7
True,2013-01-17,17,3,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1223,3,5,0,0,11,12,1,3,1,1,0,2,5,13.6
True,2013-01-21,15,4,NEW YORK KNICKS,HOME,BROOKLYN NETS,LOSS,1591,6,10,0,0,3,6,1,5,0,0,0,2,3,8.2
True,2013-01-24,15,11,NEW YORK KNICKS,AWAY,BOSTON CELTICS,WIN,1228,4,7,0,0,7,8,4,5,0,0,2,1,5,14.0
True,2013-01-26,20,-2,NEW YORK KNICKS,AWAY,PHILADELPHIA 76ERS,LOSS,1590,8,13,0,0,4,4,2,2,1,1,1,1,3,16.3
True,2013-01-27,18,0,NEW YORK KNICKS,HOME,ATLANTA HAWKS,WIN,1768,6,9,0,0,6,8,4,4,1,0,1,3,4,14.1
True,2013-01-30,14,3,NEW YORK KNICKS,HOME,ORLANDO MAGIC,WIN,1238,7,7,0,0,0,0,1,3,1,0,2,3,2,11.8
True,2013-02-01,17,5,NEW YORK KNICKS,HOME,MILWAUKEE BUCKS,WIN,1457,5,10,0,0,7,8,2,5,0,1,1,2,3,13.0
True,2013-02-02,21,31,NEW YORK KNICKS,HOME,SACRAMENTO KINGS,WIN,1242,10,10,0,0,1,1,2,4,0,0,0,1,1,19.2
True,2013-02-04,20,-2,NEW YORK KNICKS,HOME,DETROIT PISTONS,WIN,1698,8,14,0,0,4,4,2,1,0,2,1,2,4,14.2
True,2013-02-06,19,-3,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,LOSS,1686,6,11,0,0,7,9,2,4,0,1,3,1,2,16.8
True,2013-02-08,11,0,NEW YORK KNICKS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1271,5,7,0,0,1,1,4,1,1,0,0,2,3,8.7
True,2013-02-10,9,-19,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1520,4,9,0,0,1,1,2,4,1,1,1,3,4,4.7
True,2013-02-13,10,-13,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,1063,4,13,0,0,2,2,5,2,0,0,0,1,3,4.4
True,2013-02-20,7,-14,NEW YORK KNICKS,AWAY,INDIANA PACERS,LOSS,1306,1,5,0,0,5,6,2,5,1,0,0,2,4,3.5
True,2013-02-22,14,2,NEW YORK KNICKS,AWAY,TORONTO RAPTORS,LOSS,1602,6,10,0,0,2,4,1,5,0,0,1,3,4,6.9
True,2013-02-24,22,10,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,WIN,1300,9,10,0,0,4,6,2,3,0,2,0,1,5,19.1
True,2013-02-27,14,-5,NEW YORK KNICKS,HOME,GOLDEN STATE WARRIORS,WIN,1172,6,7,0,0,2,2,1,3,0,0,0,2,3,9.9
True,2013-03-01,12,7,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1464,5,8,0,0,2,2,0,2,0,0,0,3,2,5.2
True,2013-03-03,12,-2,NEW YORK KNICKS,HOME,MIAMI HEAT,LOSS,1275,5,7,0,0,2,4,0,2,1,0,1,2,1,7.9
True,2013-03-04,22,13,NEW YORK KNICKS,AWAY,CLEVELAND CAVALIERS,WIN,1915,10,15,0,0,2,2,2,4,2,0,1,4,4,14.6
True,2013-03-06,22,12,NEW YORK KNICKS,AWAY,DETROIT PISTONS,WIN,1839,8,12,0,0,6,7,6,3,0,0,1,3,2,18.4
True,2013-03-07,16,6,NEW YORK KNICKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1735,5,16,0,0,6,6,6,2,0,0,2,0,2,12.2
