active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2012-11-02,14,-10,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,LOSS,1621,6,10,0,0,2,2,0,1,7,2,1,4,4,11.7
True,2012-11-04,16,-3,ATLANTA HAWKS,AWAY,OKLAHOMA CITY THUNDER,WIN,1559,7,12,0,0,2,2,2,1,5,3,0,3,0,15.6
True,2012-11-07,15,9,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1945,7,15,1,3,0,0,1,5,6,3,0,2,1,14.3
True,2012-11-09,20,3,ATLANTA HAWKS,HOME,MIAMI HEAT,LOSS,1640,7,8,2,2,4,4,0,3,11,0,1,2,2,23.7
True,2012-11-11,8,-7,ATLANTA HAWKS,AWAY,LOS ANGELES CLIPPERS,LOSS,1615,3,8,2,4,0,0,1,0,6,0,0,4,1,4.1
True,2012-11-12,13,13,ATLANTA HAWKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2036,4,11,0,1,5,6,0,2,8,3,0,3,0,12.7
True,2012-11-14,9,2,ATLANTA HAWKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1631,4,12,1,2,0,0,0,4,4,0,0,2,1,3.8
True,2012-11-16,15,3,ATLANTA HAWKS,AWAY,SACRAMENTO KINGS,WIN,1162,7,10,0,2,1,1,0,2,3,1,2,5,1,10.5
True,2012-11-19,9,12,ATLANTA HAWKS,HOME,ORLANDO MAGIC,WIN,1647,4,9,1,2,0,0,1,1,7,2,1,3,1,9.5
True,2012-11-21,14,13,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,2741,6,18,0,2,2,2,0,1,7,2,0,0,3,9.8
True,2012-11-23,13,17,ATLANTA HAWKS,AWAY,CHARLOTTE BOBCATS,WIN,1756,5,13,3,4,0,0,0,3,12,1,0,3,4,11.6
True,2012-11-24,19,12,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,2694,7,14,1,4,4,5,1,3,11,1,0,5,3,15.7
True,2012-11-28,11,4,ATLANTA HAWKS,HOME,CHARLOTTE BOBCATS,WIN,1673,4,10,3,5,0,0,2,0,5,1,0,2,4,7.9
True,2012-11-30,15,4,ATLANTA HAWKS,HOME,CLEVELAND CAVALIERS,LOSS,2291,4,11,1,2,6,8,0,0,7,6,0,4,1,14.6
True,2012-12-05,9,-18,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,1738,4,16,1,4,0,0,0,1,4,1,0,2,3,0.3
True,2012-12-07,19,21,ATLANTA HAWKS,HOME,WASHINGTON WIZARDS,WIN,2342,8,22,0,3,3,4,1,3,6,2,0,3,2,10.4
True,2012-12-08,13,16,ATLANTA HAWKS,AWAY,MEMPHIS GRIZZLIES,WIN,2269,6,13,1,4,0,0,1,1,6,2,0,0,2,12.7
True,2012-12-10,11,-13,ATLANTA HAWKS,AWAY,MIAMI HEAT,LOSS,2350,3,10,1,3,4,4,1,2,3,2,0,5,1,5.2
True,2012-12-12,16,9,ATLANTA HAWKS,AWAY,ORLANDO MAGIC,WIN,1926,7,12,2,4,0,0,1,3,3,3,0,4,1,12.7
True,2012-12-13,6,14,ATLANTA HAWKS,HOME,CHARLOTTE BOBCATS,WIN,1590,2,5,0,2,2,3,0,1,4,1,0,1,2,5.2
True,2012-12-15,10,-14,ATLANTA HAWKS,HOME,GOLDEN STATE WARRIORS,LOSS,1490,3,11,0,1,4,4,0,2,8,0,0,0,2,8.9
True,2012-12-18,13,7,ATLANTA HAWKS,AWAY,WASHINGTON WIZARDS,WIN,2000,5,12,1,2,2,2,0,3,6,2,1,2,5,10.4
True,2012-12-19,19,1,ATLANTA HAWKS,HOME,OKLAHOMA CITY THUNDER,LOSS,1997,9,13,1,2,0,0,0,1,9,0,1,1,4,18.2
True,2012-12-21,5,-9,ATLANTA HAWKS,AWAY,PHILADELPHIA 76ERS,LOSS,1307,2,4,1,3,0,0,0,0,3,1,0,2,4,2.5
True,2012-12-22,11,12,ATLANTA HAWKS,HOME,CHICAGO BULLS,WIN,1791,5,12,1,2,0,0,0,3,8,0,0,4,0,7.1
True,2012-12-26,17,14,ATLANTA HAWKS,HOME,DETROIT PISTONS,WIN,2143,4,10,1,2,8,8,0,4,11,2,2,4,5,17.9
True,2012-12-28,27,11,ATLANTA HAWKS,AWAY,CLEVELAND CAVALIERS,WIN,2155,11,19,3,6,2,2,0,2,8,2,0,2,2,23.5
