active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-01-12,14,6,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,WIN,1254,5,11,0,0,4,5,0,2,4,0,0,3,2,7.5
True,2013-01-14,12,1,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,WIN,1189,3,8,0,0,6,6,1,0,6,1,0,2,0,11.5
True,2013-01-16,14,-3,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,LOSS,1555,6,15,0,2,2,4,1,2,10,3,1,1,1,15.7
True,2013-01-18,14,13,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,WIN,1558,4,9,0,1,6,6,1,3,12,0,2,6,4,13.1
True,2013-01-19,24,2,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,1841,7,16,0,2,10,14,0,3,6,2,2,3,4,17.9
True,2013-01-21,6,-6,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1582,2,8,0,0,2,2,0,3,2,1,0,4,3,-0.7
True,2013-01-23,14,-9,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1600,5,11,0,0,4,4,1,1,8,0,1,1,2,13.8
True,2013-01-25,14,15,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1258,6,10,0,0,2,3,0,1,5,0,2,2,3,11.0
True,2013-01-26,15,18,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1635,6,13,0,0,3,4,0,3,7,1,0,4,1,10.3
True,2013-01-28,19,-2,WASHINGTON WIZARDS,HOME,SACRAMENTO KINGS,LOSS,1796,9,16,0,0,1,2,0,1,6,0,0,2,3,12.3
True,2013-01-30,9,-1,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1923,3,12,0,2,3,5,0,5,6,1,2,5,1,3.7
True,2013-02-01,9,-9,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1409,3,8,1,2,2,2,0,7,6,0,0,4,4,5.3
True,2013-02-02,21,-9,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,LOSS,2167,10,22,0,2,1,1,2,3,9,1,0,4,5,13.2
True,2013-02-04,13,9,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,WIN,1929,6,18,0,0,1,3,0,1,8,1,0,2,3,5.7
True,2013-02-06,21,21,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,WIN,2333,8,18,0,1,5,5,1,4,9,0,1,6,2,13.7
True,2013-02-08,15,15,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,WIN,1981,6,17,0,0,3,3,1,3,9,4,0,2,5,13.4
True,2013-02-11,14,0,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,1963,5,6,0,0,4,6,0,4,10,1,0,7,1,12.8
True,2013-02-13,16,-8,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,LOSS,2168,4,11,0,1,8,10,0,3,9,2,1,3,0,16.0
True,2013-02-19,9,-17,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,1871,1,12,0,0,7,8,0,3,6,3,2,7,3,1.9
True,2013-02-22,14,1,WASHINGTON WIZARDS,HOME,DENVER NUGGETS,WIN,1979,5,12,0,0,4,4,1,0,10,1,3,6,3,11.2
True,2013-02-23,12,12,WASHINGTON WIZARDS,HOME,HOUSTON ROCKETS,WIN,2073,4,10,0,0,4,4,0,4,11,0,1,2,2,13.4
True,2013-02-25,10,5,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,WIN,1456,3,11,0,0,4,4,0,5,7,1,0,1,2,9.1
True,2013-02-27,6,-12,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,LOSS,1442,3,9,0,0,0,0,0,1,4,1,0,7,1,-2.4
True,2013-03-01,16,-10,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2531,6,14,0,1,4,4,1,2,7,3,1,5,3,12.3
True,2013-03-03,16,0,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,1880,7,11,0,1,2,2,1,4,6,0,1,2,2,15.1
True,2013-03-06,19,1,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2329,7,15,0,1,5,5,1,2,7,3,1,6,3,14.0
True,2013-03-08,16,-17,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,1931,6,19,0,1,4,6,1,5,3,2,1,1,2,9.5
True,2013-03-09,13,9,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,WIN,1823,6,11,1,1,0,1,0,2,6,1,2,3,0,11.5
True,2013-03-12,27,12,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2204,7,15,0,0,13,14,2,5,14,1,1,4,4,27.7
True,2013-03-13,23,16,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,2578,10,19,1,2,2,3,1,5,10,4,0,2,2,23.7
True,2013-03-15,29,12,WASHINGTON WIZARDS,HOME,NEW ORLEANS HORNETS,WIN,2016,12,15,3,3,2,2,1,3,9,2,0,3,1,29.8
True,2013-03-16,17,22,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,1920,8,11,0,0,1,2,0,5,11,3,1,3,3,20.8
True,2013-03-18,25,-9,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,LOSS,1980,8,17,1,1,8,9,1,3,5,2,1,6,6,15.3
True,2013-03-20,19,-6,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,2150,7,14,0,0,5,6,2,0,8,1,0,5,4,13.0
True,2013-03-22,24,7,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,WIN,2655,9,19,0,1,6,8,1,5,16,3,0,1,2,28.1
True,2013-03-23,14,-13,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,LOSS,1417,6,12,0,0,2,2,2,1,3,1,0,1,0,11.8
True,2013-03-25,47,26,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,2673,13,22,2,4,19,24,0,7,8,1,1,2,2,41.4
True,2013-03-27,18,-19,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2115,3,18,0,1,12,15,1,3,12,1,0,3,4,11.8
True,2013-03-29,35,-5,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,2268,11,28,1,2,12,14,5,4,2,2,0,4,5,21.1
True,2013-03-31,18,28,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,2090,7,15,1,3,3,4,0,6,10,0,1,1,4,16.8
True,2013-04-02,27,7,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2213,8,17,0,0,11,13,1,7,9,0,3,1,0,27.7
True,2013-04-03,20,-21,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1955,5,17,0,1,10,10,1,4,5,0,0,2,3,12.3
True,2013-04-06,37,20,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,2290,16,25,0,0,5,10,0,4,5,3,2,2,2,30.2
True,2013-04-07,16,-11,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,2384,8,20,0,3,0,0,0,3,10,1,0,3,3,9.9
True,2013-04-09,33,-27,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,1985,11,19,0,0,11,14,0,3,3,1,0,4,0,22.9
True,2013-04-10,17,7,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2391,7,18,0,1,3,3,3,6,11,2,2,2,2,19.4
True,2013-04-12,24,-12,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2071,9,21,0,1,6,10,0,2,7,1,1,3,1,15.1
True,2013-04-15,18,0,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,2027,5,19,0,2,8,12,0,6,12,3,0,3,1,14.9
True,2013-04-17,23,-17,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,2290,8,21,1,2,6,8,1,2,4,0,0,1,3,12.6
