active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-05,6,-2,MIAMI HEAT,AWAY,TORONTO RAPTORS,WIN,239,2,4,2,3,0,0,0,0,0,0,1,1,1,3.3
True,2013-11-09,10,-1,MIAMI HEAT,HOME,BOSTON CELTICS,LOSS,496,5,7,0,0,0,0,0,0,0,0,0,1,1,5.7
True,2013-11-12,19,7,MIAMI HEAT,HOME,MILWAUKEE BUCKS,WIN,1179,8,12,2,3,1,4,0,1,3,0,0,0,2,14.2
True,2013-11-15,6,11,MIAMI HEAT,HOME,DALLAS MAVERICKS,WIN,950,3,5,0,0,0,0,0,1,0,2,1,2,1,4.3
True,2013-11-16,15,18,MIAMI HEAT,AWAY,CHARLOTTE BOBCATS,WIN,1399,7,14,1,4,0,0,1,2,1,1,0,1,3,8.8
True,2013-11-19,6,2,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,1038,3,5,0,0,0,0,0,5,0,0,1,1,0,4.9
True,2013-11-20,14,9,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,1237,4,10,0,0,6,6,1,6,0,0,1,2,4,8.2
True,2013-11-23,9,-6,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,463,4,4,0,0,1,2,0,3,0,0,0,1,1,6.9
True,2013-11-25,8,-5,MIAMI HEAT,HOME,PHOENIX SUNS,WIN,1360,3,8,0,2,2,2,1,5,0,0,0,0,2,5.0
True,2013-11-27,17,11,MIAMI HEAT,AWAY,CLEVELAND CAVALIERS,WIN,1535,5,10,0,1,7,7,1,8,2,0,1,1,1,15.8
True,2013-11-29,7,6,MIAMI HEAT,AWAY,TORONTO RAPTORS,WIN,815,3,3,1,1,0,0,0,3,0,0,0,2,2,4.2
True,2013-12-01,4,1,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,WIN,883,2,8,0,0,0,0,3,4,0,1,0,0,1,3.1
True,2013-12-03,23,3,MIAMI HEAT,HOME,DETROIT PISTONS,LOSS,1854,9,16,3,3,2,3,2,2,1,1,0,1,1,17.3
True,2013-12-05,15,-3,MIAMI HEAT,AWAY,CHICAGO BULLS,LOSS,1360,7,13,0,1,1,2,3,4,2,1,2,3,5,10.4
True,2013-12-23,10,8,MIAMI HEAT,HOME,ATLANTA HAWKS,WIN,1202,3,8,1,1,3,4,1,6,1,0,0,0,4,6.8
True,2013-12-27,9,-14,MIAMI HEAT,AWAY,SACRAMENTO KINGS,LOSS,1984,3,9,0,2,3,3,0,6,1,1,0,3,5,2.4
True,2013-12-28,12,4,MIAMI HEAT,AWAY,PORTLAND TRAIL BLAZERS,WIN,1575,5,10,1,2,1,1,0,6,0,0,0,3,1,5.4
True,2013-12-30,9,9,MIAMI HEAT,AWAY,DENVER NUGGETS,WIN,1110,4,6,1,1,0,0,1,3,0,0,0,0,1,7.6
True,2014-01-02,5,4,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,LOSS,789,2,4,0,0,1,1,1,4,0,1,1,4,4,1.0
True,2014-01-04,13,-2,MIAMI HEAT,AWAY,ORLANDO MAGIC,WIN,1098,4,7,0,0,5,7,3,2,2,1,0,1,0,13.0
True,2014-01-05,17,-9,MIAMI HEAT,HOME,TORONTO RAPTORS,WIN,1220,7,12,0,0,3,5,3,1,2,1,0,2,2,12.6
True,2014-01-07,1,-10,MIAMI HEAT,HOME,NEW ORLEANS PELICANS,WIN,789,0,3,0,1,1,2,0,3,0,1,1,2,6,-3.3
True,2014-01-09,5,-14,MIAMI HEAT,AWAY,NEW YORK KNICKS,LOSS,540,2,6,0,2,1,1,0,0,0,0,0,0,1,1.2
True,2014-01-10,3,5,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,1177,1,7,0,0,1,2,1,3,1,0,0,2,2,-2.4
True,2014-01-15,6,-11,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,LOSS,414,3,6,0,0,0,0,1,0,0,0,0,0,2,2.9
True,2014-01-17,0,-1,MIAMI HEAT,AWAY,PHILADELPHIA 76ERS,WIN,148,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.7
True,2014-01-18,5,-2,MIAMI HEAT,AWAY,CHARLOTTE BOBCATS,WIN,387,1,1,1,1,2,4,0,2,1,0,0,0,1,4.8
True,2014-01-20,0,-7,MIAMI HEAT,AWAY,ATLANTA HAWKS,LOSS,196,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2014-01-21,9,-1,MIAMI HEAT,HOME,BOSTON CELTICS,WIN,773,4,6,1,1,0,0,0,2,0,1,0,0,4,6.4
True,2014-01-23,7,-5,MIAMI HEAT,HOME,LOS ANGELES LAKERS,WIN,1216,3,6,0,1,1,2,0,7,4,0,0,3,4,3.9
True,2014-01-26,12,-14,MIAMI HEAT,HOME,SAN ANTONIO SPURS,WIN,1176,5,8,0,0,2,2,0,4,2,1,0,1,3,9.8
True,2014-01-29,6,-1,MIAMI HEAT,HOME,OKLAHOMA CITY THUNDER,LOSS,449,2,5,0,1,2,2,0,2,0,0,0,1,1,2.5
True,2014-02-01,0,-1,MIAMI HEAT,AWAY,NEW YORK KNICKS,WIN,50,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
