active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,14,-8,MILWAUKEE BUCKS,AWAY,NEW YORK KNICKS,LOSS,2006,5,9,2,3,2,2,1,3,1,1,0,7,4,4.4
True,2013-11-01,8,-3,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,WIN,1620,2,8,2,4,2,2,2,4,1,1,0,0,1,7.1
True,2013-11-02,12,-9,MILWAUKEE BUCKS,HOME,TORONTO RAPTORS,LOSS,1504,3,9,1,4,5,6,0,6,0,0,0,1,3,6.1
True,2013-11-06,10,-10,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,1784,4,12,2,7,0,0,1,3,0,1,0,3,3,1.6
True,2013-11-09,19,-1,MILWAUKEE BUCKS,HOME,DALLAS MAVERICKS,LOSS,2296,7,19,3,9,2,3,1,12,3,2,0,3,2,12.7
True,2013-11-12,10,-15,MILWAUKEE BUCKS,AWAY,MIAMI HEAT,LOSS,1492,4,15,2,8,0,0,1,3,1,1,0,2,2,1.6
True,2013-11-13,20,-3,MILWAUKEE BUCKS,AWAY,ORLANDO MAGIC,LOSS,2520,7,17,3,5,3,3,1,4,3,1,0,2,1,13.5
True,2013-11-20,9,-9,MILWAUKEE BUCKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1737,4,10,1,3,0,0,0,7,1,0,0,0,3,5.2
True,2013-11-22,38,-7,MILWAUKEE BUCKS,AWAY,PHILADELPHIA 76ERS,LOSS,2178,13,22,4,8,8,11,2,6,3,3,0,4,3,29.7
True,2013-11-23,5,-27,MILWAUKEE BUCKS,HOME,CHARLOTTE BOBCATS,LOSS,1228,2,8,1,4,0,0,0,2,0,1,0,2,2,-1.0
True,2013-11-25,8,-9,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1641,2,7,2,5,2,2,0,5,3,1,1,0,0,9.2
True,2013-11-27,5,-5,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,LOSS,1206,2,7,1,5,0,0,0,3,2,0,0,0,1,2.8
True,2013-12-21,22,-4,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,2382,8,21,2,10,4,6,0,11,4,0,1,4,3,11.3
True,2013-12-23,11,7,MILWAUKEE BUCKS,AWAY,CHARLOTTE BOBCATS,LOSS,1790,3,11,1,5,4,4,0,4,3,1,0,2,3,5.6
True,2013-12-27,0,-27,MILWAUKEE BUCKS,AWAY,BROOKLYN NETS,LOSS,990,0,7,0,1,0,0,0,2,1,0,0,0,1,-4.0
True,2013-12-28,6,-16,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1457,3,11,0,2,0,0,0,5,4,1,1,0,5,3.5
True,2013-12-31,0,-6,MILWAUKEE BUCKS,AWAY,LOS ANGELES LAKERS,WIN,502,0,1,0,1,0,0,0,1,3,0,0,3,1,-1.7
True,2014-01-02,9,-7,MILWAUKEE BUCKS,AWAY,UTAH JAZZ,LOSS,1006,4,8,1,2,0,0,0,3,2,1,0,0,0,8.3
True,2014-01-04,16,3,MILWAUKEE BUCKS,AWAY,PHOENIX SUNS,LOSS,1625,6,11,4,6,0,0,1,6,3,0,1,4,2,11.2
True,2014-01-07,2,-3,MILWAUKEE BUCKS,HOME,GOLDEN STATE WARRIORS,LOSS,1023,1,7,0,2,0,0,1,5,2,0,0,1,2,-0.7
True,2014-01-10,0,-4,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,487,0,2,0,0,0,0,0,2,0,1,0,0,1,-0.2
True,2014-01-13,5,-22,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,962,2,7,1,3,0,0,0,3,0,0,1,1,1,1.1
True,2014-01-15,10,7,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1110,5,12,0,2,0,0,0,2,2,1,1,1,1,5.9
True,2014-01-18,2,-6,MILWAUKEE BUCKS,AWAY,HOUSTON ROCKETS,LOSS,319,1,4,0,0,0,0,0,1,1,0,0,0,1,0.2
True,2014-01-22,30,16,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1949,12,21,2,10,4,4,1,6,5,1,1,0,5,25.8
