active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,3,8,CLEVELAND CAVALIERS,HOME,BROOKLYN NETS,WIN,454,1,5,0,0,1,1,2,1,2,0,2,1,1,3.0
True,2013-11-01,5,-1,CLEVELAND CAVALIERS,AWAY,CHARLOTTE BOBCATS,LOSS,646,2,7,0,0,1,2,1,2,0,0,0,0,1,1.4
True,2013-11-04,10,3,CLEVELAND CAVALIERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1120,2,6,0,0,6,6,2,2,1,0,3,1,2,9.6
True,2013-11-06,4,-9,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,859,2,7,0,0,0,0,1,3,0,0,0,1,2,-0.3
True,2013-11-08,4,-15,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,LOSS,1066,2,3,0,0,0,0,1,4,1,1,1,1,0,6.0
True,2013-11-11,11,-1,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1257,3,5,0,0,5,5,2,4,2,0,2,3,1,10.7
True,2013-11-16,6,-7,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1271,2,8,0,0,2,2,1,2,0,1,1,2,0,2.2
True,2013-11-20,2,-21,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,LOSS,753,1,3,0,0,0,0,0,1,0,0,0,1,0,-0.4
True,2013-11-22,8,9,CLEVELAND CAVALIERS,AWAY,NEW ORLEANS PELICANS,LOSS,1091,3,5,0,0,2,3,1,0,4,0,2,1,3,8.0
True,2013-11-23,16,-20,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,1236,8,15,0,0,0,0,2,4,0,0,1,1,3,9.8
True,2013-11-27,4,-10,CLEVELAND CAVALIERS,HOME,MIAMI HEAT,LOSS,1407,2,10,0,0,0,0,3,4,1,0,0,2,3,-1.4
True,2013-11-29,4,-25,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,LOSS,908,2,7,0,0,0,0,0,2,0,0,1,0,0,1.2
True,2013-11-30,20,9,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1804,8,14,0,0,4,4,3,7,3,0,5,1,1,21.8
True,2013-12-04,14,-3,CLEVELAND CAVALIERS,HOME,DENVER NUGGETS,WIN,1210,6,15,0,0,2,2,4,3,1,0,1,2,1,8.6
True,2013-12-06,20,-11,CLEVELAND CAVALIERS,AWAY,ATLANTA HAWKS,LOSS,1597,9,14,0,0,2,7,9,4,2,0,2,3,1,18.7
True,2013-12-07,18,-4,CLEVELAND CAVALIERS,HOME,LOS ANGELES CLIPPERS,WIN,1457,8,13,0,0,2,2,2,4,0,0,0,0,0,14.7
True,2013-12-10,3,18,CLEVELAND CAVALIERS,HOME,NEW YORK KNICKS,WIN,1452,1,6,0,0,1,2,1,7,2,0,1,2,1,1.3
True,2013-12-13,2,-9,CLEVELAND CAVALIERS,AWAY,ORLANDO MAGIC,WIN,1084,1,3,0,0,0,0,1,1,0,1,0,1,0,1.3
True,2013-12-14,4,-4,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,1051,2,2,0,0,0,0,2,2,2,0,0,1,2,5.0
True,2013-12-17,13,-10,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1597,6,12,0,0,1,2,2,7,2,2,0,2,2,10.7
True,2013-12-20,8,4,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,1452,3,14,0,0,2,2,1,6,1,0,3,0,0,4.7
True,2013-12-21,19,-10,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1605,9,15,0,0,1,2,2,5,2,1,0,2,3,13.8
True,2013-12-23,0,-8,CLEVELAND CAVALIERS,HOME,DETROIT PISTONS,LOSS,1348,0,11,0,0,0,0,4,3,1,0,2,2,1,-4.3
True,2013-12-26,4,-10,CLEVELAND CAVALIERS,HOME,ATLANTA HAWKS,LOSS,1069,2,3,0,0,0,0,0,1,0,0,1,0,0,3.7
True,2014-03-11,8,-3,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,937,3,4,0,0,2,3,3,7,1,0,0,3,3,6.7
True,2014-03-15,15,-5,INDIANA PACERS,AWAY,DETROIT PISTONS,WIN,1200,6,18,0,0,3,4,3,6,1,0,1,1,0,8.7
