active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-02,0,-2,INDIANA PACERS,HOME,CLEVELAND CAVALIERS,WIN,215,0,2,0,2,0,0,0,0,1,0,0,0,0,-0.7
True,2013-11-06,0,-2,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,61,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2013-11-11,3,-1,INDIANA PACERS,HOME,MEMPHIS GRIZZLIES,WIN,191,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2013-11-15,6,5,INDIANA PACERS,HOME,MILWAUKEE BUCKS,WIN,172,2,4,2,2,0,0,0,0,0,0,0,0,1,3.6
True,2013-11-16,13,14,INDIANA PACERS,AWAY,CHICAGO BULLS,LOSS,990,4,5,3,4,2,2,0,0,1,1,1,0,1,13.1
True,2013-11-20,3,7,INDIANA PACERS,AWAY,NEW YORK KNICKS,WIN,395,1,3,1,3,0,0,0,1,0,0,0,0,2,0.8
True,2013-11-22,3,2,INDIANA PACERS,AWAY,BOSTON CELTICS,WIN,465,1,2,1,2,0,0,0,0,0,0,0,0,0,2.0
True,2013-11-23,3,-16,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,690,1,3,1,3,0,0,0,1,0,0,1,0,4,0.7
True,2013-11-27,0,-3,INDIANA PACERS,AWAY,CHARLOTTE BOBCATS,WIN,524,0,3,0,3,0,0,0,1,1,0,0,1,0,-2.1
True,2013-11-29,0,-3,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,234,0,1,0,1,0,0,0,0,1,0,0,0,1,-0.4
True,2013-12-08,2,-3,INDIANA PACERS,AWAY,OKLAHOMA CITY THUNDER,LOSS,401,1,4,0,1,0,0,0,0,0,0,0,0,0,-0.4
True,2013-12-20,3,3,INDIANA PACERS,HOME,HOUSTON ROCKETS,WIN,339,1,1,1,1,0,0,0,1,1,0,0,2,0,1.7
True,2013-12-22,2,3,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,259,1,4,0,2,0,0,0,0,0,1,1,0,1,0.9
True,2013-12-23,0,-2,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-01-10,2,3,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,160,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7
True,2014-01-14,4,-3,INDIANA PACERS,HOME,SACRAMENTO KINGS,WIN,291,2,3,0,0,0,0,0,1,1,0,0,0,2,2.9
