active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-11-01,0,0,PORTLAND TRAIL BLAZERS,AWAY,DENVER NUGGETS,WIN,82,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7
True,2013-11-05,0,1,PORTLAND TRAIL BLAZERS,HOME,HOUSTON ROCKETS,LOSS,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-11-15,0,-2,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-11-23,0,-1,PORTLAND TRAIL BLAZERS,AWAY,GOLDEN STATE WARRIORS,WIN,59,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2013-11-27,4,8,PORTLAND TRAIL BLAZERS,AWAY,PHOENIX SUNS,LOSS,313,1,1,0,0,2,3,0,1,1,0,0,0,0,4.3
True,2013-12-06,8,-6,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,656,3,6,2,2,0,0,0,0,0,1,0,1,0,5.0
True,2013-12-14,7,3,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,745,2,4,2,3,1,1,0,0,2,0,0,2,0,4.4
True,2014-01-02,3,1,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE BOBCATS,WIN,426,1,3,1,3,0,0,0,0,0,0,0,0,1,0.9
True,2014-02-21,0,-1,PORTLAND TRAIL BLAZERS,HOME,UTAH JAZZ,WIN,206,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2014-02-23,0,0,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-02-26,0,13,PORTLAND TRAIL BLAZERS,HOME,BROOKLYN NETS,WIN,429,0,4,0,3,0,0,0,1,0,0,0,0,0,-2.5
True,2014-03-05,2,-3,PORTLAND TRAIL BLAZERS,HOME,ATLANTA HAWKS,WIN,368,1,2,0,1,0,0,0,0,0,0,0,0,1,0.6
True,2014-03-20,0,0,PORTLAND TRAIL BLAZERS,HOME,WASHINGTON WIZARDS,WIN,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2014-03-22,5,0,PORTLAND TRAIL BLAZERS,AWAY,CHARLOTTE BOBCATS,LOSS,634,2,3,1,1,0,0,0,2,1,0,0,0,0,5.0
True,2014-04-16,4,-11,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES CLIPPERS,WIN,1742,2,8,0,1,0,0,1,4,2,1,1,0,6,1.8
