active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,42,3,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,WIN,2349,9,24,2,8,22,24,0,6,1,3,0,5,1,28.1
True,2013-11-01,13,-20,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1627,4,11,1,5,4,5,0,4,1,0,2,4,3,4.6
True,2013-11-03,33,3,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,2382,10,19,2,5,11,13,1,9,1,2,0,3,1,25.6
True,2013-11-06,23,6,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,WIN,2213,7,16,1,2,8,9,1,2,10,2,0,5,2,18.7
True,2013-11-08,37,6,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,WIN,2640,9,15,2,3,17,19,2,6,7,3,1,3,3,36.9
True,2013-11-10,33,1,OKLAHOMA CITY THUNDER,HOME,WASHINGTON WIZARDS,WIN,2768,12,23,1,4,8,9,3,10,6,0,1,5,3,25.1
True,2013-11-13,33,-9,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,2509,8,18,2,6,15,17,1,5,10,2,0,5,4,27.4
True,2013-11-14,20,-2,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,2514,5,13,2,6,8,9,1,6,8,0,0,5,5,13.6
True,2013-11-16,24,3,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,WIN,2240,7,15,3,5,7,7,1,4,2,1,0,3,1,17.2
True,2013-11-18,38,5,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,2567,11,27,3,9,13,16,3,5,6,1,1,3,2,28.0
True,2013-11-21,28,7,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,2315,10,19,2,5,6,9,0,6,8,1,0,1,0,24.9
True,2013-11-24,19,27,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1581,3,9,1,1,12,13,0,9,2,2,0,3,1,16.2
True,2013-11-27,24,6,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,2290,10,23,1,5,3,3,0,13,4,0,0,6,1,12.2
True,2013-11-29,25,1,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,2626,7,22,0,2,11,12,0,13,5,0,2,4,3,15.6
True,2013-12-01,32,9,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,2650,14,21,3,4,1,2,2,8,12,4,4,2,3,38.3
True,2013-12-03,27,2,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,WIN,2338,8,21,1,4,10,10,0,11,3,2,1,1,3,21.4
True,2013-12-04,33,-6,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2311,11,23,1,3,10,12,1,6,0,1,2,4,1,21.0
True,2013-12-06,29,16,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,WIN,2168,11,17,2,5,5,5,0,8,4,2,3,2,1,28.4
True,2013-12-08,36,26,OKLAHOMA CITY THUNDER,HOME,INDIANA PACERS,WIN,2091,14,23,2,3,6,6,2,8,5,1,0,3,1,30.4
True,2013-12-10,30,19,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,2235,9,21,1,3,11,15,1,9,5,1,2,5,2,20.8
True,2013-12-11,18,21,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,WIN,2041,6,12,1,1,5,5,1,5,3,2,1,3,3,14.8
True,2013-12-13,31,24,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,1868,10,13,3,5,8,8,0,8,5,4,1,2,2,33.7
True,2013-12-15,28,-7,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,2223,11,18,2,3,4,5,0,9,5,1,2,2,1,25.6
True,2013-12-17,30,6,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,WIN,2272,11,23,2,4,6,7,0,6,3,2,0,2,3,20.6
True,2013-12-19,32,17,OKLAHOMA CITY THUNDER,HOME,CHICAGO BULLS,WIN,1998,13,20,4,5,2,2,0,9,6,3,1,1,2,32.0
True,2013-12-21,17,1,OKLAHOMA CITY THUNDER,AWAY,SAN ANTONIO SPURS,WIN,2293,6,14,2,6,3,3,0,5,3,2,1,3,3,11.7
True,2013-12-22,24,-10,OKLAHOMA CITY THUNDER,HOME,TORONTO RAPTORS,LOSS,2226,5,16,2,7,12,12,1,7,3,0,0,6,2,12.9
True,2013-12-25,29,22,OKLAHOMA CITY THUNDER,AWAY,NEW YORK KNICKS,WIN,1940,10,16,4,6,5,6,0,7,6,2,0,2,3,26.5
True,2013-12-27,34,1,OKLAHOMA CITY THUNDER,AWAY,CHARLOTTE BOBCATS,WIN,2402,14,28,2,6,4,6,2,10,6,0,0,2,3,24.6
True,2013-12-29,33,27,OKLAHOMA CITY THUNDER,HOME,HOUSTON ROCKETS,WIN,2293,11,17,3,5,8,9,0,13,5,1,1,2,3,31.0
True,2013-12-31,37,-8,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,LOSS,2412,12,26,3,9,10,12,3,11,3,1,0,1,3,29.1
True,2014-01-02,24,-6,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,2067,8,13,3,7,5,5,0,4,4,0,2,5,5,16.5
True,2014-01-04,48,0,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,2571,16,32,4,9,12,13,0,7,7,2,1,3,2,37.5
True,2014-01-05,21,14,OKLAHOMA CITY THUNDER,HOME,BOSTON CELTICS,WIN,1630,6,13,0,1,9,10,0,7,8,3,0,0,2,23.8
True,2014-01-07,48,-12,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,2711,14,34,3,13,17,19,0,7,5,4,2,0,2,39.2
True,2014-01-09,30,-9,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,LOSS,1677,7,18,1,7,15,16,0,3,4,2,0,2,1,23.1
True,2014-01-11,33,22,OKLAHOMA CITY THUNDER,HOME,MILWAUKEE BUCKS,WIN,2397,8,18,2,5,15,17,1,9,7,0,1,2,1,29.4
True,2014-01-14,37,-11,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,LOSS,2469,15,28,0,4,7,9,0,4,4,1,0,4,2,22.8
True,2014-01-16,36,20,OKLAHOMA CITY THUNDER,AWAY,HOUSTON ROCKETS,WIN,2570,8,21,2,7,18,20,1,4,7,0,0,7,2,22.7
True,2014-01-17,54,7,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,2610,19,28,5,9,11,13,1,3,6,2,1,5,1,44.3
True,2014-01-19,30,23,OKLAHOMA CITY THUNDER,HOME,SACRAMENTO KINGS,WIN,1926,10,15,3,5,7,9,1,5,9,4,2,3,1,33.2
True,2014-01-21,46,13,OKLAHOMA CITY THUNDER,HOME,PORTLAND TRAIL BLAZERS,WIN,2265,17,25,6,7,6,7,0,5,4,0,0,4,2,34.4
