active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,4,-7,NEW ORLEANS PELICANS,HOME,INDIANA PACERS,LOSS,1360,2,8,0,0,0,0,0,2,3,0,0,3,2,-1.9
True,2013-11-01,0,-14,NEW ORLEANS PELICANS,AWAY,ORLANDO MAGIC,LOSS,1043,0,7,0,2,0,0,0,1,3,0,0,2,3,-5.7
True,2013-11-02,15,17,NEW ORLEANS PELICANS,HOME,CHARLOTTE BOBCATS,WIN,1867,6,16,0,1,3,3,0,6,7,0,0,2,3,9.7
True,2013-11-05,9,-11,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1283,4,10,1,1,0,2,1,3,2,1,1,3,3,3.3
True,2013-11-06,16,-3,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,1803,7,12,0,1,2,2,2,5,4,0,1,3,3,12.6
True,2013-11-08,7,19,NEW ORLEANS PELICANS,HOME,LOS ANGELES LAKERS,WIN,1606,3,12,0,1,1,1,1,6,2,3,0,1,2,4.9
True,2013-11-10,0,-7,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,432,0,3,0,0,0,0,0,2,1,0,0,1,1,-2.2
True,2013-11-12,11,-21,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,1840,4,13,0,1,3,7,1,3,6,1,0,1,1,7.3
True,2013-11-13,19,-9,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,1705,8,13,0,1,3,3,0,3,4,0,1,1,5,14.5
True,2013-11-16,15,25,NEW ORLEANS PELICANS,HOME,PHILADELPHIA 76ERS,WIN,1334,6,10,0,2,3,6,0,2,3,2,1,1,3,12.4
True,2013-11-20,13,12,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,1508,5,13,0,2,3,6,2,3,4,4,1,2,2,11.7
True,2013-11-22,19,18,NEW ORLEANS PELICANS,HOME,CLEVELAND CAVALIERS,WIN,1944,7,16,1,2,4,4,2,8,4,1,0,0,1,17.8
True,2013-11-25,12,-14,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1485,5,14,0,1,2,2,4,5,3,1,0,2,3,8.4
True,2013-11-26,12,-10,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,LOSS,1393,5,11,0,1,2,3,0,4,4,0,1,4,2,5.8
True,2013-11-29,16,12,NEW ORLEANS PELICANS,AWAY,PHILADELPHIA 76ERS,WIN,2115,6,10,0,0,4,5,0,5,4,4,1,4,1,15.6
True,2013-12-01,24,2,NEW ORLEANS PELICANS,AWAY,NEW YORK KNICKS,WIN,2124,8,13,0,1,8,11,0,1,7,4,0,1,4,23.5
True,2013-12-02,13,2,NEW ORLEANS PELICANS,AWAY,CHICAGO BULLS,WIN,1450,5,10,0,0,3,3,1,4,3,1,0,2,5,9.0
True,2013-12-04,8,-3,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,LOSS,1374,1,9,0,1,6,6,1,3,4,1,0,2,1,5.1
True,2013-12-06,11,-13,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,LOSS,776,3,8,0,2,5,5,0,2,0,1,0,2,0,6.2
True,2013-12-11,14,4,NEW ORLEANS PELICANS,HOME,DETROIT PISTONS,WIN,1450,4,7,0,0,6,6,1,6,3,2,0,4,1,12.9
True,2013-12-13,6,9,NEW ORLEANS PELICANS,HOME,MEMPHIS GRIZZLIES,WIN,742,0,0,0,0,6,6,0,0,1,1,0,1,1,6.3
True,2013-12-18,11,-6,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,1974,2,10,0,2,7,8,4,9,10,0,1,3,2,13.8
True,2013-12-21,21,4,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1639,9,22,0,2,3,5,3,3,6,2,0,2,3,14.4
True,2013-12-23,25,11,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,WIN,2145,7,14,0,1,11,12,0,6,12,3,0,2,2,28.0
True,2013-12-27,19,20,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,1937,7,17,1,2,4,4,1,6,10,2,0,2,1,19.0
True,2013-12-28,16,-17,NEW ORLEANS PELICANS,AWAY,HOUSTON ROCKETS,LOSS,1941,7,21,2,5,0,0,2,2,9,0,0,2,4,8.8
True,2013-12-30,20,5,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,WIN,1722,9,15,0,1,2,2,1,4,4,2,2,1,3,19.0
True,2014-01-01,16,-18,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1673,6,14,1,1,3,4,0,7,3,0,0,1,3,10.2
True,2014-01-03,16,5,NEW ORLEANS PELICANS,AWAY,BOSTON CELTICS,WIN,1753,8,13,0,0,0,0,3,5,6,1,0,5,2,13.1
True,2014-01-04,12,-18,NEW ORLEANS PELICANS,AWAY,INDIANA PACERS,LOSS,1534,3,9,0,1,6,7,0,2,1,2,0,3,2,6.0
True,2014-01-07,13,-17,NEW ORLEANS PELICANS,AWAY,MIAMI HEAT,LOSS,1225,4,11,1,2,4,4,2,1,1,0,0,2,4,5.7
True,2014-01-08,3,-21,NEW ORLEANS PELICANS,HOME,WASHINGTON WIZARDS,LOSS,1050,0,5,0,0,3,4,0,1,5,2,0,1,0,3.9
True,2014-01-10,0,-8,NEW ORLEANS PELICANS,HOME,DALLAS MAVERICKS,LOSS,563,0,2,0,0,0,0,0,0,0,0,0,2,0,-3.4
True,2014-01-18,14,-2,NEW ORLEANS PELICANS,HOME,GOLDEN STATE WARRIORS,LOSS,1845,6,14,0,0,2,2,1,3,2,1,0,4,1,6.2
True,2014-01-20,15,14,NEW ORLEANS PELICANS,AWAY,MEMPHIS GRIZZLIES,WIN,1535,5,13,0,1,5,5,1,1,7,0,0,1,1,12.4
True,2014-01-21,17,-7,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,LOSS,1573,6,15,0,2,5,6,1,2,3,0,0,3,4,7.3
True,2014-01-26,23,7,NEW ORLEANS PELICANS,HOME,ORLANDO MAGIC,WIN,1662,7,13,0,0,9,11,1,6,7,2,1,1,3,23.8
True,2014-01-28,3,-9,NEW ORLEANS PELICANS,AWAY,CLEVELAND CAVALIERS,WIN,1121,1,5,0,1,1,2,0,0,5,3,0,3,5,1.0
True,2014-01-29,11,-24,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1420,4,15,0,3,3,5,3,3,3,0,0,2,1,4.0
True,2014-02-01,11,8,NEW ORLEANS PELICANS,HOME,CHICAGO BULLS,WIN,1380,4,15,0,1,3,3,0,3,6,1,0,2,3,5.0
True,2014-02-03,4,2,NEW ORLEANS PELICANS,HOME,SAN ANTONIO SPURS,LOSS,313,2,3,0,1,0,0,0,1,0,0,0,0,1,2.6
True,2014-02-07,7,-4,NEW ORLEANS PELICANS,HOME,MINNESOTA TIMBERWOLVES,WIN,1222,3,10,0,0,1,2,1,2,2,0,0,3,1,0.1
True,2014-02-10,23,12,NEW ORLEANS PELICANS,AWAY,TORONTO RAPTORS,LOSS,1932,10,14,0,1,3,6,1,4,10,3,0,2,2,25.1
True,2014-02-12,12,-4,NEW ORLEANS PELICANS,AWAY,MILWAUKEE BUCKS,WIN,1519,5,11,0,0,2,4,0,4,4,0,0,2,0,7.5
True,2014-02-19,8,-5,NEW ORLEANS PELICANS,HOME,NEW YORK KNICKS,LOSS,1346,3,11,0,0,2,6,1,3,2,0,1,1,4,1.0
True,2014-02-21,4,-1,NEW ORLEANS PELICANS,AWAY,CHARLOTTE BOBCATS,LOSS,1485,2,13,0,3,0,0,0,5,7,0,1,1,1,1.4
True,2014-02-22,8,9,NEW ORLEANS PELICANS,AWAY,WASHINGTON WIZARDS,LOSS,1469,3,8,1,2,1,1,2,5,7,0,1,4,3,6.9
True,2014-02-24,8,-11,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,LOSS,1757,4,13,0,1,0,2,0,4,5,0,0,1,1,3.0
True,2014-02-26,4,-13,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,LOSS,1640,2,9,0,2,0,1,0,6,7,2,0,1,2,5.0
True,2014-02-28,14,-8,NEW ORLEANS PELICANS,AWAY,PHOENIX SUNS,LOSS,2181,6,13,1,1,1,2,1,4,4,0,0,2,2,8.8
True,2014-03-01,22,-19,NEW ORLEANS PELICANS,AWAY,LOS ANGELES CLIPPERS,LOSS,2387,9,19,2,6,2,2,3,6,5,1,0,4,3,15.5
True,2014-03-03,27,-6,NEW ORLEANS PELICANS,AWAY,SACRAMENTO KINGS,LOSS,2441,8,14,2,3,9,10,2,8,8,1,0,3,3,26.2
True,2014-03-04,24,7,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,WIN,2604,8,17,0,4,8,10,2,5,11,1,1,4,2,22.0
True,2014-03-07,25,1,NEW ORLEANS PELICANS,HOME,MILWAUKEE BUCKS,WIN,1811,7,13,1,1,10,10,1,3,7,1,1,2,3,23.7
True,2014-03-09,20,-5,NEW ORLEANS PELICANS,HOME,DENVER NUGGETS,WIN,2358,8,14,1,3,3,4,0,2,3,2,1,5,3,12.2
True,2014-03-14,16,0,NEW ORLEANS PELICANS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2110,7,12,0,0,2,2,0,8,8,1,0,1,1,18.0
True,2014-03-16,26,8,NEW ORLEANS PELICANS,HOME,BOSTON CELTICS,WIN,2268,11,21,1,2,3,4,0,4,4,3,0,3,3,18.1
True,2014-03-19,18,-10,NEW ORLEANS PELICANS,HOME,TORONTO RAPTORS,LOSS,2127,7,10,0,0,4,5,0,4,3,0,1,1,0,16.4
True,2014-03-21,21,-13,NEW ORLEANS PELICANS,AWAY,ATLANTA HAWKS,WIN,2356,7,12,0,0,7,8,1,2,4,4,1,6,1,17.4
True,2014-03-22,16,-2,NEW ORLEANS PELICANS,HOME,MIAMI HEAT,WIN,2039,7,14,0,0,2,4,3,1,8,2,0,0,2,17.4
True,2014-03-24,33,8,NEW ORLEANS PELICANS,HOME,BROOKLYN NETS,WIN,2592,13,19,1,2,6,10,2,8,7,3,0,7,4,26.4
True,2014-03-26,10,-6,NEW ORLEANS PELICANS,HOME,LOS ANGELES CLIPPERS,WIN,2450,5,16,0,1,0,0,1,3,9,2,0,4,3,5.5
True,2014-03-28,22,12,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,2252,9,20,0,1,4,7,3,2,15,3,1,4,0,23.3
True,2014-03-29,11,-25,NEW ORLEANS PELICANS,AWAY,SAN ANTONIO SPURS,LOSS,1719,4,13,0,2,3,4,2,2,4,0,0,5,2,2.1
True,2014-03-31,15,-16,NEW ORLEANS PELICANS,HOME,SACRAMENTO KINGS,LOSS,1535,7,15,0,1,1,2,0,2,4,2,0,4,3,7.1
True,2014-04-02,27,-18,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,LOSS,1962,9,17,0,0,9,9,2,6,3,0,0,3,2,20.2
True,2014-04-04,8,-8,NEW ORLEANS PELICANS,AWAY,UTAH JAZZ,LOSS,1784,3,11,0,1,2,3,1,2,5,1,0,7,4,-1.7
True,2014-04-06,10,-12,NEW ORLEANS PELICANS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2017,4,9,0,0,2,3,2,3,8,1,0,2,3,10.6
True,2014-04-09,10,-22,NEW ORLEANS PELICANS,HOME,PHOENIX SUNS,LOSS,1765,4,11,1,2,1,2,3,5,3,0,0,4,3,4.0
True,2014-04-11,13,-7,NEW ORLEANS PELICANS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1256,5,11,1,2,2,2,0,1,6,0,0,2,0,9.8
True,2014-04-14,41,11,NEW ORLEANS PELICANS,HOME,OKLAHOMA CITY THUNDER,WIN,2532,14,26,1,7,12,16,1,8,8,3,0,1,0,37.5
True,2014-04-16,25,4,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,WIN,2114,11,20,1,1,2,4,2,4,10,0,1,2,2,22.1
