active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,6,0,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,509,2,5,0,2,2,3,0,1,2,0,1,1,1,3.9
True,2013-11-01,0,-7,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,398,0,0,0,0,0,0,2,2,0,0,0,1,0,1.0
True,2013-11-03,2,0,DETROIT PISTONS,HOME,BOSTON CELTICS,WIN,635,1,2,0,0,0,0,1,3,1,0,0,3,1,-0.1
True,2013-11-08,0,-10,DETROIT PISTONS,HOME,OKLAHOMA CITY THUNDER,LOSS,233,0,2,0,1,0,0,0,0,0,0,0,0,0,-1.4
True,2013-11-12,2,1,DETROIT PISTONS,AWAY,GOLDEN STATE WARRIORS,LOSS,535,1,3,0,2,0,0,0,1,0,0,0,0,2,-0.2
True,2013-11-15,6,-5,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,WIN,423,2,2,1,1,1,2,0,0,1,0,0,0,1,5.3
True,2013-11-17,2,-5,DETROIT PISTONS,AWAY,LOS ANGELES LAKERS,LOSS,193,0,1,0,0,2,2,0,0,0,0,0,0,0,1.3
True,2013-11-22,0,4,DETROIT PISTONS,HOME,ATLANTA HAWKS,LOSS,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2013-11-25,7,1,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,283,3,3,1,1,0,0,0,1,0,0,0,0,0,6.4
True,2013-11-27,2,-1,DETROIT PISTONS,HOME,CHICAGO BULLS,LOSS,633,1,3,0,0,0,0,0,0,1,1,0,0,1,1.6
True,2013-12-01,5,-11,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,WIN,741,1,3,0,2,3,4,2,3,0,1,0,4,3,1.0
True,2013-12-03,7,4,DETROIT PISTONS,AWAY,MIAMI HEAT,WIN,596,3,5,1,1,0,0,1,2,0,0,0,0,0,6.0
True,2013-12-04,2,-3,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,WIN,441,0,1,0,0,2,2,1,1,2,0,1,0,1,4.0
True,2013-12-07,3,-3,DETROIT PISTONS,AWAY,CHICAGO BULLS,WIN,409,1,3,1,3,0,0,0,0,0,0,0,1,2,-0.5
True,2013-12-08,12,1,DETROIT PISTONS,HOME,MIAMI HEAT,LOSS,1241,5,9,2,2,0,0,0,3,1,2,0,2,4,7.7
True,2013-12-10,5,-9,DETROIT PISTONS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1270,2,3,0,0,1,2,1,3,1,0,0,4,3,0.4
True,2013-12-11,0,1,DETROIT PISTONS,AWAY,NEW ORLEANS PELICANS,LOSS,185,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.1
