active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2013-10-30,4,-6,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,WIN,1048,2,6,0,1,0,0,1,2,0,1,0,0,2,2.1
True,2013-11-01,16,-2,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,LOSS,1275,7,15,2,5,0,0,0,4,2,0,1,1,1,10.2
True,2013-11-03,8,4,OKLAHOMA CITY THUNDER,HOME,PHOENIX SUNS,WIN,953,3,5,0,2,2,2,0,2,1,0,1,0,3,6.5
True,2013-11-06,13,4,OKLAHOMA CITY THUNDER,HOME,DALLAS MAVERICKS,WIN,1215,4,7,3,5,2,2,0,3,3,0,1,2,2,10.6
True,2013-11-08,10,17,OKLAHOMA CITY THUNDER,AWAY,DETROIT PISTONS,WIN,968,3,6,2,3,2,2,0,0,0,0,0,0,3,5.8
True,2013-11-10,8,13,OKLAHOMA CITY THUNDER,HOME,WASHINGTON WIZARDS,WIN,1218,2,6,1,4,3,3,0,2,0,2,0,0,1,6.8
True,2013-11-13,0,-2,OKLAHOMA CITY THUNDER,AWAY,LOS ANGELES CLIPPERS,LOSS,829,0,5,0,1,0,0,1,1,1,1,0,1,2,-2.6
True,2013-11-14,9,-1,OKLAHOMA CITY THUNDER,AWAY,GOLDEN STATE WARRIORS,LOSS,1082,3,9,3,7,0,0,0,0,1,0,0,0,1,4.2
True,2013-11-16,7,10,OKLAHOMA CITY THUNDER,AWAY,MILWAUKEE BUCKS,WIN,1546,3,11,1,3,0,0,0,3,2,2,0,1,1,3.4
True,2013-11-18,8,0,OKLAHOMA CITY THUNDER,HOME,DENVER NUGGETS,WIN,1180,3,5,2,3,0,0,0,1,0,2,0,0,3,6.8
True,2013-11-21,11,9,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES CLIPPERS,WIN,1183,5,10,1,5,0,0,1,3,2,0,1,1,0,8.7
True,2013-11-24,15,-3,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,WIN,1494,7,13,0,2,1,1,0,2,2,1,0,2,3,8.5
True,2013-11-27,12,-1,OKLAHOMA CITY THUNDER,HOME,SAN ANTONIO SPURS,WIN,1215,5,7,2,3,0,0,0,2,1,0,0,0,1,10.0
True,2013-11-29,8,4,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,1636,3,7,2,4,0,0,0,3,0,0,1,0,3,4.7
True,2013-12-01,9,14,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,1011,4,8,1,3,0,0,0,2,2,0,0,1,2,5.2
True,2013-12-03,14,7,OKLAHOMA CITY THUNDER,AWAY,SACRAMENTO KINGS,WIN,1428,5,8,2,3,2,2,0,2,1,0,0,0,2,10.9
True,2013-12-04,10,5,OKLAHOMA CITY THUNDER,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1553,5,10,0,1,0,0,0,2,1,1,1,0,3,6.8
True,2013-12-06,2,-1,OKLAHOMA CITY THUNDER,AWAY,NEW ORLEANS PELICANS,WIN,872,1,5,0,2,0,0,1,1,1,0,1,0,5,-0.7
True,2013-12-08,5,6,OKLAHOMA CITY THUNDER,HOME,INDIANA PACERS,WIN,974,2,6,1,2,0,0,1,2,0,0,0,0,1,2.5
True,2013-12-10,11,5,OKLAHOMA CITY THUNDER,AWAY,ATLANTA HAWKS,WIN,1277,5,9,1,4,0,0,0,2,0,2,0,2,2,6.5
True,2013-12-11,18,-2,OKLAHOMA CITY THUNDER,AWAY,MEMPHIS GRIZZLIES,WIN,1667,7,9,3,4,1,1,0,2,1,0,0,2,2,13.0
True,2013-12-13,11,8,OKLAHOMA CITY THUNDER,HOME,LOS ANGELES LAKERS,WIN,1598,5,10,1,3,0,0,1,3,1,0,1,1,2,7.2
True,2013-12-15,16,12,OKLAHOMA CITY THUNDER,HOME,ORLANDO MAGIC,WIN,1381,7,10,2,3,0,0,1,2,3,1,0,0,2,15.4
True,2013-12-17,9,8,OKLAHOMA CITY THUNDER,AWAY,DENVER NUGGETS,WIN,1294,4,9,1,5,0,0,0,6,3,2,1,0,3,9.7
